TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
19:07:10:096,277504,208034,0,214,0,0
19:07:10:096,282045,213267,0,220,0,0
19:07:10:296,120001253,46859726,3744911,200,12961851,0
19:07:10:296,120000451,173593953,0,555746,1606,0
19:07:10:496,120000593,46914560,3736386,209,12973775,0
19:07:10:496,120000474,173492878,0,556834,1594,0
19:07:10:696,120000517,46821850,3745444,211,12976277,0
19:07:10:696,120000550,173621056,0,553749,1600,0
19:07:10:896,120000992,46951321,3748450,191,12988200,0
19:07:10:896,120000499,173717859,0,552811,1594,0
19:07:11:096,120001435,47184672,3765176,212,13053406,0
19:07:11:096,120000723,173700803,0,552590,1602,0
19:07:11:296,120000582,46976674,3745798,214,12986464,0
19:07:11:296,120000480,173755736,0,551514,1594,0
19:07:11:496,120000638,46753969,3741429,213,12972165,0
19:07:11:496,120000438,173652549,0,554175,1602,0
19:07:11:696,120000877,46969196,3744629,189,12996281,0
19:07:11:696,120000440,173622532,0,554383,1594,0
19:07:11:896,120000477,46908753,3743357,223,12984501,0
19:07:11:896,120000483,173594366,0,555608,1600,0
19:07:12:096,120000596,46930076,3752458,198,13012920,0
19:07:12:096,120000458,173666131,0,554326,1594,0
19:07:12:296,120001509,47070819,3759886,196,13037025,0
19:07:12:296,120000559,173703773,0,552169,1602,0
19:07:12:496,120001452,47174673,3764142,219,13038818,0
19:07:12:496,120000451,173786977,0,551294,1594,0
19:07:12:696,120001077,47182512,3764852,205,13065274,0
19:07:12:696,120000500,173756670,0,550519,1602,0
19:07:12:896,120000793,46662264,3725961,191,12941825,0
19:07:12:896,120000464,173792371,0,550548,1594,0
19:07:13:096,120001194,46855918,3740884,179,12984973,0
19:07:13:096,120000425,173626465,0,553275,1602,0
19:07:13:296,120001454,47111511,3756746,197,13013658,0
19:07:13:296,120000515,173604764,0,553477,1594,0
19:07:13:496,120000699,46826946,3741386,199,12976600,0
19:07:13:496,120000424,173779046,0,549876,1602,0
19:07:13:696,120001182,46925101,3751835,212,13007775,0
19:07:13:696,120000578,173749053,0,550417,1594,0
19:07:13:896,120001433,47133057,3759425,208,13037453,0
19:07:13:896,120000503,173731849,0,551831,1600,0
19:07:14:096,120001494,47147250,3760972,208,13021894,0
19:07:14:096,120000628,173794337,0,550048,1594,0
19:07:14:296,120000771,46621424,3726270,188,12914098,0
19:07:14:296,120000458,173772845,0,551691,1600,0
19:07:14:496,120001143,46962935,3748377,205,12973825,0
19:07:14:496,120000492,173906723,0,548422,1594,0
19:07:14:696,120001483,47307782,3778916,202,13111228,0
19:07:14:696,120000541,173963021,0,546766,1602,0
19:07:14:896,120001340,47115840,3757279,207,13017906,0
19:07:14:896,120000416,173833828,0,550309,1594,0
19:07:15:096,120000699,46927641,3744204,208,12973647,0
19:07:15:096,120000487,173847326,0,549214,1602,0
19:07:15:296,120001253,46700125,3735292,207,12951637,0
19:07:15:296,120000451,173825416,0,549162,1594,0
19:07:15:496,120002338,47195544,3766076,200,13048538,0
19:07:15:496,120000464,173831103,0,548861,1602,0
19:07:15:696,120001244,47036369,3748428,210,12991499,0
19:07:15:696,120000431,173743066,0,550192,1592,0
19:07:15:896,120000719,46586858,3728899,208,12943249,0
19:07:15:896,120000461,173821205,0,549723,1602,0
19:07:16:096,120001484,47022098,3748584,211,12990727,0
19:07:16:096,120000475,173939131,0,548163,1592,0
19:07:16:296,120001287,47130537,3758895,222,13037038,0
19:07:16:296,120000446,174027757,0,545082,1602,0
19:07:16:496,120000628,46954993,3751930,209,13005953,0
19:07:16:496,120000458,173949653,0,546324,1594,0
19:07:16:696,120000568,46938966,3752773,213,12992846,0
19:07:16:696,120000433,173874038,0,547914,1602,0
19:07:16:896,120001374,46942572,3742431,207,12964689,0
