CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,14:42:07:165,327496,227714,343,234,1613,0,0,0,2
2,14:42:07:165,327444,227974,349,229,1682,0,0,0,2
3,14:42:07:165,328973,230653,495,176,1688,0,0,0,0
1,14:42:07:366,120003072,161872290,179836,81096,1564069,0,0,0,5
2,14:42:07:366,120003741,169971746,98926,93205,1261574,0,0,0,2
3,14:42:07:366,120005118,265864774,236,65,1661,0,0,0,0
1,14:42:07:566,120003376,173714624,581293,79948,2651695,0,0,0,5
2,14:42:07:566,120003318,190531406,6160,81356,866390,0,0,0,2
3,14:42:07:566,120002280,265852405,33,24,1287,0,0,0,0
1,14:42:07:767,120003209,210354393,1275,89209,710795,0,0,0,2
2,14:42:07:767,120002730,192169692,1397,97554,824814,0,0,0,2
3,14:42:07:767,120002438,265903375,27,14,1275,0,0,0,0
1,14:42:07:967,120002532,186952488,167121,88688,1288342,0,0,0,5
2,14:42:07:967,120002771,175919948,168360,86120,1355433,0,0,0,5
3,14:42:07:967,327851,226382,367,224,1614,0,0,0,0
1,14:42:08:168,120003234,182799936,249067,87542,1629458,0,0,0,5
2,14:42:08:168,120003793,181408467,84549,93751,1143031,0,0,0,2
3,14:42:08:168,120004858,20732132,211994,38325,786147,0,0,0,0
1,14:42:08:368,120003032,205625426,166018,86999,1243420,0,0,0,2
2,14:42:08:368,120003129,181513308,84344,90940,1139117,0,0,0,2
3,14:42:08:368,120003924,16583766,83779,12524,357880,0,0,0,0
1,14:42:08:569,120003118,183968143,1214,93207,875075,0,0,0,1
2,14:42:08:569,120002888,196541156,84256,85094,1046483,0,0,0,5
3,14:42:08:569,120003799,18574032,133102,46703,540162,0,0,0,0
1,14:42:08:769,120003109,208007564,248511,88311,1465750,0,0,0,5
2,14:42:08:769,120003029,200141653,352,84621,773810,0,0,0,2
3,14:42:08:769,120004271,34123226,147504,64579,749929,0,0,0,0
1,14:42:08:969,120002785,199725944,312,84078,785873,0,1,4,2
2,14:42:08:969,120002786,176614867,248485,87861,1672925,0,1,6,5
3,14:42:08:969,120002553,265890163,27,11,1279,0,1,1,0
1,14:42:09:170,120012161,179167518,166826,85629,1419211,0,1,16,2
