TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
21:12:53:645,280546,208576,0,218,0,2
21:12:53:645,279312,212368,0,152,0,3
21:12:53:845,120001323,39729338,3180350,202,10974064,2
21:12:53:845,120000748,265548704,82,44,1356,3
21:12:54:045,120001378,45993801,3670425,202,12710122,2
21:12:54:045,120000655,265682688,25,18,1247,3
21:12:54:245,120000678,49167654,3930008,194,13636804,2
21:12:54:245,120000523,265750154,18,12,1237,3
21:12:54:445,120000543,48289177,3860314,215,13256972,2
21:12:54:478,275567,205015,0,195,0,3
21:12:54:645,120000652,45854854,3672262,201,12456442,2
21:12:54:678,120003346,15470073,198201,38282,744762,3
21:12:54:845,120001259,47873749,3825590,207,13232152,2
21:12:54:878,120000990,11437361,87156,11594,357685,3
21:12:55:045,120001329,48326676,3865055,206,13414373,2
21:12:55:078,120001071,12736896,123505,44647,491039,3
21:12:55:245,120001283,48269792,3858562,204,13383130,2
21:12:55:278,120001623,22847727,131308,60659,689048,3
21:12:55:445,120001175,48348700,3867358,208,13426007,2
21:12:55:445,120000557,265681709,8,10,1233,3
21:12:55:645,120000634,47845698,3817477,203,13245854,2
21:12:55:678,120001114,70382120,268883,1035392,1536241,3
21:12:55:845,120001373,47578573,3807573,209,13199249,2
21:12:55:878,120001782,76417881,451513,916845,2355985,3
21:12:56:045,120000602,44672710,3569845,188,12374083,2
21:12:56:078,120001592,59538468,646081,944481,2577024,3
21:12:56:245,120001241,46827931,3746160,206,13004260,2
21:12:56:278,120003936,52564103,430160,910951,1853843,3
21:12:56:445,120000744,44952210,3585175,201,12413136,2
21:12:56:478,120001421,63306337,667850,1164665,2425947,3
21:12:56:645,120000783,47045551,3763233,201,13052537,2
21:12:56:678,120002520,84382574,434428,1778201,2348893,3
21:12:56:845,120000671,46979787,3760187,208,13047076,2
21:12:56:878,120002044,95708469,336174,2113535,2242577,3
21:12:57:045,120000726,47384525,3785555,192,13157967,2
21:12:57:078,120001827,97132945,327379,2021697,2241092,3
21:12:57:245,120002022,46780267,3741076,200,12978640,2
21:12:57:278,120002101,93581959,348973,1684409,2586222,3
21:12:57:445,120001532,47179513,3769173,208,13081180,2
21:12:57:478,120001448,93911739,358633,1923551,2361210,3
21:12:57:645,120001183,47202499,3771661,206,13100301,2
21:12:57:678,120001181,97255207,297677,2084260,2229356,3
21:12:57:845,120001225,47482332,3802837,194,13192641,2
21:12:57:878,120002487,99333674,298894,2081679,2132296,3
21:12:58:045,120001454,47249812,3776950,210,13124315,2
21:12:58:078,120001945,98162758,304440,2100882,2174879,3
21:12:58:245,120000632,47523283,3795958,195,13178341,2
21:12:58:278,120003392,100103569,289864,2080438,2142625,3
21:12:58:445,120001354,46859090,3745124,209,12982606,2
21:12:58:478,110742416,81638715,373826,1284742,2494458,3
21:12:58:645,120001340,49099002,3919166,207,13594425,2
21:12:58:678,102597,13527,711,302,2898,3
21:12:58:845,120001305,49603799,3975185,201,13765082,2
21:12:58:878,56829,14235,250,241,1912,3
21:12:59:045,120000778,49924972,3983002,209,13822888,2
21:12:59:078,2437,961,0,10,19,3
21:12:59:245,120001023,49650470,3976364,212,13773238,2
21:12:59:278,1753,961,0,3,0,3
21:12:59:445,120000538,49782389,3976465,215,13771451,2
21:12:59:478,91009,31255,666,526,3791,3
21:12:59:645,120001167,49712582,3974045,201,13789504,2
21:12:59:678,46188,13480,122,158,1860,3
21:12:59:845,120000758,49820107,3985052,198,13809464,2
21:12:59:878,33260,14264,11,140,1429,3
21:13:00:045,120001148,49715243,3969806,216,13764130,2
21:13:00:078,2146,962,0,7,13,3
21:13:00:245,120000812,49785739,3987416,228,13846492,2
21:13:00:278,1672,962,0,1,0,3
21:13:00:445,120001234,49929183,3987414,228,13800481,2
21:13:00:478,137402,51694,574,651,6420,3
21:13:00:645,120000631,49730157,3979364,212,13794331,2
21:13:00:678,36307,13482,72,151,1600,3
21:13:00:845,120001101,49878153,3983497,204,13820670,2
21:13:00:878,2217,962,0,6,12,3
21:13:01:045,120000682,49631121,3974203,215,13771932,2
21:13:01:078,44274,20465,64,213,2071,3
21:13:01:245,120001305,49925005,3983238,212,13799513,2
21:13:01:278,2134,962,0,3,7,3
21:13:01:445,120001284,49523272,3966037,213,13748430,2
21:13:01:478,71165,31344,63,305,3342,3
21:13:01:645,120000551,49762598,3974912,195,13798008,2
21:13:01:678,2399,962,0,5,12,3
21:13:01:845,120001096,49781081,3981119,208,13791506,2
21:13:01:878,31557,13415,11,97,1400,3
21:13:02:045,120000584,49941176,3989907,196,13825064,2
21:13:02:078,39055,18313,20,185,1777,3
21:13:02:245,120001167,49675084,3974115,212,13778671,2
21:13:02:278,2181,962,0,4,10,3
21:13:02:445,120000470,49848177,3984561,215,13808555,2
21:13:02:478,30224,14184,2,89,1325,3
21:13:02:645,120001110,49663930,3967813,209,13764679,2
21:13:02:678,2075,962,0,5,7,3
21:13:02:845,120001335,49530827,3967080,229,13758822,2
21:13:02:878,30063,13411,7,81,1333,3
21:13:03:045,120001370,50043533,3992202,222,13847960,2
21:13:03:078,37506,18258,6,135,1725,3
21:13:03:245,120001153,49581623,3972777,221,13772429,2
21:13:03:278,2393,962,0,2,10,3
21:13:03:445,120000573,49805648,3976178,227,13785612,2
21:13:03:478,64622,31330,20,244,3068,3
21:13:03:645,120001121,49611043,3965825,220,13745719,2
21:13:03:678,2290,962,0,5,7,3
21:13:03:845,120000635,49608809,3973891,213,13778503,2
21:13:03:878,31466,13414,7,76,1380,3
21:13:04:045,120000754,49872994,3977430,208,13813372,2
21:13:04:078,37540,18316,4,139,1713,3
21:13:04:245,120001204,49633455,3976338,219,13802499,2
21:13:04:278,2173,962,0,2,13,3
21:13:04:445,120000646,49843149,3979325,216,13777223,2
21:13:04:478,29119,14183,0,78,1290,3
21:13:04:645,120001118,49721925,3978886,217,13787441,2
21:13:04:678,2195,962,0,4,9,3
21:13:04:845,120000628,49708547,3973743,217,13776683,2
21:13:04:878,31281,13064,10,79,1382,3
21:13:05:045,120001342,49783254,3976244,202,13787239,2
21:13:05:078,36537,17863,3,129,1702,3
21:13:05:245,120000841,49638532,3975944,207,13771589,2
21:13:05:278,2760,962,0,2,15,3
21:13:05:445,120000679,49812105,3973428,210,13779761,2
21:13:05:478,38268,18734,7,150,1799,3
21:13:05:645,120001082,49732508,3985816,206,13803489,2
21:13:05:678,38072,16902,7,107,1575,3
21:13:05:845,120000571,49851075,3976621,187,13782232,2
21:13:05:878,31711,13409,12,84,1492,3
21:13:06:045,120001267,49602710,3969355,204,13773510,2
21:13:06:078,37770,18263,7,127,1766,3
