CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,19:30:23:930,321569,221865,382,214,1541,2,0,0,5
2,19:30:23:930,324896,225425,414,220,1699,2,0,0,7
3,19:30:23:930,328868,230920,369,168,1610,3,0,0,0
1,19:30:24:131,120005303,185134462,176468,90770,1387684,2,0,0,2
2,19:30:24:131,120000639,211446395,90376,95719,948215,2,0,0,5
3,19:30:24:131,120000781,265856475,199,45,1550,3,0,0,0
1,19:30:24:331,120004674,193912589,89813,81683,1089098,2,0,0,2
2,19:30:24:331,120000610,180462365,87043,88233,1154061,2,0,0,2
3,19:30:24:331,120000426,265878510,69,15,1326,3,0,0,0
1,19:30:24:532,120004717,178825073,85860,90847,1170913,2,0,0,2
2,19:30:24:532,120000598,198848901,598,86342,784560,2,0,0,5
3,19:30:24:532,120000440,265893428,71,9,1312,3,0,0,0
1,19:30:24:732,120004304,178285931,84423,87209,1170663,2,0,0,2
2,19:30:24:732,120000620,230634018,1353,96365,538544,2,2,96,2
3,19:30:24:732,330971,228436,387,225,1631,3,0,0,0
1,19:30:24:932,120015360,187465269,167652,108346,1321250,2,2,88,2
2,19:30:24:932,120000702,179437045,167487,80860,1415912,2,2,76,2
3,19:30:24:932,120001510,21035287,211765,38537,785820,3,0,0,0
1,19:30:25:133,120022613,192287406,83941,83390,1079900,2,2,88,2
2,19:30:25:133,120000555,183318655,1023,92078,884438,2,2,91,2
3,19:30:25:133,120000799,16578088,83389,12462,358330,3,0,0,0
1,19:30:25:333,120021746,210133856,937,91532,705053,2,2,89,2
2,19:30:25:333,120000670,183006636,898,89687,887034,2,2,89,2
3,19:30:25:333,120000902,18684199,132615,46972,541981,3,0,0,0
1,19:30:25:534,120020274,178071942,625,97245,911663,2,2,89,2
2,19:30:25:534,120000600,183031948,83855,89952,1138880,2,2,91,5
3,19:30:25:534,120001341,34646319,144613,64711,749105,3,0,0,0
1,19:30:25:734,120020096,181566570,83565,83447,1153593,2,2,91,2
2,19:30:25:734,120000635,197079857,83656,97668,1018446,2,2,91,2
3,19:30:25:734,120000443,265889704,18,6,1286,3,0,0,0
1,19:30:25:935,120020609,166174556,412412,82033,2247302,2,2,91,2
2,19:30:25:935,120000565,183366497,83034,80510,1145256,2,2,91,5
3,19:30:25:935,120001291,92437147,285926,1157175,1637351,3,0,0,0
1,19:30:26:135,120020936,186576202,84552,91421,1110704,2,2,91,2
2,19:30:26:135,120000595,228696765,165018,87973,1066755,2,2,89,2
3,19:30:26:135,120001478,79819695,644035,1097522,3132889,3,0,0,0
1,19:30:26:336,120020698,171689682,83505,80515,1225971,2,2,90,5
2,19:30:26:336,120000519,194583525,1027,92412,809994,2,2,90,5
3,19:30:26:336,120001559,69814449,545928,1007071,2482985,3,0,0,0
1,19:30:26:536,120019557,196798270,248158,90796,1460335,2,2,90,5
2,19:30:26:536,120000578,188621165,166004,79808,1263402,2,2,90,2
3,19:30:26:536,120001439,75012944,695987,1350776,2592950,3,0,0,0
1,19:30:26:736,120020079,192341724,248482,87908,1562244,2,2,89,2
2,19:30:26:736,120000523,196528415,83726,89881,1033918,2,2,90,2
3,19:30:26:736,120001404,93125038,552821,1874656,2789613,3,0,0,0
1,19:30:26:937,120020193,181046094,83686,93223,1149645,2,2,91,2
2,19:30:26:937,120000567,182146183,83487,81983,1151664,2,2,92,2
3,19:30:26:937,120001498,110475302,353407,2434237,2513054,3,0,0,0
1,19:30:27:137,120019910,183895606,387,87207,885582,2,2,92,2
2,19:30:27:137,120000583,181019424,83195,88546,1152335,2,2,90,2
3,19:30:27:137,120001274,112265959,403156,2173926,2850902,3,0,0,0
1,19:30:27:338,120019756,175540158,83641,86013,1190110,2,2,91,2
2,19:30:27:338,120000550,198942496,559,98212,767403,2,2,91,2
3,19:30:27:338,120001439,109786152,333989,2168490,2687028,3,0,0,0
1,19:30:27:538,120020033,183112753,282,89601,888558,2,2,91,2
2,19:30:27:538,120000540,168553963,9,81064,1000523,2,2,91,2
3,19:30:27:538,120001239,108829188,394769,2179187,2835049,3,0,0,0
1,19:30:27:739,120019677,201673458,166115,89768,1249746,2,2,91,2
2,19:30:27:739,120000583,176252627,247703,89699,1666371,2,2,91,2
3,19:30:27:739,120001572,113776015,261708,2542447,2125432,3,0,0,0
1,19:30:27:939,120019946,210663729,234,89058,705798,2,2,91,5
2,19:30:27:939,120000631,169450154,82654,87268,1220471,2,2,91,2
3,19:30:27:939,120001521,110745448,343886,2319669,2542157,3,0,0,0
1,19:30:28:140,120019485,202493070,165896,85373,1253030,2,2,91,2
2,19:30:28:140,120000580,177941622,83320,89655,1162126,2,2,91,2
