TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
06:08:49:231,120000580,33166750,47713,56885,60373,3
06:08:49:360,120000556,168399742,0,81952,987224,2
06:08:49:431,120000581,33181071,47721,58757,60193,3
06:08:49:560,120000537,167633408,0,88993,982753,2
06:08:49:631,120000533,33193225,47758,55005,59735,3
06:08:49:760,120000439,168542356,0,80293,987599,2
06:08:49:831,120000572,33184446,47775,54909,60904,3
06:08:49:960,120000563,167499378,0,90027,984320,2
06:08:50:031,120000528,33191736,47747,55927,60240,3
06:08:50:160,120000434,168011986,0,84294,982590,2
06:08:50:231,120000621,33181370,47728,54636,61462,3
06:08:50:360,120000571,168118948,0,85556,990242,2
06:08:50:431,116986163,32378274,47185,53980,62855,3
06:08:50:560,120000536,167795724,0,87552,980739,2
06:08:50:631,120000529,33164877,47700,57010,59733,3
06:08:50:760,120000523,168365259,0,81791,989226,2
06:08:50:831,120000560,33207769,47762,53822,60830,3
06:08:50:960,120000532,167624941,0,89173,984576,2
06:08:51:031,120000528,33171432,47720,56583,59611,3
06:08:51:160,120000595,168611264,0,80202,984575,2
06:08:51:231,120000580,33204159,47775,54581,61378,3
06:08:51:360,120000573,167494667,0,89983,984722,2
06:08:51:431,120000607,33186724,47751,57249,60863,3
06:08:51:560,120000537,167934185,0,85610,981418,2
06:08:51:631,120000533,33160926,47698,57618,59573,3
06:08:51:760,120000531,168205324,0,84335,988172,2
06:08:51:831,120000608,33194461,47742,55199,60698,3
06:08:51:960,120000525,167704745,0,88003,983720,2
06:08:52:031,120000542,33190585,47741,56695,60217,3
06:08:52:160,120000575,168461481,0,81454,988136,2
06:08:52:231,120000700,31658494,102788,75785,321699,3
06:08:52:360,120000553,167636925,0,89346,983967,2
06:08:52:431,120000607,27959135,34447,50962,122536,3
06:08:52:560,120000581,168642671,0,80024,987336,2
06:08:52:631,120000593,27922602,34166,53362,121089,3
06:08:52:760,120000506,167532448,0,90152,985858,2
06:08:52:831,120000641,27927360,34158,52048,121280,3
06:08:52:960,120000566,167915407,0,86081,983200,2
06:08:53:031,120000613,27926582,33936,52287,122078,3
06:08:53:160,120000498,168303829,0,83697,988319,2
06:08:53:231,120000632,27996392,34001,48441,123301,3
06:08:53:360,120000583,167788865,0,88153,981995,2
06:08:53:431,120000626,27946699,33908,52029,121795,3
06:08:53:560,120000590,168518032,0,81254,987719,2
06:08:53:631,120000598,27932613,33887,52061,120681,3
06:08:53:760,120000566,167576229,0,89510,985658,2
06:08:53:831,120000629,27938978,33893,50481,122054,3
06:08:53:960,120000487,168314253,0,80004,983737,2
06:08:54:031,120000630,27930681,33837,48793,121738,3
06:08:54:160,120000578,167858992,0,90141,989089,2
06:08:54:231,120000618,27966211,34010,50667,122703,3
06:08:54:360,120000517,167883400,0,86821,979969,2
06:08:54:431,120000591,27945093,33910,54692,122575,3
06:08:54:560,120000562,168328622,0,82905,990564,2
06:08:54:631,120000604,27952590,33923,52173,121363,3
06:08:54:760,120000641,167710364,0,88583,983164,2
06:08:54:831,120000618,27943783,33902,48958,121792,3
06:08:54:960,120000561,168565800,5,80969,986729,2
06:08:55:031,120000644,27960852,33950,51040,123642,3
06:08:55:160,120000616,167608883,0,89618,984881,2
06:08:55:231,120000597,27948338,33904,51018,122270,3
06:08:55:360,120000523,168230851,0,81369,983375,2
06:08:55:431,120000593,27961411,33928,49677,122353,3
06:08:55:560,120000576,167946339,0,88858,987981,2
06:08:55:632,120000592,27964434,33943,50310,122138,3
06:08:55:760,120000496,167850767,0,86901,982013,2
06:08:55:832,120000594,27949641,33884,50014,122328,3
06:08:55:960,120000574,168366555,0,82682,989316,2
06:08:56:032,120000607,27607791,33434,52888,122254,3
06:08:56:160,120000581,167613809,0,88781,983037,2
06:08:56:232,120000634,27515861,33313,50017,122781,3
06:08:56:360,120000565,168522677,0,80566,989104,2
06:08:56:432,120000611,27939685,33910,49558,122032,3
06:08:56:560,120000549,167564059,0,89855,983764,2
06:08:56:632,120000616,27969875,33949,47931,121730,3
06:08:56:760,120000575,168106351,0,83659,983231,2
06:08:56:832,120000623,27958686,33908,47619,122015,3
06:08:56:960,120000495,168065934,0,86472,989868,2
06:08:57:032,120000640,27897512,33793,51575,121267,3
06:08:57:160,120000570,167828906,0,87529,980982,2
06:08:57:232,120000606,27953050,33933,48965,121550,3
06:08:57:360,120000518,168449343,0,82007,989239,2
06:08:57:432,120000592,27930529,33884,49522,121430,3
06:08:57:560,120000576,167633858,0,89052,984217,2
06:08:57:632,120000591,27969840,33926,48370,122159,3
06:08:57:760,120000494,168605108,0,80360,989074,2
06:08:57:832,120000579,27949436,33880,52485,122153,3
06:08:57:960,120000576,167556804,0,89994,984233,2
06:08:58:032,120000658,27947190,33881,48184,122039,3
06:08:58:160,120000490,168026424,0,84400,981515,2
06:08:58:232,120000596,27948218,33926,48696,123038,3
06:08:58:360,120000633,168169091,0,85622,989385,2
06:08:58:432,120000648,27953163,33926,47817,120880,3
06:08:58:560,120000587,167810001,0,87625,980245,2
06:08:58:632,120000623,27961929,33921,52354,122575,3
06:08:58:760,120000574,168429938,0,81860,990173,2
06:08:58:832,120000662,27923962,33845,52100,122090,3
06:08:58:960,120000581,167643241,0,89082,984502,2
06:08:59:032,120000588,27944069,33880,50124,122268,3
06:08:59:160,120000575,168659052,0,80275,985155,2
06:08:59:232,120000576,27946737,33907,50543,122244,3
06:08:59:360,120000606,167542008,0,90057,984738,2
06:08:59:432,120000596,27946396,33909,49688,121282,3
06:08:59:560,120000574,167974377,0,85516,981480,2
06:08:59:632,120000632,27964448,33925,52145,122586,3
06:08:59:760,120000575,168241741,0,84244,990103,2
06:08:59:832,120000591,27919453,33842,49772,122192,3
06:08:59:960,120000578,167754192,0,88057,984431,2
