TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
20:25:40:626,235697,198009,0,214,0,2
20:25:40:626,232770,197914,0,143,0,3
20:25:40:826,120001524,40133459,3211815,210,11083934,2
20:25:40:826,120000558,265568755,100,44,1381,3
20:25:41:026,120000566,45915305,3670552,208,12709903,2
20:25:41:026,120000513,265696769,24,21,1241,3
20:25:41:226,120000672,49158773,3932793,213,13630138,2
20:25:41:226,120000537,265755323,8,10,1228,3
20:25:41:426,120000593,48230938,3856693,208,13208937,2
20:25:41:457,278688,208956,0,198,0,3
20:25:41:626,120001746,45895370,3672343,192,12470645,2
20:25:41:657,120002001,15450138,198180,38399,743554,3
20:25:41:826,120001292,48206459,3851612,209,13343970,2
20:25:41:857,120000922,11454164,87486,11504,354137,3
20:25:42:026,120001190,48373717,3870223,207,13446852,2
20:25:42:057,120001166,12753631,121626,44441,488697,3
20:25:42:226,120001526,48291070,3861012,212,13388945,2
20:25:42:257,120001188,22603577,127948,60004,671477,3
20:25:42:426,120000783,48453691,3870509,207,13429138,2
20:25:42:426,120000519,265675968,6,9,1234,3
20:25:42:626,120001495,47801699,3814999,206,13248436,2
20:25:42:657,120001666,68293174,261531,1002413,1487409,3
20:25:42:826,120001266,47443238,3798529,202,13177797,2
20:25:42:857,120002395,76926082,433608,911181,2287931,3
20:25:43:026,120000724,44821915,3576479,192,12411089,2
20:25:43:057,120001312,59124672,671633,948937,2603105,3
20:25:43:226,120000591,46892063,3754765,208,13030958,2
20:25:43:257,120001649,52436830,429731,881630,1893297,3
20:25:43:426,120001353,44853870,3582793,184,12413810,2
20:25:43:457,120001731,64352040,681232,1183937,2476870,3
20:25:43:626,120001834,47081775,3758378,207,13036625,2
20:25:43:657,120001198,82905480,427771,1740331,2293215,3
20:25:43:826,120000581,46729929,3743348,196,12980563,2
20:25:43:857,120001178,94803477,346691,2068538,2269660,3
20:25:44:026,120000795,47309397,3780777,203,13123560,2
20:25:44:057,120001323,97601988,320625,2058226,2234717,3
20:25:44:226,120002141,46853301,3743316,199,12990673,2
20:25:44:257,120001677,93581555,341984,1697741,2516221,3
