CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL,DET_STATUS,DET_PROB,BENCH_ID
1,23:48:12:243,327308,226459,356,243,1673,2,0,0,2
2,23:48:12:243,327052,227407,350,230,1603,2,0,0,5
3,23:48:12:243,327036,230121,501,190,1671,3,0,0,0
1,23:48:12:443,120003992,182110402,15179,90276,939744,2,0,0,5
2,23:48:12:443,120004506,197605683,176581,97584,1270473,2,0,0,2
3,23:48:12:443,120003957,265872115,214,58,1669,3,0,0,0
1,23:48:12:643,120003280,172596143,336012,89066,1911171,2,0,0,5
2,23:48:12:643,120003154,175532316,171798,85457,1458230,2,0,0,2
3,23:48:12:643,120002298,265859909,34,20,1292,3,0,0,0
1,23:48:12:844,120003690,199077993,39201,83357,907664,2,0,0,2
2,23:48:12:844,120003413,171585757,248622,83870,1720954,2,0,0,5
3,23:48:12:844,120002357,265893101,25,10,1242,3,0,0,0
1,23:48:13:044,120002920,181476691,48807,90232,1023720,2,0,0,1
2,23:48:13:044,120003839,206379210,1600,91775,712478,2,0,0,2
3,23:48:13:044,327620,225662,345,224,1636,3,0,0,0
1,23:48:13:245,120003023,194153623,166338,91734,1307567,2,0,0,2
2,23:48:13:245,120002593,179055746,166328,80329,1429097,2,0,0,2
3,23:48:13:245,120004776,20828312,211745,38342,785853,3,0,0,0
1,23:48:13:445,120002824,168569388,396,82609,997228,2,0,0,2
2,23:48:13:445,120002979,178031342,84225,89785,1169075,2,0,0,2
3,23:48:13:445,120003909,16782572,83692,12701,357841,3,0,0,0
1,23:48:13:646,120002871,196967289,84789,91135,1038829,2,0,0,2
2,23:48:13:646,120002900,210088198,446,91503,704941,2,0,0,2
3,23:48:13:646,120003277,18580726,134357,46554,544938,3,0,0,0
1,23:48:13:846,120002987,194853594,166157,91666,1301372,2,0,0,5
2,23:48:13:846,120002744,201579898,166504,90178,1253320,2,0,0,2
3,23:48:13:846,120004451,34626632,147507,64505,750305,3,0,0,0
1,23:48:14:047,120003280,181431761,84093,90636,1148994,2,1,6,2
2,23:48:14:047,120003177,166327883,84248,94005,1252282,2,1,6,5
3,23:48:14:047,120002220,265894108,20,9,1254,3,1,1,0
1,23:48:14:247,120011767,183886199,1439,87150,890070,2,1,21,2
2,23:48:14:247,120011580,195300810,755,89589,806608,2,1,16,5
3,23:48:14:247,120003866,92698427,290445,1166281,1663316,3,0,0,0
1,23:48:14:447,120011108,176949622,234695,92509,1611750,2,1,25,5
2,23:48:14:447,120011034,187895910,290,89531,854001,2,1,24,2
3,23:48:14:447,120003979,82105088,648892,1120855,3152283,3,0,0,0
1,23:48:14:648,120011284,200187672,180918,96759,1285318,2,1,24,2
2,23:48:14:648,120011166,198836756,97,91548,778712,2,1,22,2
3,23:48:14:648,120003882,68959236,564613,997426,2505533,3,0,0,0
1,23:48:14:848,120011182,193485377,1196,92204,820928,2,1,25,5
2,23:48:14:848,120010954,168272888,70,82139,999357,2,1,23,2
3,23:48:14:848,120004036,75587223,643690,1357531,2451094,3,1,0,0
1,23:48:15:049,120010978,194896538,167470,89410,1302510,2,1,24,2
2,23:48:15:049,120010624,177407343,78,86233,932443,2,1,24,5
3,23:48:15:049,120013645,93610778,626009,1870775,2951931,3,1,0,0
1,23:48:15:249,120010931,167672426,837,92384,990684,2,1,27,5
2,23:48:15:249,120010745,197444761,248187,88785,1517100,2,1,22,5
3,23:48:15:249,120015270,110234638,359475,2420017,2520140,3,1,0,0
1,23:48:15:450,120011069,186525608,167757,83518,1369210,2,1,24,5
2,23:48:15:450,120011100,179987411,165806,98437,1385810,2,1,23,5
3,23:48:15:450,120013066,111193190,408443,2171510,2814017,3,1,0,0
1,23:48:15:650,120011108,233487317,83448,89198,794893,2,1,21,5
2,23:48:15:650,120011098,199327683,383,93202,769038,2,1,24,2
3,23:48:15:650,120012844,109699703,346265,2148646,2715718,3,1,0,0
1,23:48:15:850,120010930,199597084,84656,97339,1015728,2,1,23,2
2,23:48:15:850,120011334,193966565,166084,92237,1304721,2,1,24,2
3,23:48:15:850,120012893,107454039,407064,2121407,2823727,3,1,0,0
1,23:48:16:051,120010969,168403399,1012,82528,1005294,2,1,23,2
2,23:48:16:051,120011223,193954866,234,87337,813510,2,1,23,2
3,23:48:16:051,120012954,113970097,262711,2582947,2120414,3,1,0,0
1,23:48:16:251,120010835,181249630,84319,85837,1160334,2,1,22,2
2,23:48:16:251,120011230,205262589,185,94709,731705,2,1,23,2
3,23:48:16:251,120012428,111133492,352965,2336417,2580033,3,1,1,0
1,23:48:16:452,120011025,182641898,413831,79473,2125261,2,1,21,5
