CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
1,11:49:52:326,276197,209340,0,209,0,0
2,11:49:52:326,277054,210605,0,211,0,0
1,11:49:52:526,120001118,46357775,3704837,212,12843475,0
2,11:49:52:526,120000588,173885902,0,548862,27,0
1,11:49:52:726,120001276,46247846,3692498,202,12810339,0
2,11:49:52:726,120000679,173846034,0,549538,4,0
1,11:49:52:926,120000642,46367799,3699398,203,12837410,0
2,11:49:52:926,120000464,173908092,0,548389,2,0
1,11:49:53:126,120000659,46340062,3697469,210,12840311,0
2,11:49:53:126,120000446,174045114,0,544809,0,0
1,11:49:53:326,120000634,46378332,3699775,197,12846114,0
2,11:49:53:326,120000449,174007617,0,546067,2,0
1,11:49:53:526,120000638,46326010,3696885,215,12810163,0
2,11:49:53:526,120000465,174007587,0,545273,2,0
1,11:49:53:726,120001091,46391812,3700931,214,12835917,0
2,11:49:53:726,120000447,174115573,0,542365,0,0
1,11:49:53:926,120001506,46271992,3695194,211,12819005,0
2,11:49:53:926,120000501,174066141,0,543159,2,0
1,11:49:54:126,120001303,46256947,3693799,206,12819794,0
2,11:49:54:126,120000486,174021325,0,543680,0,0
1,11:49:54:326,120001123,46245292,3692134,204,12790782,0
2,11:49:54:326,120000540,174085982,0,542154,2,0
1,11:49:54:526,120001091,46361770,3705634,198,12855232,0
2,11:49:54:526,120000636,174168122,0,540175,2,0
1,11:49:54:726,120001231,46281391,3696335,218,12819462,0
2,11:49:54:726,120000458,174199967,0,539573,2,0
1,11:49:54:926,120001166,46198843,3687032,210,12790441,0
2,11:49:54:926,120000464,174250404,0,538213,0,0
1,11:49:55:126,120001105,46285846,3696986,197,12815309,0
2,11:49:55:126,120000617,174074519,0,542786,2,0
1,11:49:55:326,120001044,46268242,3694594,203,12821860,0
2,11:49:55:326,120000450,174039354,0,543266,0,0
1,11:49:55:526,120000597,46349233,3698740,218,12824177,0
2,11:49:55:526,120000482,174074448,0,541969,2,0
1,11:49:55:726,120000672,46241932,3691370,205,12803243,0
