budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
EWMA,695368,690845,496690,493460,248347,49669,49669,49669,49669,49669,49669,49669,49669,49669,246731,49346,49346,49346,49346,49346,49346,49346,49346,49346,49669,49669,49669,49669,49669,49669,49669,49669,49669,49669,49346,49346,49346,49346,49346,49346,49346,49346,49346,49346,
SW,496690,493460,496690,493460,49669,49669,49669,49669,49669,49669,49669,49669,49669,49669,49346,49346,49346,49346,49346,49346,49346,49346,49346,49346,49669,49669,49669,49669,49669,49669,49669,49669,49669,49669,49346,49346,49346,49346,49346,49346,49346,49346,49346,49346,
AFC,139066,138167,99330,98690,49669,9933,9933,9933,9933,9933,9933,9933,9933,9933,49346,9869,9869,9869,9869,9869,9869,9869,9869,9869,9933,9933,9933,9933,9933,9933,9933,9933,9933,9933,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,
LR,99330,98690,99330,98690,9933,9933,9933,9933,9933,9933,9933,9933,9933,9933,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,9933,9933,9933,9933,9933,9933,9933,9933,9933,9933,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,
PIC,3865364268,3865364951,37924690454,37924689619,9933,429483815,429483815,429483815,429483815,429483815,429483815,429483815,429483815,429483815,9869,429483898,429483898,429483898,429483898,429483898,429483898,429483898,429483898,429483898,429483815,4166134071,4166134071,4166134071,4166134071,4166134071,4166134071,4166134071,4166134071,4166134071,429483898,4166133969,4166133969,4166133969,4166133969,4166133969,4166133969,4166133969,4166133969,4166133969,
