
1392640 bytes read in 96 ms (13.8 MiB/s)
## Starting application at 0x00200000 ...
BENCH_ARRAY_INDEX 0
budget_function,period_duration_total,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,has_overflowed,completed_runs_per_task[0],completed_runs_per_task[1],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],predicted_read[0],predicted_read[1],predicted_read[2],predicted_read[3],predicted_read[4],predicted_read[5],predicted_read[6],predicted_read[7],predicted_read[8],predicted_read[9],predicted_write[0],predicted_write[1],predicted_write[2],predicted_write[3],predicted_write[4],predicted_write[5],predicted_write[6],predicted_write[7],predicted_write[8],predicted_write[9],period_duration[0],period_duration[1],period_duration[2],period_duration[3],period_duration[4],period_duration[5],period_duration[6],period_duration[7],period_duration[8],period_duration[9],
got bandwidth_wrapper (0)
got disparity_wrapper (1)
Shutdown task started. Application will run for 5 seconds.
EWMA,100,15934965,2502241,10783603,1702979,OOOOOOOOOO,10,0,2240620,2049040,1805514,1582870,1522147,1382819,1344678,1344655,1339636,1322986,399066,318512,264990,252243,229466,206962,214569,207901,205248,203284,449527,769429,976646,1097890,1182741,1222756,1247140,1266643,1281241,1289590,79813,127552,155039,174479,185476,189773,194732,197365,198941,199809,10,10,10,10,10,10,10,10,10,10,
SW,100,15828493,2345073,10175860,1950760,OOOOOOOOOO,12,1,2575355,198192,591148,1412730,1841720,1819274,1833114,1884837,1847857,1824266,399612,198843,87726,167940,251419,242499,252729,251461,240561,252283,2132120,1784014,1121565,734023,734023,734023,734023,734023,734023,734023,330756,330756,228727,151503,151503,151503,151503,151503,151503,151503,10,10,10,10,10,10,10,10,10,10,
AFC,100,15368771,2492686,10320098,1685471,OOOOOOOOOO,10,1,1688405,2251902,1864198,1635496,1485301,1165688,1208775,1365212,1369325,1334469,231175,354095,292390,255534,232217,351223,204190,185040,197362,189460,337681,720525,949259,1086506,1166265,1166150,1174675,1212782,1244090,1262165,46235,107807,144723,166885,179951,214205,212202,206770,204889,201804,10,10,10,10,10,10,10,10,10,10,
AMBP,100,15161345,2579412,135327486,1639568,OOOOOOOOOO,10,1,1252696,2372006,1883642,1651884,1523001,1436368,1365871,1353379,1324277,998221,198979,363246,286161,263470,236092,222271,211663,208361,203952,385217,250619,674896,916645,1063692,1155553,1211716,1242547,1264713,1276625,126270480,39875,104549,140871,165390,179530,188078,192795,195908,197516,235056,10,10,10,10,10,10,10,10,10,10,
