budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,17442318,11299717,13073859,7929913,1692475,137279,1183249,1603631,1400413,1244104,1210826,1155881,1128367,1122172,1085490,1147190,1125104,1125452,1080685,909641,909641,827626,939481,828775,739418,726164,694882,679755,677556,654216,696046,681737,682188,652591,338495,298251,475250,700926,840823,921479,979348,1014654,1037396,1054351,1060578,1077900,1087340,1094962,1092106,181928,181928,311067,436749,515154,560006,593237,613566,626803,636953,640405,651533,657573,662496,660515,
SW,13820985,8740034,9295330,5753462,1080685,2982367,902008,489327,535469,279631,222691,1647461,575528,330769,1647351,575339,329552,1647656,575151,652591,1920191,669124,257972,380025,25891,234275,1115760,248109,254768,1115676,248046,253911,1115874,247821,1092106,1092106,1092106,1457901,642268,434809,345930,345930,345930,345930,345930,345930,345930,345930,716594,660515,660515,660515,949096,435707,221296,213397,213397,213397,213397,213397,213397,213397,213397,458642,
LR,15415346,3717315,10748910,6879630,575151,15680,1278794,1278907,987476,673245,1278503,987595,668767,1278538,1278538,1278538,1278538,1278538,1278538,247821,247821,247821,247821,247821,247821,247821,247821,247821,247821,247821,247821,247821,247821,247821,716594,716594,716594,716594,716594,716594,716594,716594,716594,716594,716594,716594,716594,716594,716594,458642,458642,458642,458642,458642,458642,458642,458642,458642,458642,458642,458642,458642,458642,458642,
AMBP,12227192,14174057,13029264,1029881126,1278538,3319286,1329728,129111,129111,1197408,49277,49277,1117199,1584,1584,1069392,769098,1040115,746484,247821,2096314,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,716594,663937,797095,797095,797095,877157,877157,877157,925165,925165,925165,954010,954010,971231,971231,458642,419342,517472,76369580,76369580,76369580,83576300,83576300,83576300,87898595,87898595,87898595,94476440,94476440,95999365,
AFC,12481918,13649910,10933618,1439990475,746484,2617890,1471884,378086,378086,1340043,305843,305843,1291025,280289,280289,1268050,273457,273457,1271192,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,909994,971231,523578,713239,646209,646209,784975,689149,689149,809524,703677,703677,816551,707933,707933,820584,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,95999365,
