
1359872 bytes read in 94 ms (13.8 MiB/s)
## Starting application at 0x00200000 ...
BENCH_ARRAY_INDEX 0
VM,Task,Function Index,Task Name,Budget Function,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],total_used_budget_rw_per_index[0],total_used_budget_rw_per_index[1],total_used_budget_rw_per_index[2],total_used_budget_rw_per_index[3],total_used_budget_rw_per_index[4],total_used_budget_rw_per_index[5],total_used_budget_rw_per_index[6],total_used_budget_rw_per_index[7],total_used_budget_rw_per_index[8],total_used_budget_rw_per_index[9],total_used_budget_rw,calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],total_calc_rw_per_index[0],total_calc_rw_per_index[1],total_calc_rw_per_index[2],total_calc_rw_per_index[3],total_calc_rw_per_index[4],total_calc_rw_per_index[5],total_calc_rw_per_index[6],total_calc_rw_per_index[7],total_calc_rw_per_index[8],total_calc_rw_per_index[9],total_calc_rw,clock_per_period[0],clock_per_period[1],clock_per_period[2],clock_per_period[3],clock_per_period[4],clock_per_period[5],clock_per_period[6],clock_per_period[7],clock_per_period[8],clock_per_period[9],total_clock
0,0,0,bandwidth_wrapper,EWMA,279685,225220,192573,172950,161099,154144,149825,147292,145774,144872,369826,98556,83784,74906,69510,66404,64412,63272,62587,62177,649511,323776,276357,247856,230609,220548,214237,210564,208361,207049,2788868,133191,94531,114139,125901,132940,137180,139709,141225,142134,142681,345122,39422,48294,53616,56794,58716,59855,60538,60947,61193,478313,133953,162433,179517,189734,195896,199564,201763,203081,203874,2148128,2102862,2298657,2244057,2523221,2343572,2075184,2079042,2074264,2076449,2074535,21891843
1,0,2,fft_wrapper,EWMA,27305,27305,27305,27305,27305,27305,27305,27305,27305,27305,10730,10730,10730,10730,10730,10730,10730,10730,10730,10730,38035,38035,38035,38035,38035,38035,38035,38035,38035,38035,380350,5461,5461,5461,5461,5461,5461,5461,5461,5461,5461,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,7607,7607,7607,7607,7607,7607,7607,7607,7607,7607,76070,45895,44109,44560,44090,44104,44113,44119,44125,44116,44113,443344
0,0,0,bandwidth_wrapper,SW,144324,144343,144294,142657,143301,143301,143671,143879,143867,143854,425210,61944,61921,61183,61497,61497,61663,61749,61746,61740,569534,206287,206215,203840,204798,204798,205334,205628,205613,205594,2417641,141725,142681,144320,143765,143417,143417,143210,143210,143210,143210,466139,61193,61934,61683,61534,61534,61448,61448,61448,61448,607864,203874,206254,205448,204951,204951,204658,204658,204658,204658,2451974,2102862,2298657,2244057,2523221,2343572,2075184,2079042,2074264,2076449,2105417,21922725
2,0,4,sha_wrapper,EWMA,285242,285242,230279,196632,196632,176785,164890,158203,152816,150920,101700,101700,81415,69043,69043,61737,57372,55071,52830,52226,386942,386942,311694,265675,265675,238522,222262,213274,205646,203146,2699778,64172,64172,97393,117240,117240,129149,136297,140678,143105,144668,20340,20340,32555,39852,39852,44229,46857,48499,49365,49937,84512,84512,129948,157092,157092,173378,183154,189177,192470,194605,1545940,481967,477655,471791,468096,468177,469595,473866,474677,474619,474586,4735029
0,1,1,disparity_wrapper,EWMA,432009,532911,353605,572190,302170,679781,317968,304836,301437,345223,142172,163194,139274,158609,124485,168349,126612,126050,126088,129345,574181,696105,492879,730799,426655,848130,444580,430886,427525,474568,5546308,88607,177467,212694,284593,288108,366442,356747,346364,337378,338947,28434,55386,72163,89452,96458,110836,113991,116402,118339,120540,117041,232853,284857,374045,384566,477278,470738,462766,455717,459487,3719348,17366367,9845153,2643399,13632042,7855571,9310183,17933626,10617191,3377644,11777100,104358276
1,0,2,fft_wrapper,SW,21850,21850,21850,21850,21850,21850,21850,21850,21850,21850,8594,8594,8594,8594,8594,8594,8594,8594,8594,8594,30444,30444,30444,30444,30444,30444,30444,30444,30444,30444,304440,5461,5461,5461,5461,5461,5461,5461,5461,5461,5461,2146,2146,2146,2146,2146,2146,2146,2146,2146,2146,7607,7607,7607,7607,7607,7607,7607,7607,7607,7607,76070,45895,44109,44161,44075,44076,44058,44059,44058,44057,45165,443713
