budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,11324832,6914595,8516438,5178113,508901,1447084,1180849,258118,1079666,960603,118896,989307,900002,77178,970385,898782,73190,973244,888627,188794,926932,750956,136867,684952,605891,45127,625372,565905,17529,612897,565182,14938,614828,558425,101780,370840,532841,477896,598250,670720,560355,646145,696916,572968,652451,701717,576011,655457,702091,37758,215592,322664,285504,365393,413492,339819,396929,430724,348085,401047,433874,350086,403034,434112,
SW,11984268,7480047,11258271,6996115,888627,773496,856385,856385,847596,715185,715185,751138,779391,779391,804093,803752,803752,808460,801432,558425,481748,536968,536968,531081,442816,442816,466810,485627,485627,502098,501864,501864,505004,500331,702091,702091,702091,702091,825826,806389,806389,771306,748571,748571,748571,748571,748571,748571,748571,434112,434112,434112,434112,516599,503622,503622,480236,465084,465084,465084,465084,465084,465084,465084,
LR,11895847,7504965,11228565,6976260,801432,702011,801443,801443,796237,797104,797104,805394,801690,801690,793887,801152,801152,797054,797054,500331,500331,500331,500331,500331,500331,500331,500331,500331,500331,500331,500331,500331,500331,500331,748571,748571,748571,748571,748571,748571,748571,748571,748571,748571,748571,748571,748571,748571,748571,465084,465084,465084,465084,465084,465084,465084,465084,465084,465084,465084,465084,465084,465084,465084,
AMBP,12963159,3082642,9442262,285740464,797054,701386,1403583,234389,1158867,1007014,1007014,912099,855041,855041,826457,807603,807603,806276,783732,500331,433687,874548,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,748571,140357,393002,393002,546175,638342,638342,693093,725482,725482,745677,758062,758062,767704,770909,465084,86817,244363,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,
AFC,13030682,1592595,9341985,356180250,783732,754655,1396663,153529,1199438,1032745,1032745,922813,868559,868559,830254,801649,801649,795541,788151,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,106173,770909,150931,400077,350768,520502,622950,622950,682922,720049,720049,742090,754001,754001,762309,767477,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,23745350,
