budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,10253315,6330803,3922512,4181481,2655910,59988825,51497322,0,322,6027671,5995086,5988644,5998829,6002105,5989869,5997359,5999634,5990528,5999100,4656259,1704574,9202674,4610245,1714360,9307875,4632451,1713097,9304229,4651558,0,0,0,0,0,0,0,0,0,0,133,37,35,26,15,20,16,10,15,15,760826,385164,1317049,579905,84462,1153784,471217,16121,1112219,450056,288439,151531,947328,281462,281462,778603,173397,173397,711362,135531,152165,198764,422421,453917,380026,534777,522065,420876,559144,537326,57687,76455,250629,256795,256795,361156,323604,323604,401155,348030,
SW,10702142,6289709,4412433,5030679,4025300,59946681,58384533,0,157,5990266,6000478,5987537,5996682,6002247,5987664,5994586,6003488,5987460,5996273,7585412,1934050,10406485,4656945,1933560,10400693,4709510,1925172,10003977,4828729,0,0,0,0,0,0,0,0,0,0,29,16,16,17,11,12,15,10,14,17,855346,36562,1239982,520979,73592,1238948,529743,72608,1172351,549598,853503,853503,647614,27427,27427,647234,102350,102350,853673,297352,526208,489113,489113,489113,489113,489113,489113,489113,489113,591567,509832,509832,509832,509515,509515,440758,259004,259004,259004,259004,
AFC,7436551,4851099,2585452,3210099,1712753,59714340,37500889,0,196,5732872,5995733,6004169,5989717,6002413,5998854,5992374,6001048,5999764,5997396,2716340,5655798,2016256,7338175,2512368,1898353,5673771,2035871,2772281,4881676,0,0,0,0,0,0,0,0,0,0,33,26,21,22,15,13,17,15,18,16,233096,992379,336415,1082798,231567,175724,713061,158256,214836,712967,72246,624603,107498,695310,55552,24840,471457,16029,131868,386049,46619,235771,255899,421278,383336,341814,416063,364502,334569,410248,14449,136479,130683,243608,205997,169766,230104,187289,176205,218173,
AMBP,5146986,3798644,1348342,233412150,107416990,107476656,146071982,0,202,5452993,5993350,5997558,5994026,5998378,5998774,18006855,18011288,18012500,18010934,2881087,5339780,1772410,9649231,4574047,1781371,33694903,28830571,28832644,28715938,0,0,0,0,0,0,0,0,0,0,31,23,11,15,14,11,28,28,21,20,379686,972467,289598,1331836,520167,60978,60978,60978,60978,60978,127136,582590,79827,79827,79827,79827,79827,79827,79827,79827,76017,255307,262165,476099,484912,46371530,46371530,46371530,46371530,46371530,25507,136923,13406820,13406820,13406820,13406820,13406820,13406820,13406820,13406820,
PIC,7618440,5449780,2168660,4287882560,4292148020,168094780,265504058,0,182,5996814,18007568,18012117,18011570,18011087,18011565,18010070,18013305,18009988,18010696,1773431,33615391,28727059,28701445,28933051,28706944,28757218,28662487,28927009,28700023,0,0,0,0,0,0,0,0,0,0,14,18,19,19,19,18,19,19,18,19,544978,544978,544978,544978,544978,544978,544978,544978,544978,544978,216866,216866,216866,216866,216866,216866,216866,216866,216866,216866,428788256,428788256,428788256,428788256,428788256,428788256,428788256,428788256,428788256,428788256,429214802,429214802,429214802,429214802,429214802,429214802,429214802,429214802,429214802,429214802,
