budget_function,total_used_budget_r,total_used_budget_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],total_used_budget_rw_per_index[0],total_used_budget_rw_per_index[1],total_used_budget_rw_per_index[2],total_used_budget_rw_per_index[3],total_used_budget_rw_per_index[4],total_used_budget_rw_per_index[5],total_used_budget_rw_per_index[6],total_used_budget_rw_per_index[7],total_used_budget_rw_per_index[8],total_used_budget_rw_per_index[9],
EWMA,697176,695943,248994,49798,49798,49798,49798,49798,49798,49798,49798,49798,248553,49710,49710,49710,49710,49710,49710,49710,49710,49710,497547,99508,99508,99508,99508,99508,99508,99508,99508,99508,
SW,497980,497100,49798,49798,49798,49798,49798,49798,49798,49798,49798,49798,49710,49710,49710,49710,49710,49710,49710,49710,49710,49710,99508,99508,99508,99508,99508,99508,99508,99508,99508,99508,
AMBP,140149,548489323,49798,10039,10039,10039,10039,10039,10039,10039,10039,10039,49710,10022,1002200,208457,20845700,4335905,4093770,2883095,426326450,88734014,99508,20061,1012239,218496,20855739,4345944,4103809,2893134,426336489,88744053,
AFC,28102,793707057,10039,2007,2007,2007,2007,2007,2007,2007,2007,2007,283466808,56693361,56693361,56693361,56693361,56693361,56693361,56693361,56693361,56693361,283476847,56695368,56695368,56695368,56695368,56695368,56695368,56695368,56695368,56695368,
LR,20070,566933610,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,56693361,56693361,56693361,56693361,56693361,56693361,56693361,56693361,56693361,56693361,56695368,56695368,56695368,56695368,56695368,56695368,56695368,56695368,56695368,56695368,
PIC,3865449078,3258851592,2007,429494119,429494119,429494119,429494119,429494119,429494119,429494119,429494119,429494119,56693361,355795359,355795359,355795359,355795359,355795359,355795359,355795359,355795359,355795359,56695368,785289478,785289478,785289478,785289478,785289478,785289478,785289478,785289478,785289478,
