budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_read[10],used_budget_per_period_read[11],used_budget_per_period_read[12],used_budget_per_period_read[13],used_budget_per_period_read[14],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],used_budget_per_period_write[10],used_budget_per_period_write[11],used_budget_per_period_write[12],used_budget_per_period_write[13],used_budget_per_period_write[14],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_read[10],calc_per_period_read[11],calc_per_period_read[12],calc_per_period_read[13],calc_per_period_read[14],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],calc_per_period_write[10],calc_per_period_write[11],calc_per_period_write[12],calc_per_period_write[13],calc_per_period_write[14],
EWMA,19416285,12853886,15409481,10191455,5764781,865581,899675,939227,987135,971788,982359,1012960,987264,991624,1018601,990571,993629,1019806,991284,3745415,581841,614708,635105,648569,654166,658694,662684,662622,663757,665779,664434,664852,666440,664820,1152956,1095481,1056319,1032900,1023747,1013355,1007155,1008316,1004105,1001608,1005006,1002119,1000421,1004298,1001695,749083,715634,695448,683379,676417,671966,669311,667985,666912,666281,666180,665830,665634,665795,665600,
SW,15186053,10090391,14723675,9779129,991284,895452,993594,993899,1058635,1034178,1034219,1058582,1033897,1033880,1058312,1033588,979306,995443,991784,664820,584451,664823,664973,693597,692258,692221,693555,692061,691999,693364,691865,655499,651131,663774,1001695,1001695,1001695,960982,960982,960982,960982,960982,960982,960982,960982,1015376,1023735,1002779,988844,665600,665600,665600,638082,638082,638082,638082,638082,638082,638082,638082,674464,680243,666165,656801,
LR,15021346,9956610,14832660,9852015,991784,891373,1006752,1006896,1031396,1006737,1006918,1031402,1006748,1006890,1006890,1006890,1006890,1006890,1006890,663774,663774,663774,663774,663774,663774,663774,663774,663774,663774,663774,663774,663774,663774,663774,988844,988844,988844,988844,988844,988844,988844,988844,988844,988844,988844,988844,988844,988844,988844,656801,656801,656801,656801,656801,656801,656801,656801,656801,656801,656801,656801,656801,656801,656801,
AMBP,16993140,11273485,12974719,8607353,1006890,927969,1809533,1485252,1314799,1168297,1100248,1083793,1029667,1017061,1033901,999724,999100,1023114,993792,663774,591459,1211996,993559,863629,783172,736096,709138,690481,680451,675771,670461,668455,668558,666485,988844,185673,510445,705406,827284,895486,936438,965909,978660,986340,995852,996626,997120,1002318,1002318,656801,118371,337096,468388,547436,594583,622885,640135,650204,656253,660156,662217,663464,664482,664882,
AFC,16926073,11248162,12932256,8587080,993792,819427,1831637,1498232,1322663,1173014,1102964,1085535,1030727,1017596,1034315,999993,999140,1023265,993773,666485,534823,1223614,1000386,867695,785653,737545,710004,691040,680780,675953,670600,668503,668614,666467,1002318,163885,497435,697594,822607,892688,934743,964901,978066,985972,995640,996510,997036,1002281,1000580,664882,106964,330294,464312,544988,593121,622005,639604,649891,656068,660045,662156,663425,664462,664863,
