budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,30324883,18928311,11396572,10106113,5976731,96041891,100891804,897929,360,6030102,5988336,5991148,5997661,12006011,5999952,12006287,12002913,12005175,18014306,4571125,1716916,9039290,4558045,11078360,4528153,11085929,16513929,16728486,21071571,99277,63329,37499,99074,100526,99403,100838,99476,98483,100024,131,40,33,24,35,15,22,17,17,26,996620,538804,1489300,993596,2081471,988585,2082635,2986884,3022633,3747783,528939,210623,1005668,526285,1251901,522940,1252650,1855328,1879185,2363053,199324,267220,511636,608028,902716,919889,1152438,1519327,1819988,2205547,105787,126754,302536,347285,528208,527154,672253,908868,1102931,1354955,
SW_v2,59744860,36541701,23203159,34246474,21838708,161562142,216869847,985509,266,17473342,12004768,12002004,12006603,18012547,18010787,18012657,18013466,18013914,18012054,23004017,12286959,16856061,14405648,25214830,25340398,25191233,24195411,25111736,25263554,98489,98138,98065,100263,98481,98448,98497,98159,98448,98521,45,37,27,18,25,26,27,20,20,21,2114212,2282729,3043903,2635650,4437892,4458867,4433886,4267974,4420603,4445985,1472753,1386021,1893366,1621259,2822951,2836966,2820274,2709717,2811456,2828396,2114212,2198471,2480281,2654094,3372482,3844136,4443548,4386909,4374154,4378187,1472753,1429387,1584047,1633549,2112525,2427059,2826730,2788986,2780482,2783190,
AFC_v2,17483303,11092609,6390694,5731380,3235318,83756472,78659155,894683,185,17751959,5996475,5998257,5996939,6001367,5998498,5999222,6001539,12008517,12003699,26383256,3229704,1848335,5607464,3368147,1860425,5688465,3116832,12313842,15242685,98246,98847,77937,72379,98852,79200,71216,98786,100568,98652,28,15,15,27,15,13,23,14,17,18,504476,772440,553506,1040968,795343,554828,1055224,753534,2287249,2775041,419631,378892,225303,633783,394126,226628,642834,366309,1389038,1714150,100895,235204,298864,447284,516895,524481,630629,655210,981617,1340301,83926,142919,159395,254272,282242,271120,345462,349631,557512,788839,
LR_v2,64213959,39229091,24984868,41338847,26323581,173627595,227790390,988127,230,11483245,18014704,18015847,18017129,18011936,18016184,18018324,18017736,18017631,18014859,14619111,24024196,23930591,22631034,23965137,23963220,23964735,23953260,22834842,23904264,99420,98773,98922,98682,98721,98804,98824,98704,98355,98922,22,22,23,21,29,21,24,23,25,20,1581143,4239543,4223885,4007357,4229713,4229325,4229619,4227661,4041332,4219513,1106303,2690812,2680367,2536028,2684245,2683980,2684164,2682865,2558680,2677424,2371714,5568743,4216056,3899093,4340891,4229131,4229766,4226682,3948168,4308603,1659454,3483066,2675145,2463859,2758353,2683848,2684256,2682216,2496588,2736796,
AMBP_v2,10954772,7134882,3819890,3318289,1772608,71795723,55198198,842928,158,17807404,5995861,5999844,5996581,6000923,5997961,5996769,6003539,5998115,5998726,25106325,2383641,1933282,5853418,2269406,1912162,5697333,2315109,1921672,5805850,98433,98124,85988,63130,98520,84486,65694,98500,85304,64749,26,14,13,18,16,13,18,13,9,18,361235,631406,562987,1086826,612357,560640,1059613,619950,561663,1078205,324160,284880,234759,661186,272141,232396,643817,277230,233441,655880,65094,160520,216911,351804,363522,362650,451837,436913,415676,493362,58420,93340,109460,197824,191418,179651,245235,226470,205077,265713,
PIC_v2,62800361,38406121,24394240,13842640289,13833968692,167650460,217777349,988903,198,5507375,18014195,18015056,18017500,18017198,18018325,18015541,18014723,18013885,18016662,3836207,23966736,23889684,23880727,23827625,22716191,23910841,23969847,23863482,23916009,98100,98827,99047,99261,99128,98732,98914,98862,99158,98874,19,17,22,21,20,21,19,19,20,20,630166,4229915,4217039,4215596,4206742,4021523,4220558,4230422,4212708,4221452,430580,2684361,2675778,2674794,2668885,2545469,2678110,2684688,2672849,2678726,429122762,774140922,1050152875,1270962148,1447607796,1588887271,1701950658,1792403340,1864761943,1922650574,429082845,773799877,1049571786,1270189117,1446681800,1587851263,1700813362,1791184356,1863478784,1921315502,
EWMA,9472505,5653613,3818892,3990404,2656457,59980979,45400271,661101,139,5999998,5990561,5997256,6004876,5993173,5999098,6002168,5992904,5998892,6002053,1692748,9147125,4557602,1573813,6905981,4718092,1660627,8821150,4630580,1692553,60941,40186,99383,47625,53393,98805,57108,43751,99011,60898,21,16,18,12,13,14,11,11,15,8,536035,1398623,628063,104826,770501,581878,65370,1062944,483677,21696,207920,975960,297793,297793,526355,244937,244937,693007,165095,165095,107207,365490,418004,355368,438394,467090,386746,521985,514323,415797,41584,228459,242325,242325,299131,288292,288292,369235,328407,328407,
SW,15764344,9899463,5864881,7142684,4080094,90012165,84381326,998120,149,6000022,12004521,6000083,12002470,5997991,12005559,5998560,12003319,5996402,12003238,4772641,10923226,4694280,12531453,4582033,12547113,4537567,12608493,4672132,12512388,98991,100839,98902,100037,99212,100569,99245,100430,99198,100697,12,19,16,17,17,14,13,14,13,14,1029353,1153973,114763,1557431,231564,1691464,355560,1701680,377997,1685678,550108,736749,43605,969692,85450,1048637,157716,1055460,172679,1044785,901554,901554,766030,766030,634586,634586,634586,634586,634586,634586,497813,497813,443487,443487,366249,366249,366249,366249,366249,366249,
AFC,10833162,6689009,4144153,4362932,2863531,59836675,56784054,689860,111,5863112,5999363,5988961,5999786,6004487,5990027,5998724,6003122,5990007,5999086,4382780,1974934,10891474,4681042,1969759,10813607,4670992,1962436,10611242,4825788,98671,89548,8835,98823,89143,9414,98766,88240,10227,98193,13,9,11,15,10,11,13,7,10,12,329995,501344,1658964,559872,91335,1400333,413498,4076,1314498,415094,140740,211070,1146435,258858,258858,926005,132339,132339,828502,109007,65999,153068,454247,475372,398565,598918,561834,450283,623126,581520,28148,64732,281072,276630,276630,406505,351672,351672,447038,379432,
AMBP,6867038,3462648,3404390,259661623,146054922,95954684,105630003,796070,150,5928077,5997319,5991914,5998297,6002549,5992301,5998413,18018898,18014569,18012347,4412124,1756522,9725057,4597465,1765968,9801678,4681096,21670133,23606598,23613362,98848,67294,33087,98943,67872,32036,99002,99415,99695,99878,14,10,13,16,9,12,13,20,21,22,387936,465417,1450533,585876,95481,95481,95481,95481,95481,95481,130801,188705,1023064,279045,279045,833222,167627,167627,167627,167627,77667,155217,414280,448599,43094310,43094310,43094310,43094310,43094310,43094310,26240,58733,251599,257088,257088,372314,36207965,36207965,36207965,36207965,
