budget_function,total_used_budget_r,total_used_budget_w,total_calc_r,total_calc_w,used_budget_per_period_read[0],used_budget_per_period_read[1],used_budget_per_period_read[2],used_budget_per_period_read[3],used_budget_per_period_read[4],used_budget_per_period_read[5],used_budget_per_period_read[6],used_budget_per_period_read[7],used_budget_per_period_read[8],used_budget_per_period_read[9],used_budget_per_period_write[0],used_budget_per_period_write[1],used_budget_per_period_write[2],used_budget_per_period_write[3],used_budget_per_period_write[4],used_budget_per_period_write[5],used_budget_per_period_write[6],used_budget_per_period_write[7],used_budget_per_period_write[8],used_budget_per_period_write[9],calc_per_period_read[0],calc_per_period_read[1],calc_per_period_read[2],calc_per_period_read[3],calc_per_period_read[4],calc_per_period_read[5],calc_per_period_read[6],calc_per_period_read[7],calc_per_period_read[8],calc_per_period_read[9],calc_per_period_write[0],calc_per_period_write[1],calc_per_period_write[2],calc_per_period_write[3],calc_per_period_write[4],calc_per_period_write[5],calc_per_period_write[6],calc_per_period_write[7],calc_per_period_write[8],calc_per_period_write[9],
EWMA,695398,690832,496710,493450,248359,49671,49671,49671,49671,49671,49671,49671,49671,49671,246727,49345,49345,49345,49345,49345,49345,49345,49345,49345,49671,49671,49671,49671,49671,49671,49671,49671,49671,49671,49345,49345,49345,49345,49345,49345,49345,49345,49345,49345,
SW,496710,493450,496710,493450,49671,49671,49671,49671,49671,49671,49671,49671,49671,49671,49345,49345,49345,49345,49345,49345,49345,49345,49345,49345,49671,49671,49671,49671,49671,49671,49671,49671,49671,49671,49345,49345,49345,49345,49345,49345,49345,49345,49345,49345,
AFC,139077,138166,99340,98690,49671,9934,9934,9934,9934,9934,9934,9934,9934,9934,49345,9869,9869,9869,9869,9869,9869,9869,9869,9869,9934,9934,9934,9934,9934,9934,9934,9934,9934,9934,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,
LR,99340,98690,99340,98690,9934,9934,9934,9934,9934,9934,9934,9934,9934,9934,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,9934,9934,9934,9934,9934,9934,9934,9934,9934,9934,9869,9869,9869,9869,9869,9869,9869,9869,9869,9869,
AMBP,28528,282857966,20660,484765530,9934,2066,2066,2066,2066,2066,2066,2066,2066,2066,9869,2053,205300,42702,4270200,888201,88820100,18474580,129471081,40673880,2066,2066,2066,2066,2066,2066,2066,2066,2066,2066,2053,205300,42702,4270200,888201,88820100,18474580,129471081,40673880,201917433,
