budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,10103346,6250047,3853299,4137692,2619556,59987554,50803092,0,335,6029489,5985552,5991870,5998626,5998411,5991257,5998709,6001081,5992745,5999814,4556701,1731963,9191883,4505490,1730809,9147738,4576288,1718759,9131229,4512232,0,0,0,0,0,0,0,0,0,0,128,44,31,31,18,19,18,9,19,18,744203,391626,1318188,563335,90373,1130111,468234,22463,1087048,434466,277349,156826,946881,270480,270480,763605,172329,172329,696552,126468,148840,197397,421555,449911,378003,528424,516386,417601,551490,528085,55469,75740,249968,254070,254070,355977,319247,319247,394708,341060,
SW,14288861,8781389,5507472,6055442,3055918,84005282,71580545,0,195,5995244,5996201,12007361,5997006,12007235,5997235,12004199,5995629,12009628,5995544,5652783,4555039,11031432,4567976,11037394,4630258,11076773,4687693,9786968,4554229,0,0,0,0,0,0,0,0,0,0,21,26,36,14,28,13,18,12,14,13,1050934,400149,1480560,402232,1481617,412659,1488174,422233,1273243,369588,638835,240318,960931,241718,961657,248651,966012,255030,822745,171575,592966,592966,592966,592966,592966,592966,592966,592966,623359,688355,285650,285650,285650,285650,285650,285650,285650,285650,354268,416450,
AFC,9649086,5454331,4194755,3848032,2510888,59986534,43577116,0,166,5998441,5996855,5996604,6004971,5992106,6000207,6007020,5991023,5997270,6002037,2086211,2026016,7716642,1705144,7490692,4754891,1776678,9676692,4566251,1777899,0,0,0,0,0,0,0,0,0,0,28,14,21,15,14,18,14,16,16,10,419000,467708,1224331,150175,890859,576392,69996,1204579,438625,12666,242843,196483,789864,789864,613230,249090,249090,787375,138458,138458,105543,177976,387247,339833,450038,475308,394246,556312,532775,428754,48568,78151,220493,220493,299040,289050,289050,388715,338664,338664,
AMBP,5273981,3722022,1551959,257668956,137428943,131953672,187881595,0,195,5882864,5995534,5998195,6002919,18004163,18015385,18014983,18013279,18011889,18014461,10049969,2671284,4775827,1941051,34213431,26641811,26597659,26681898,27272512,27036153,0,0,0,0,0,0,0,0,0,0,17,14,12,8,33,26,24,20,22,19,1232271,432813,746111,187261,187261,187261,187261,187261,187261,187261,779168,160896,393572,31189,31189,31189,31189,31189,31189,31189,246534,283789,376253,36680340,36680340,36680340,36680340,36680340,36680340,36680340,155913,156909,204241,19558840,19558840,19558840,19558840,19558840,19558840,19558840,
PIC,7708860,5494980,2213880,4287823800,4292089230,168109659,250565256,0,188,6000540,18004274,18016125,18013626,18013922,18014186,18009508,18010945,18011980,18014553,1814525,32601076,26749222,26826313,26791822,27087750,28510751,26748937,26777275,26657585,0,0,0,0,0,0,0,0,0,0,13,20,21,21,19,19,20,18,19,18,549498,549498,549498,549498,549498,549498,549498,549498,549498,549498,221388,221388,221388,221388,221388,221388,221388,221388,221388,221388,428782380,428782380,428782380,428782380,428782380,428782380,428782380,428782380,428782380,428782380,429208923,429208923,429208923,429208923,429208923,429208923,429208923,429208923,429208923,429208923,
EWMA_v2,7801068342,3908423418,3892644924,915884481,907380881,179619624,237798959,0,204,17478914,18013763,18017551,18014407,18015272,18013734,18013288,18019514,18016784,18016397,23503134,23993466,23819256,22848903,24227079,24246504,24454464,22861962,23336750,24507441,0,0,0,0,0,0,0,0,0,0,25,24,21,19,19,20,18,20,19,19,3870587811,4234420,4205398,4043693,4273304,4276600,4311178,4045868,4125083,4320063,3868641449,2687375,2667996,2560230,2713280,2715466,2738526,2561669,2614493,2744440,200000000,160846884,129518586,104423607,84393546,68370156,55558360,45255861,37029705,30487776,200000000,160537475,128963579,103682909,83488983,67334279,54415128,44044436,35758447,29155645,
SW_v2,8595519896,4304380120,4291139776,7857977337,7845961823,179993297,223765350,0,210,17866814,18010191,18012151,18015285,18013657,18018086,18014360,18015100,18013808,18013845,20438437,22803128,22835646,22861386,22835998,20459296,22824917,22908179,22902447,22895916,0,0,0,0,0,0,0,0,0,0,24,20,22,19,26,21,24,18,18,18,4268371797,4036054,4041532,4045773,4041628,3645659,4039749,4053649,4052683,4051596,4268354326,2555126,2558803,2561580,2558837,2294888,2557599,2566890,2566219,2565508,4268371797,2136203926,1425483128,4041120,4042978,3911020,3909012,3913019,4048694,4052643,4268354326,2135454726,1424489418,2558503,2559740,2471768,2470441,2473126,2563569,2566206,
AFC_v2,26833229,16702211,10131018,9302237,5636255,101811975,110353584,0,183,17786422,5998810,5990950,5997857,12009505,5998519,12006090,12005689,12006929,12011204,23421961,1863172,9960673,4608580,10441392,4850911,11957478,16683075,14760460,11805882,0,0,0,0,0,0,0,0,0,0,23,11,17,15,30,16,20,19,15,17,336701,554936,1650842,1002038,1975177,1042404,2227749,3015075,2694841,2202448,307854,226827,1107892,531909,1181020,558786,1349349,1874148,1660746,1332487,67340,164859,462055,570051,851076,889341,1157022,1528632,1761873,1849988,61570,94621,297275,344201,511564,521008,686676,924170,1071485,1123685,
LR_v2,66212096,40425828,25786268,42835741,27325047,161735323,238049620,0,209,11646694,12006345,12004154,18010637,18013496,18008989,18010203,18012463,18010167,18012175,16187335,11654626,16585169,27484853,27395899,27551145,28699065,27485913,27497990,27507625,0,0,0,0,0,0,0,0,0,0,20,19,18,22,22,22,21,23,18,24,1332639,2177290,2998700,4816072,4801237,4827169,5018364,4816236,4818292,4819829,945569,1315731,1863229,3075045,3065172,3082422,3209878,3075126,3076537,3077559,1998958,2599615,3409405,5724758,4793820,4840135,5113961,4715172,4819320,4820597,1418353,1500812,2136978,3680953,3060236,3091047,3273606,3007750,3077242,3078070,
AMBP_v2,8652440259,4333152723,4319287536,66068772,60337176,179942640,242399421,0,209,17828666,18011083,18013984,18016091,18011805,18012991,18012781,18012343,18011345,18011551,24413906,24689523,23073935,23108982,24754722,24618527,24757623,23320646,24814293,24847264,0,0,0,0,0,0,0,0,0,0,24,22,21,19,20,20,20,20,21,22,4294701331,4350496,4081300,4087186,4361374,4338730,4361884,4122420,4371328,4376674,4294873409,2764741,2585315,2589204,2772029,2756926,2772336,2612755,2778645,2782176,42901870,2319595,2404742,2467107,2561364,2625153,2675249,2668214,2707952,2737526,42932845,2269734,2099565,1977742,1922939,1880762,1853168,1804576,1799450,1796395,
PIC_v2,63345488,38753513,24591975,13843088567,13834237297,179689353,233315227,0,210,17532094,18015777,18015908,18018306,18021272,18017836,18014941,18016586,18016612,18020021,20974864,23718020,23725175,23804152,23325950,23579046,23824787,23750245,23829742,22783246,0,0,0,0,0,0,0,0,0,0,22,20,22,21,21,21,20,21,20,22,1244158,4188466,4189641,4202802,4123234,4165409,4206268,4193801,4206999,4032735,805968,2656718,2657509,2666272,2613283,2641381,2668564,2660273,2669091,2552916,429245561,774230871,1050219354,1271012773,1447631594,1588935086,1701986052,1792424331,1864777594,1922625351,429157923,773854411,1049611760,1270219392,1446694899,1587880925,1700835182,1791196929,1863488091,1921297785,
