budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,9732317,6374254,3358063,4302000,2247815,776758,885569,740720,656279,591556,562572,561014,539897,534199,525690,299050,498011,411183,360718,321094,303833,304054,290727,287414,281979,155351,301394,389259,442663,472441,490467,504576,511640,516151,518058,59810,147450,200196,232300,250058,260813,269461,273714,276454,277559,
SW,9655939,6286600,3369339,4490309,2410448,1051207,213973,273253,534397,700530,715608,690841,712352,704127,690312,564707,120026,144329,285657,374589,384654,368142,382468,376981,367786,822441,771270,512811,340541,340541,340541,340541,340541,340541,340541,434826,415909,276354,183337,183337,183337,183337,183337,183337,183337,
AFC,9619447,6268220,3351227,4193948,2238600,558177,927455,770206,669124,600517,574746,559745,540156,536016,532078,279746,500657,415666,360165,321577,308688,301245,289774,287877,285832,111635,274799,373880,432928,466445,488105,502433,509977,515184,518562,55949,144890,199045,231269,249330,261201,269209,273322,276233,278152,
AMBP,9500147,6189431,3310716,4115200,2198055,382816,966294,787475,684336,608919,595729,552884,538497,542783,529698,186734,521754,424283,368600,326143,322056,296297,288416,292281,284152,76643,254573,361153,425789,462415,489077,501838,509169,515891,518652,37426,134291,192289,227551,247269,262226,269040,272915,276788,278260,
PIC,5653360,3803340,1850020,4290022940,4292562250,380334,380334,380334,380334,380334,380334,380334,380334,380334,380334,185002,185002,185002,185002,185002,185002,185002,185002,185002,185002,429002294,429002294,429002294,429002294,429002294,429002294,429002294,429002294,429002294,429002294,429256225,429256225,429256225,429256225,429256225,429256225,429256225,429256225,429256225,429256225,
