budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,20560947,12396034,8164913,8407859,5525239,1754689,1647689,1394984,1239058,1144157,1089134,1055026,1033527,1022676,1015094,1078209,1107892,933753,826362,760983,723175,699733,685011,677507,672288,350937,610287,767226,861592,918105,952310,972853,984987,992524,997038,215641,394091,502023,566890,605708,629201,643307,651647,656819,659912,
SW,20129149,12111018,8018131,8600521,5693834,2007300,340593,555892,1039221,1360996,1361770,1361574,1360694,1361563,1361415,1328966,225433,368012,688018,901082,901575,901417,900853,901420,901355,1664562,1451386,967928,645235,645235,645235,645235,645235,645235,645235,1102066,960886,640804,427154,427154,427154,427154,427154,427154,427154,
AFC,20125303,12109204,8016099,8124621,5378231,1168832,1773057,1466246,1280562,1170487,1103855,1063879,1039972,1025543,1016771,772963,1173962,970774,847806,774938,730787,704315,688497,678933,673124,233766,541624,726548,837350,903977,943952,967937,982344,990983,996140,154592,358466,480927,554302,598429,624900,640783,650325,656046,659461,
AMBP,19829947,11931318,7898629,7950299,5263184,820339,1841624,1507387,1306320,1185382,1112349,1069403,1043360,1027109,1018045,542273,1219455,998087,864913,784805,736423,707993,690735,679968,673977,164147,499642,701191,822216,894849,938349,964559,980319,989677,995350,108534,330718,464191,544335,592429,621227,638580,649011,655202,658957,
PIC,13635550,8209190,5426360,4284295330,4287913010,820919,820919,820919,820919,820919,820919,820919,820919,820919,820919,542636,542636,542636,542636,542636,542636,542636,542636,542636,542636,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428791301,428791301,428791301,428791301,428791301,428791301,428791301,428791301,428791301,428791301,
