budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,33200865,19917621,13283244,12806046,8540647,59966091,119424838,93,254,6023579,5986365,5993480,5994193,5994452,5994660,5994861,5994873,5994827,5994801,11959161,11924686,11940034,11941808,11942604,11943072,11943384,11943435,11943360,11943294,73,3,3,2,2,2,2,2,2,2,117,41,21,15,11,9,10,10,10,10,1995209,1988798,1991311,1991567,1991700,1991764,1991830,1991825,1991815,1991802,1331235,1326273,1327970,1328134,1328212,1328259,1328297,1328293,1328294,1328277,399041,716992,971855,1175797,1338977,1469534,1573993,1657559,1724410,1777888,266247,478252,648195,784182,892988,980042,1049693,1105413,1149989,1185646,
SW_v2,37088756,22200679,14888077,18776256,12674063,71404741,142286279,25,157,5443859,5991740,5994378,5994199,5994806,5995861,5996280,5996632,11997238,11999748,10837674,11936084,11941630,11941920,11942997,11945268,11946429,11946739,23921296,23926242,14,2,2,1,1,1,1,1,1,1,26,24,23,8,13,12,10,13,15,13,279783,1990654,1991590,1991588,1991774,1992146,1992322,1992393,3988802,3989627,269935,1327540,1328131,1328133,1328270,1328524,1328615,1328678,2659848,2660403,279783,1135219,1420676,1991277,1991651,1991836,1992081,1992287,2657839,3323607,269935,798738,975202,1327935,1328178,1328309,1328470,1328606,1772380,2216310,
AFC_v2,31431301,18806492,12624809,11814025,7952763,65846728,131199751,28,92,11895511,5992173,5994901,5994873,5994865,5994895,5994875,5994904,5994879,5994852,23714851,11937831,11943331,11943394,11943317,11943389,11943441,11943347,11943439,11943411,14,2,2,2,1,1,2,1,1,2,19,10,10,7,8,8,7,8,8,7,880881,1990908,1991830,1991841,1991828,1991838,1991847,1991838,1991843,1991838,670668,1327690,1328307,1328302,1328298,1328310,1328309,1328310,1328308,1328307,176176,539122,829663,1062098,1248044,1396802,1515811,1611016,1687181,1748112,134133,372844,563936,716809,839106,936946,1015218,1077836,1127930,1168005,
LR_v2,80729002,48384567,32344435,51378424,34340751,150013331,299157470,35,213,5974804,5992184,12000258,18006402,18007095,18007893,18005134,18006441,18008267,18004853,11900099,11937872,23927449,35911903,35913882,35915616,35911605,35912605,35915831,35910608,14,3,3,2,2,2,2,2,3,2,14,9,12,37,46,21,11,18,25,20,486602,1990920,3989832,5988007,5988336,5988577,5987869,5988088,5988618,5987718,405579,1327692,2660538,3992830,3993044,3993227,3992744,3992911,3993234,3992636,729903,2743079,4989288,6987094,5988500,5988697,5987515,5988197,5988883,5987268,608368,1788748,3326961,4658976,3993151,3993318,3992503,3992994,3993395,3992337,
AMBP_v2,30059942,17983679,12076263,8438412,5679049,71380812,142239763,25,123,17430367,5991893,5994855,5994832,5994753,5994843,5994815,5994856,5994836,5994762,34756551,11937160,11943275,11943214,11943198,11943297,11943240,11943300,11943330,11943198,14,2,2,1,1,1,1,1,1,1,37,13,11,10,9,9,8,9,8,9,58318,1990818,1991828,1991812,1991805,1991824,1991817,1991826,1991827,1991804,122299,1327647,1328301,1328289,1328276,1328290,1328295,1328297,1328291,1328278,10568,365956,622017,806378,939116,1034691,1103504,1153051,1188725,1214406,22085,254877,422604,543366,630313,692917,737992,770447,793813,810635,
PIC_v2,91490366,54840108,36650258,13852849117,13841594397,167808091,334678022,25,139,5742602,18005085,18007382,18007537,18007593,18007583,18007613,18007601,18007541,18007554,11435759,35911229,35915937,35916295,35916458,35916572,35916519,35916421,35916382,35916450,14,2,2,1,1,1,1,1,1,1,12,19,17,14,13,12,12,14,12,14,942920,5987828,5988622,5988654,5988682,5988694,5988686,5988686,5988662,5988674,711349,3992689,3993242,3993260,3993291,3993295,3993292,3993281,3993272,3993287,429185313,774542545,1050828490,1271857252,1448680267,1590138682,1703305412,1793838796,1866265498,1924206862,429138999,774106466,1050080550,1270859821,1447483244,1588781983,1701820974,1792252165,1864597116,1922473079,
EWMA,20724421,12433103,8291318,8473521,5650777,59944169,119423779,13,107,5991859,5993907,5994676,5994679,5994831,5994846,5994813,5994832,5994881,5994845,11936887,11941203,11942824,11942944,11943121,11943372,11943341,11943320,11943422,11943345,2,2,2,1,1,1,1,1,1,1,18,15,11,9,10,8,9,9,9,9,1990769,1593332,1354573,1211098,1125044,1073427,1042409,1023819,1012670,1005962,1327611,1062562,903320,807645,750258,715836,695144,682763,675322,670857,398153,637188,780665,866751,918409,949412,968011,979172,985871,989889,265522,424930,520608,578015,612463,633137,645538,652983,657450,660131,
SW,20026324,12014273,8012051,8537408,5693313,59926330,119388203,13,90,5994342,5993193,5993394,5993237,5992808,5992490,5992046,5991863,5991481,5991476,11942186,11939933,11940281,11939995,11939212,11938595,11937698,11937173,11936510,11936620,2,2,2,1,1,1,1,1,1,1,10,9,10,9,9,8,9,9,8,9,1991642,343403,549483,1029770,1350259,1350153,1350002,1349926,1349809,1349826,1328175,228886,366477,686752,900471,900393,900298,900256,900168,900175,1647861,1441843,961509,640885,640885,640885,640885,640885,640885,640885,1099037,961493,641179,427372,427372,427372,427372,427372,427372,427372,
AFC,20055956,12032000,8023956,8078804,5387671,59489033,118499579,25,107,5538233,5991392,5994861,5994887,5994952,5995023,5994972,5994901,5994956,5994856,11016089,11936159,11943163,11943323,11943561,11943570,11943564,11943401,11943474,11943275,14,2,2,1,1,1,1,1,1,1,26,11,9,9,9,9,9,9,8,8,1197079,1751232,1450026,1268412,1159446,1094047,1054797,1031229,1017119,1008613,798557,1167809,966954,845847,773196,729584,703412,687699,678290,672608,239415,541778,723427,832424,897828,937071,960616,974738,983214,988293,159711,361330,482454,555132,598744,624912,640612,650029,655681,659066,
AMBP,19733937,11838847,7895090,7889224,5261318,59385208,118292620,25,103,5436129,5990983,5994778,5994770,5994722,5994839,5994743,5994709,5994821,5994714,10812055,11935405,11943169,11943121,11943133,11943292,11943073,11943046,11943235,11943091,14,2,2,1,1,1,1,1,1,1,24,11,8,9,8,9,9,9,8,8,815654,1827314,1495774,1295823,1175847,1103892,1060671,1034754,1019240,1009878,544202,1218525,997442,864115,784125,736140,707331,690052,679706,673452,163210,496030,695978,815947,887927,931120,957030,972574,981907,987501,108920,330841,464161,544151,592145,620944,638221,648587,654810,658538,
PIC,13611100,8164100,5447000,4284353950,4287886180,167502397,334055214,24,149,5436029,18004819,18007490,18007566,18007747,18007750,18007724,18007781,18007734,18007757,10811930,35910300,35916209,35916358,35916740,35916740,35916695,35916686,35916776,35916780,13,2,2,1,1,1,1,1,1,1,21,20,16,14,13,12,14,13,12,14,816410,816410,816410,816410,816410,816410,816410,816410,816410,816410,544700,544700,544700,544700,544700,544700,544700,544700,544700,544700,428435395,428435395,428435395,428435395,428435395,428435395,428435395,428435395,428435395,428435395,428788618,428788618,428788618,428788618,428788618,428788618,428788618,428788618,428788618,428788618,
