budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,34534049,21285521,13248528,13684799,8517830,59964587,118315042,373,5791,6022552,5986494,5993681,5994095,5994314,5994487,5994771,5994714,5994711,5994768,11831546,11815323,11831358,11832636,11833422,11833790,11834209,11834209,11834252,11834297,147,27,24,25,25,25,25,25,25,25,714,600,568,561,554,557,562,556,563,556,2129348,2125861,2128473,2128642,2128757,2128822,2128911,2128892,2128913,2128902,1326003,1323002,1324733,1324848,1324924,1324964,1325010,1325012,1325017,1325015,425869,765867,1038388,1256438,1430901,1570485,1682170,1771514,1842993,1900174,265200,476760,646354,782052,890626,977493,1046996,1102599,1147082,1182668,
SW_v2,38301870,23445822,14856048,19916710,12642680,71394633,141173901,303,5673,5434800,5991248,5994361,5994235,5994642,5995705,5996258,5996600,11997155,11999629,10707872,11826283,11832780,11832659,11833777,11836072,11837278,11837939,23812033,23817208,70,33,24,25,25,25,25,25,26,25,587,572,571,568,562,565,560,560,568,560,291268,2127633,2128681,2128678,2128835,2129227,2129400,2129499,4125878,4126723,267458,1324163,1324880,1324860,1324983,1325229,1325353,1325423,2656566,2657133,291268,1209451,1515861,2128331,2128731,2128913,2129154,2129375,2794926,3460700,267458,795811,972167,1324634,1324908,1325024,1325188,1325335,1769114,2213041,
AFC_v2,32659324,20054505,12604819,12585771,7943121,65888608,130194470,295,5583,11938678,5991833,5994672,5994788,5994721,5994791,5994819,5994725,5994821,5994760,23692190,11827958,11834065,11834466,11834101,11834483,11834385,11834371,11834308,11834143,54,38,24,26,25,26,26,26,25,25,562,555,557,553,569,553,556,552,569,557,895274,2127862,2128880,2128939,2128914,2128941,2128925,2128925,2128956,2128889,680286,1324322,1325009,1325039,1325012,1325040,1325031,1325031,1325041,1325008,179054,568815,880828,1130450,1330142,1489901,1617705,1719949,1801750,1867177,136057,373710,563969,716183,837948,935366,1013299,1075645,1125524,1165420,
LR_v2,81771564,49528921,32242643,52591445,34237399,149688719,297421184,300,5692,5649609,5992196,12000072,18006022,18007304,18007344,18007366,18008232,18004875,18005699,11138552,11829149,23818314,35802723,35806088,35806624,35807006,35807597,35802131,35803000,60,28,28,28,26,25,25,27,26,27,582,564,556,577,589,576,563,562,565,558,396035,2128087,4126899,6125052,6125636,6125690,6125710,6125850,6124912,6125050,332521,1324463,2657253,3989547,3989933,3989955,3989964,3990066,3989427,3989514,594052,2994113,5126305,7124128,6125928,6125717,6125720,6125920,6124443,6125119,498781,1820434,3323648,4655694,3990126,3989966,3989968,3990117,3989108,3989557,
AMBP_v2,31277063,19224341,12052722,9021874,5669321,71422772,141195161,296,6912,17473202,5991810,5994688,5994678,5994709,5994755,5994700,5994775,5994768,5994687,34729738,11823593,11830119,11829956,11830389,11830195,11830177,11830537,11830476,11829981,63,35,23,25,25,25,25,25,25,25,697,701,687,689,689,694,687,689,692,687,71259,2127176,2128217,2128197,2128260,2128245,2128222,2128280,2128293,2128192,131062,1324009,1324696,1324688,1324725,1324701,1324689,1324739,1324739,1324674,12897,392176,665445,862195,1003867,1105867,1179304,1232189,1270268,1297666,23662,255357,422301,542500,629050,691362,736224,768534,791797,808534,
PIC_v2,92586170,56030180,36555990,13853570677,13841519130,167534619,333001364,273,6953,5469494,18005001,18007364,18007499,18007510,18007553,18007577,18007551,18007529,18007541,10774385,35798312,35803219,35803472,35803773,35803599,35803794,35803485,35803586,35803739,64,26,22,23,23,23,23,23,23,23,698,696,693,711,693,693,690,690,696,693,904812,6124258,6125079,6125167,6125163,6125130,6125162,6125108,6125150,6125151,649056,3989134,3989686,3989743,3989746,3989718,3989750,3989706,3989717,3989734,429177692,774563734,1050872732,1271919948,1448757720,1590227931,1703404106,1793945036,1866377788,1924323990,429126540,774095788,1050071297,1270851715,1447476050,1588775513,1701815090,1792246742,1864592066,1922468329,
EWMA,21553674,13284745,8268929,9053990,5635551,59943462,118293476,246,6929,5991801,5993755,5994543,5994800,5994765,5994775,5994752,5994686,5994774,5994811,11823751,11828266,11829426,11830388,11830558,11830618,11830199,11830155,11830062,11830053,24,23,24,25,25,25,25,25,25,25,711,687,704,687,686,686,689,687,691,701,2127209,1702475,1447311,1294120,1202156,1146959,1113762,1093896,1081990,1074867,1324033,1059691,900866,805520,748279,713913,693251,680882,673465,669029,425441,680847,834139,926135,981339,1014463,1034322,1046236,1053386,1057682,264806,423783,519199,576463,610826,631443,643804,651219,655668,658340,
SW,20833876,12841274,7992602,9117407,5675110,59925999,118258363,245,6921,5994235,5993209,5993437,5993176,5992945,5992546,5991968,5991574,5991434,5991475,11828958,11827243,11827472,11827023,11826649,11825508,11824703,11823697,11823312,11823798,23,23,24,25,25,25,25,25,25,25,696,686,695,695,686,703,690,688,688,694,2128037,358348,590026,1102250,1444098,1443949,1443777,1443610,1443538,1443641,1324570,223305,367170,686006,898823,898699,898600,898485,898441,898503,1769384,1537766,1025470,683541,683541,683541,683541,683541,683541,683541,1101070,957234,638348,425494,425494,425494,425494,425494,425494,425494,
AFC,20903518,12885894,8017624,8660211,5387620,59605596,117645587,298,5848,5655867,5991399,5994701,5994763,5994845,5994804,5994730,5994950,5994739,5994798,11147381,11823409,11834362,11834250,11834272,11834218,11834470,11834605,11834314,11834306,62,37,24,25,25,25,25,25,25,25,693,684,561,559,562,557,559,557,555,561,1331108,1860902,1543786,1352041,1237015,1167970,1126618,1101769,1086802,1077883,823543,1159242,961432,841848,770115,727063,701272,685780,676444,670885,266221,585157,776882,891913,960933,1002340,1027195,1042109,1051047,1056414,164708,363614,483177,554911,597951,623773,639272,648573,654147,657494,
AMBP,20539571,12662615,7876956,8440961,5249643,59395680,117233441,299,5573,5447623,5990631,5994602,5994628,5994740,5994668,5994780,5994697,5994681,5994630,10734997,11825416,11833952,11834214,11834272,11833925,11834189,11834180,11834164,11834132,63,37,24,25,25,25,25,25,25,25,556,559,557,550,554,571,558,554,554,560,889480,1949478,1596583,1383760,1256050,1179392,1133423,1105828,1089269,1079352,545579,1214854,994672,861814,782099,734243,705561,688337,678002,671795,177976,532276,745137,872861,949498,995476,1023065,1039617,1049547,1055508,109195,330326,463195,542918,590754,619451,636673,647005,653204,656922,
