budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,18370232,16122051,2248181,10866248,1490471,1797232,1734310,2978436,1154757,1024334,2526183,810486,843038,2339795,913480,126231,321861,356708,222801,185229,280727,168098,153129,250887,182510,359446,634418,1103221,1113528,1095689,1381787,1267526,1182628,1414061,1313944,25246,84569,138996,155757,161651,185466,181992,176219,191152,189423,
SW,18865896,16295695,2570201,12962072,1822921,2258838,3184560,162619,266970,2284201,1571895,1189396,2700978,1476954,1199284,474913,434207,24410,26219,268957,275784,233557,332770,268986,230398,2230551,2230551,1868672,1204716,904597,904597,904597,904597,904597,904597,355479,355479,311177,161612,106529,106529,106529,106529,106529,106529,
AFC,18826736,16490081,2336655,10887530,1569318,2331064,2077237,1044827,2508170,1367311,854416,2143158,1240314,737515,2186069,288993,337535,188583,319234,235113,141287,243865,208212,131772,242061,466212,788417,839699,1173393,1212176,1140624,1341130,1320967,1204277,1400635,57798,113745,128712,166816,180475,172638,186883,191148,179273,191830,
AMBP,15581333,13097257,2484076,653852933,98747797,1013956,1888394,2640057,1610368,990747,990747,990747,990747,990747,990747,194134,278818,312281,266410,164965,604532,165734,165734,165734,165734,202871,539975,959991,1090066,108510005,108510005,108510005,108510005,108510005,108510005,38906,86888,131966,158854,160076,248967,24480535,24480535,24480535,24480535,
PIC,22302090,18858230,3443860,4270451580,4290490260,1885823,1885823,1885823,1885823,1885823,1885823,1885823,1885823,1885823,1885823,344386,344386,344386,344386,344386,344386,344386,344386,344386,344386,427045158,427045158,427045158,427045158,427045158,427045158,427045158,427045158,427045158,427045158,429049026,429049026,429049026,429049026,429049026,429049026,429049026,429049026,429049026,429049026,
