budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,40392742,35520414,4872328,23067229,3014613,59965429,78044135,505534,42171,6024141,5983698,5993649,5994825,5993889,5994576,5995867,5994360,5994602,5995822,7223852,7545647,7635712,7807779,7594791,7757563,7764511,7699846,9794752,7219682,45649,50108,57380,51610,55950,57618,57134,56015,28723,45347,8949,5031,3724,3420,3042,2857,2528,2475,1376,8769,3476029,3612851,3644794,3718710,3616815,3688051,3687342,3654831,2946018,3474973,459855,445779,441519,447973,434529,446184,444552,440102,853326,458509,695205,1278734,1751946,2145298,2439601,2689291,2888901,3042087,3022873,3113293,91971,162732,218489,264385,298413,327967,351284,369047,465902,464423,
SW_v2,53777343,47418037,6359306,41176618,5722247,83705195,108732419,731698,51332,5739707,5987739,5994110,5995628,5992543,5994179,12000382,12001515,11998525,12000867,7186174,7699373,7710647,7630557,7806944,7785189,17276365,14807869,15445549,15383752,49893,52298,55493,56333,53918,56905,88785,95692,109279,113102,4728,3939,3305,3138,2875,2533,3940,13851,7128,5895,577873,3675019,3674346,3632201,3711407,3697413,6653954,7109958,7365284,7320582,205913,449603,439775,443153,445871,445505,1253451,905988,889331,880716,577873,2126446,2642413,3660522,3672651,3680340,4687591,5820442,7043065,7265275,205913,327758,365097,444177,442933,444843,714942,868315,1016257,892012,
AFC_v2,40679271,35215459,5463812,22792602,3488103,71677094,95627801,600802,39603,17727256,5991609,5995430,5993497,5994776,5995601,5994463,5994799,5995778,5993885,24806448,7217155,7599099,7584900,7812082,7652316,7697032,7787297,7736369,9735103,141425,45065,51385,56672,51228,56881,56657,56999,56207,28283,6341,8827,5064,3685,3423,3051,2840,2533,2488,1351,3168964,3474160,3638995,3620299,3721327,3643286,3659972,3698338,3672452,2917666,1051027,458258,448833,438598,448308,435736,444743,445715,441874,850720,633792,1201865,1689291,2075492,2404659,2652384,2853901,3022788,3152720,3105710,210205,259815,297618,325814,350312,367396,382865,395435,404722,493921,
LR_v2,80993065,70238063,10755002,73788347,11207445,125555991,167874265,1014655,79992,5536046,5991655,12001661,18008179,18006654,18008199,12000583,12000701,12001613,12000700,6560691,7642493,15361884,23326437,29197545,22455830,15443779,15537052,17559303,14789251,44819,51009,107515,164352,91001,152837,107502,115118,84619,95883,8062,5354,7205,8594,3970,17408,6452,5391,3792,13764,301055,3663071,7327283,11093328,8681808,10759757,7355997,7384410,6570783,7100571,183777,443946,885429,1332100,2574830,1346653,881454,893283,1308641,904889,451582,5344079,9159389,12976350,7476048,11798731,5654117,7398616,6163970,7365465,275665,574030,1106170,1555435,3196195,732565,648855,899197,1516320,703013,
AMBP_v2,4331874770,4327116219,4758551,63629909,2306747,65505810,85442008,567298,40259,11554288,5992118,5994969,5994746,5995134,5994707,5995177,5995132,5994911,5994628,14827679,7696900,7793686,7785870,7683390,9437913,7221657,7539620,7642153,7813140,107625,51889,55784,57030,55450,35421,45245,50124,57329,51401,6838,3159,2893,2536,2463,1498,8764,4984,3702,3422,4294924040,3663499,3705301,3698551,3647289,3022338,3476038,3609544,3647896,3721723,401035,442148,444524,443937,440102,792807,458623,445209,441787,448379,42941958,2323329,2339750,2350359,2348770,2235134,2234982,2258904,2283031,2313692,72258,131612,174774,205745,227354,306399,303158,298411,294377,292659,
PIC_v2,109863934,94422778,15441156,13876673180,13828826454,167794797,228990564,1327884,96163,5717867,18005284,18007627,18009144,18008767,18008393,18010172,18008975,18009139,18009429,7223376,23300203,33546488,22476178,23231744,25518901,22475498,23236848,25509953,22471375,56014,168671,31143,152290,164539,142375,152775,164742,142251,153084,2914,7880,1477,17563,9327,6305,17557,9332,6299,17509,1375350,11069706,6992101,10770229,11059900,10278428,10770164,11062730,10275846,10768324,374031,1331748,3477944,1347747,1330278,1777079,1347696,1330471,1776501,1347661,429271799,775628110,1051897637,1273668885,1451143817,1592967468,1706524736,1797429064,1869995150,1928146514,429071535,773520307,1049508564,1269873130,1446161289,1587281176,1700091209,1790335791,1862620662,1920362791,
EWMA,25415551,22440688,2974863,15159676,2083598,59941349,78505267,516996,35820,5991557,5994696,5993667,5994676,5995503,5993560,5994623,5995626,5992732,5994709,7774961,7754632,9626074,7218120,7608414,7577154,7813646,7673771,7672847,7785648,57165,56653,28074,45490,51340,56316,51624,57063,56331,56940,2533,2498,1407,8815,5049,3677,3420,3056,2834,2531,3692101,2942687,1772457,2176357,2169938,2003471,2030848,1894516,1862446,1895867,445050,353737,686070,207477,207326,202793,219673,209272,220774,222691,738420,1179273,1297909,1473598,1612866,1690987,1758959,1786070,1801345,1820249,89010,141955,250778,242117,235158,228685,226882,223360,222842,222811,
SW,24954353,20596197,4358156,16242452,5052400,59936145,78063239,506094,41978,5994469,5993065,5995393,5993821,5993838,5994048,5993199,5993194,5992745,5992373,7216705,7625347,7557034,7809920,7718978,7612265,7781492,7790162,9734067,7217269,45630,51973,54879,51681,57482,56677,57275,56975,28098,45424,8770,5047,3669,3420,3068,2818,2532,2514,1338,8802,3473130,909692,1169444,1869079,2358682,2303906,2379199,2382104,1593076,2157885,458042,458042,458042,458042,458042,458042,458042,458042,346910,346910,2741516,2437677,1850755,1316072,1316072,1316072,1316072,1316072,1316072,1316072,505240,505240,505240,505240,505240,505240,505240,505240,505240,505240,
AFC,24128692,21102560,3026132,15883456,2069709,59946804,78467051,518278,36897,5993554,5992226,5994748,5996845,5994060,5994829,5995600,5993993,5994635,5996314,7568021,7773145,7706673,7668063,7735618,7792146,9804949,7199999,7635696,7582741,56153,51438,57435,57232,56919,56734,29011,45536,51856,55964,3674,3395,3088,2831,2521,2514,1355,8713,5132,3674,3147700,2700623,2328918,2107474,2021340,1972868,1161761,1812763,1972397,1876716,437811,358276,297243,270473,250855,240509,645243,158536,181609,185577,1001052,1340966,1538556,1652339,1726139,1775484,1652740,1684744,1742274,1769162,87562,141704,172811,192343,204045,211337,298118,270202,252484,239103,
AMBP,21782289,18995728,2786561,822017455,113433365,95894503,131339424,766616,48855,5902903,5990841,5995620,5993590,5994889,5994956,5994243,18009391,18009808,18008262,7601707,7680278,7735116,7700507,7787486,9746049,7163971,23049271,23177408,29697631,50281,58061,57385,55611,57473,28688,44408,158722,170936,85051,3287,3130,2854,2505,2511,1400,8453,12453,8435,3827,1852451,3285852,2723717,2349410,2180228,1320814,1320814,1320814,1320814,1320814,190237,409691,332311,284638,262650,643358,165919,165919,165919,165919,370570,953626,1307644,1515997,1648843,163244155,163244155,163244155,163244155,163244155,38127,112439,156413,182058,198176,287212,28114735,28114735,28114735,28114735,
