budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,25177207,21796853,3380354,15291312,1987870,3206749,3048319,2543076,2291447,2123797,2024622,1985875,1872487,1923906,776575,235339,413725,351058,301582,273508,256629,248047,246061,233552,820853,641349,1122743,1406809,1583736,1691748,1758322,1803832,1817563,1838831,1626379,47067,120398,166530,193540,209533,218952,224771,229029,229933,348117,
SW,24490502,21146061,3344441,15922936,2026919,3716857,724737,1013177,1870779,2499467,2538407,2481165,1536234,2261111,2504127,469307,120824,119481,229218,309415,305919,317305,838067,327321,307584,2992776,2691617,1818257,1202898,1202898,1202898,1202898,1202898,1202898,1202898,347413,347413,236537,156508,156508,156508,156508,156508,156508,156508,
AFC,24751989,21553131,3198858,14585871,2111103,2231243,3269487,2695028,2343479,2159142,2078768,1933935,945074,1847135,2049840,286124,410779,339017,295634,270604,252526,254840,773496,148476,167362,446248,1010895,1347721,1546872,1669326,1751214,1787758,1619222,1664804,1741811,57224,127935,170151,195247,210318,218759,225975,335479,298079,271936,
AMBP,22354390,19224258,3130132,531563644,66988912,1711833,3374963,2755896,2381145,2199474,2092717,1934376,924618,924618,924618,172877,433422,352476,303729,275873,261249,249402,787192,146956,146956,342446,948949,1310338,1524499,1659494,1746138,1783785,174082665,174082665,174082665,34655,114408,162021,190362,207464,218221,224457,337004,32750160,32750160,
PIC,42071270,37451210,4620060,4246280710,4288961200,3745121,3745121,3745121,3745121,3745121,3745121,3745121,3745121,3745121,3745121,462006,462006,462006,462006,462006,462006,462006,462006,462006,462006,424628071,424628071,424628071,424628071,424628071,424628071,424628071,424628071,424628071,424628071,428896120,428896120,428896120,428896120,428896120,428896120,428896120,428896120,428896120,428896120,
