budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,24601466,18530995,6070471,12655175,4113176,2910586,2849710,1319291,2056439,2157345,884875,1804110,2011250,787029,1750360,682391,870427,778456,545652,601590,608992,444695,541366,574744,422158,582117,1035635,1092366,1285180,1459613,1344665,1436554,1551493,1398600,1468952,136478,283267,382304,414973,452296,483635,475847,488950,506108,489318,
SW,24130950,18167110,5963840,12733977,4317164,3153751,1001465,128014,1723015,2493006,1387609,2201010,2495658,1385138,2198444,929483,208121,337800,436662,688648,735681,601394,688993,735998,601060,2441412,2209005,1427743,950831,950831,950831,950831,950831,950831,950831,807483,725184,491801,327528,327528,327528,327528,327528,327528,327528,
AFC,24263887,18301723,5962164,12686234,3950686,2466616,2249351,2645522,1855757,1821803,2015527,758122,1762587,1977774,748664,680674,675054,782978,552001,538671,595821,590210,446453,539802,560500,493323,844528,1204726,1334932,1432306,1548950,1390785,1465145,1567670,1403869,136134,243918,351730,391784,421161,456093,482916,475624,488459,502867,
AMBP,20614675,14902427,5712248,706042000,191127113,1581745,3114668,1517871,2152124,2217679,863668,863668,863668,863668,863668,377263,941825,780405,575291,618970,596246,455562,455562,455562,455562,316429,876076,1004435,1233972,1430713,140236075,140236075,140236075,140236075,140236075,75532,248790,355113,399148,443112,473738,47282920,47282920,47282920,47282920,
PIC,40858640,31558620,9300020,4253941070,4282877250,3155862,3155862,3155862,3155862,3155862,3155862,3155862,3155862,3155862,3155862,930002,930002,930002,930002,930002,930002,930002,930002,930002,930002,425394107,425394107,425394107,425394107,425394107,425394107,425394107,425394107,425394107,425394107,428287725,428287725,428287725,428287725,428287725,428287725,428287725,428287725,428287725,428287725,
