budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,28352160,24462044,3890116,15602797,2498921,59981320,55452831,801451,27023,6028783,5985301,5994802,5995617,5993948,5994981,5997237,5995329,5996670,5998652,5295141,5149578,5625509,5792308,5233003,5682836,5766920,5265782,5792297,5849457,74276,76850,84064,78025,78072,83349,82615,80563,82646,80991,5947,4136,2943,2588,2014,2056,2018,1715,1898,1708,2340033,2273972,2491977,2565667,2292951,2509853,2545574,2306698,2555270,2580049,414798,367371,392666,392721,371340,391575,397536,366307,397350,398452,468006,829199,1161754,1442536,1612619,1792065,1942766,2015552,2123495,2214805,82959,139841,190406,230869,258963,285485,307895,319577,335131,347795,
SW_v2,42042940,36263298,5779642,30758615,5239971,83768669,86892038,1001711,35789,5791619,5987192,5994769,5998503,5992483,5996097,12003133,12003054,11999315,12002504,5077248,5713390,5789640,5401146,7024798,5300235,12468951,13484330,13326682,13305618,81586,78950,83935,82662,63373,74649,127029,134805,141770,132952,1347,1546,1564,1390,731,5815,8532,5779,4967,4118,248333,2513357,2549062,2366277,1967336,2343719,5776736,6230283,6144833,6123362,259711,389951,395914,372139,668474,414114,790044,842503,830320,816472,248333,1380845,1770251,2476232,2294225,2225777,3362597,4783579,6050617,6166159,259711,324831,348525,386001,478842,484909,624211,682220,820956,829765,
AFC_v2,28311014,23351945,4959069,15036531,3501741,71802687,73194250,850083,28420,17831983,5993325,5997291,5998009,5995641,5996917,5996884,5996846,5996625,5999166,25259415,5299031,5366704,4937188,5643905,5561021,4881681,5812111,5537336,4895858,141167,74649,80307,74121,83836,77890,77342,81795,80821,78155,4039,5744,4162,2663,2451,2151,1794,2054,1820,1542,2263049,2342765,2378841,2162328,2493902,2451212,2126840,2567061,2436437,2129510,1565411,414066,381058,345004,397873,378676,350934,399209,378831,348007,452609,830640,1140280,1344689,1574531,1749867,1825261,1973621,2066184,2078849,313082,333278,342834,343268,354189,359086,357456,365806,368411,364331,
LR_v2,69360668,58710244,10650424,63533131,11299846,125621649,148998329,1273233,58230,5587540,5993049,12004395,12001557,12003546,12003944,12003137,18008478,18007993,18008010,5297305,5750585,12445665,17149253,12838152,12581042,13550994,21274105,27572652,20538576,77212,84128,133779,91429,128484,131567,135127,198467,112832,180208,1639,1584,3707,1974,12072,5884,5235,7078,2921,16136,489706,2533876,5711364,4870620,5965711,5805458,6254064,9912531,7521140,9645774,246209,400008,779191,1578297,857518,790367,836358,1287560,2576069,1298847,734559,3555961,7300108,4450248,6513256,5725332,6478367,11741764,6325445,10708091,369313,476907,968782,1977850,497129,756792,859353,1513161,3220323,660236,
AMBP_v2,4316713878,4312225811,4488067,56022557,2054713,65561101,67138316,791328,22892,11601342,5995856,5993436,5995443,5997224,5993880,5996600,5996419,5993387,5997514,12949945,5208990,5701549,5837460,5147007,5763446,5808337,4867543,10561896,5292143,133077,77331,80223,82104,82268,81183,83911,78474,18435,74322,5313,1697,1870,1712,1336,1541,1555,1215,880,5773,4290481229,2279849,2512029,2574271,2246912,2537108,2557866,2112345,2584561,2339641,402816,362252,391717,397996,361836,393307,396918,343577,1024118,413530,42142252,1494426,1528151,1563637,1530262,1558467,1582511,1519629,1559353,1543869,72578,117460,155079,183295,197102,212708,224595,223551,345297,323048,
PIC_v2,99473270,85372203,14101067,13872127739,13827533096,167755072,205810577,1604720,85070,5658135,18004347,18010828,18009805,18012858,18011956,18011227,18010917,18012136,18012863,4740881,23016918,21278883,24378423,20221176,20980222,21364084,28677713,20185437,20966840,73260,161656,198047,148796,180393,186455,198710,91088,180321,185994,3445,11964,7489,4514,16010,8500,6815,1862,15975,8496,790422,10983598,9920574,8496211,9494596,9794212,9951026,6674375,9477339,9789850,265922,1324368,1292327,1956291,1284202,1265314,1280612,2888711,1282497,1260823,429154814,775517300,1052394684,1273611719,1450785024,1592583591,1706053807,1796174650,1868831917,1927020233,429049914,773501534,1049056422,1269633125,1445960070,1587017848,1699867130,1790468175,1862627769,1920351109,
EWMA,18360264,15743685,2616579,10104194,1821320,59957743,58191572,745463,25977,5993188,5995668,5998272,5994752,5997482,5995021,5994695,5994845,5999699,5994121,5764568,7609073,4421506,5673010,5726323,5102793,5689868,5759376,4872666,7572389,83862,57638,72187,78341,79070,77384,83409,79995,73079,60498,1513,560,4327,4869,3458,2195,2214,2181,1637,3023,2536447,1388449,1231547,1735930,1559989,1137244,1410005,1377598,922103,2444373,394475,680633,162435,202091,208306,162548,202403,204497,143276,255915,507289,683521,793126,981686,1097346,1105325,1166261,1208528,1151243,1409869,78895,199242,191880,193922,196798,189948,192439,194850,184535,198811,
SW,18950421,16754143,2196278,8639909,2122975,59934493,58096968,764068,25619,5993376,5995406,5995751,5992094,5994725,5996254,5989387,5992722,5995655,5989123,7734766,5842116,5395767,6636142,5287938,5232294,5398078,5758063,5393903,5417901,58462,84052,81247,65675,74412,76711,81890,80099,77541,83979,2516,1578,1373,869,5692,4131,2846,2425,2230,1959,3671617,346703,316660,589552,1919039,1896470,1964694,2130189,1954811,1964408,443830,81342,85155,395586,225646,184767,192266,202490,192233,192963,2227666,2043784,1444993,417638,417638,417638,417638,417638,417638,417638,317587,290419,203442,187361,187361,187361,187361,187361,187361,187361,
AFC,16839246,14482166,2357080,9891078,1543234,59390973,54675375,791342,19666,5432309,5991737,5995072,5995746,5997079,5993437,5997068,5996510,5996456,5995559,5038693,5846076,4998286,5750320,5742208,5000399,5773077,5735502,5498533,5292281,75712,80516,77650,84587,83645,77139,83554,83651,70415,74473,1699,1968,1584,1738,1566,1302,1549,1499,1061,5700,1781582,2225936,1449406,1660155,1498021,1051058,1432205,1348566,829369,1205868,166366,363787,249868,263590,242020,176208,222594,209624,251028,211995,356316,730240,874073,1031289,1124635,1109920,1174377,1209214,1133245,1147769,33273,99375,129473,156296,173440,173993,183713,188895,201321,203455,
AMBP,16008415,13812524,2195891,357711574,56062267,83602614,93231245,922707,27521,5614266,5991705,5995565,5996202,5997206,5995698,5995259,5997394,18009874,18009445,5146450,5350244,5295252,5754885,5436316,5251484,5826730,5039824,21404880,28725180,75937,77668,80985,80954,78156,82092,80572,76901,197950,91492,4101,2838,2285,2211,2076,1773,1964,1584,6854,1835,1124823,2135254,1720979,1714059,1383261,1219371,1464125,1016884,1016884,1016884,163811,342684,276932,258227,226639,197087,218324,170729,170729,170729,225044,607086,829864,1006703,1082014,1109485,1180413,117223655,117223655,117223655,32842,94810,131234,156632,170633,175923,184403,18371930,18371930,18371930,
