budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
PIC,27066270,25418780,1647490,4261922860,4292825540,2541878,2541878,2541878,2541878,2541878,2541878,2541878,2541878,2541878,2541878,164749,164749,164749,164749,164749,164749,164749,164749,164749,164749,426192286,426192286,426192286,426192286,426192286,426192286,426192286,426192286,426192286,426192286,429282554,429282554,429282554,429282554,429282554,429282554,429282554,429282554,429282554,429282554,
EWMA,21114977,13297193,7817784,9022186,5288149,1898061,1765691,1492299,1326193,1226383,1166070,1130170,1108895,1095568,1087863,1020834,1064383,895225,792333,730526,692877,670580,657543,649163,644320,379612,656827,823921,924375,984776,1021034,1042861,1056067,1063967,1068746,204166,376209,480012,542476,580086,602644,616231,624493,629427,632405,
SW,20650133,12972079,7678054,9238442,5470209,2151607,395136,585727,1107319,1455550,1455471,1455527,1455294,1455148,1455300,1273601,236563,345790,654958,861295,861287,861337,861121,861006,861096,1756218,1565640,1044157,696061,696061,696061,696061,696061,696061,696061,1036857,927642,618651,412437,412437,412437,412437,412437,412437,412437,
AFC,20819585,13077660,7741925,8804808,5212127,1445621,1861751,1548511,1359400,1246254,1178066,1137540,1112989,1098017,1089511,854720,1102239,916924,804847,737829,697532,673582,659072,650104,645076,289124,603649,792621,905976,974031,1014838,1039378,1054100,1062883,1068208,170944,357203,469147,536287,576595,600782,615342,624088,629291,632448,
AMBP,20461278,12853969,7607309,8585296,5080135,1004748,1949577,1601105,1391005,1265303,1189576,1144078,1117174,1100603,1090800,588992,1155316,948718,823942,749292,704384,677552,661591,651641,645881,201029,550738,760811,886849,962539,1007946,1035172,1051572,1061378,1067262,117878,325365,450035,524816,569711,596645,612826,622579,628391,631889,
PIC,15652670,9876390,5776280,4282127970,4287458110,987639,987639,987639,987639,987639,987639,987639,987639,987639,987639,577628,577628,577628,577628,577628,577628,577628,577628,577628,577628,428212797,428212797,428212797,428212797,428212797,428212797,428212797,428212797,428212797,428212797,428745811,428745811,428745811,428745811,428745811,428745811,428745811,428745811,428745811,428745811,
EWMA,15074129,9331162,5742967,6309147,3868037,1222809,1262267,1063781,947091,879203,826740,793625,789219,771786,774641,663034,802396,671681,594816,550151,515533,493730,490925,479371,481330,244561,448102,571237,646407,692966,719720,734501,745444,750712,755497,132606,266564,347587,397032,427655,445230,454930,462129,465577,468727,
SW,14758956,9108762,5650194,6518218,4045705,1500621,274934,426981,773124,1016305,1024748,1018041,1027369,1034715,1011924,930524,171588,265215,479124,630040,635673,631201,637418,642301,627110,1244507,1097772,734179,491680,491680,491680,491680,491680,491680,491680,771426,681340,455776,305309,305309,305309,305309,305309,305309,305309,
AFC,14807299,9139572,5667727,6135381,3803817,901174,1329374,1099268,968941,885370,823337,804591,801635,757653,768229,553395,825777,682580,601793,549741,510595,499436,498235,469429,476746,180234,410062,547903,632110,682762,710877,729619,744022,746748,751044,110679,253698,339474,391937,423497,440916,452620,461743,463280,465973,
AMBP,14715258,9080650,5634608,6073277,3768607,752651,1366151,1120852,981066,890662,838307,802040,784651,775650,768620,466559,847898,695518,608999,552720,520253,497549,486818,481324,476970,150610,393718,539144,627528,680154,711784,729835,740798,747768,751938,93391,244292,334537,389429,422087,441720,452885,459671,464001,466594,
PIC,12289740,7585400,4704340,4285106260,4288851640,758540,758540,758540,758540,758540,758540,758540,758540,758540,758540,470434,470434,470434,470434,470434,470434,470434,470434,470434,470434,428510626,428510626,428510626,428510626,428510626,428510626,428510626,428510626,428510626,428510626,428885164,428885164,428885164,428885164,428885164,428885164,428885164,428885164,428885164,428885164,
EWMA,18053824,15699081,2354743,10617036,1572921,2078512,2073843,1821302,1570718,1502188,1371551,1354276,1325289,1325376,1276026,162998,361793,295990,263614,237528,212675,218020,206824,203675,191626,415702,747330,962124,1083842,1167511,1208319,1237510,1255065,1269127,1270506,32599,98437,137947,163080,177969,184910,191532,194590,196407,195450,
SW,17899489,15536996,2362493,10426366,1799682,2550143,449425,497819,1347487,1797083,1748648,1814034,1776189,1758662,1797506,396066,111881,112975,188861,262314,255213,262375,251939,261661,259208,2058205,1847995,1165796,764910,764910,764910,764910,764910,764910,764910,326005,301361,206974,137906,137906,137906,137906,137906,137906,137906,
AFC,17325184,14594731,2730453,9783201,1842504,1421661,2301656,1849865,1644802,1507065,1383172,342305,1340172,1395390,1408643,214790,356695,282272,255872,235540,216392,762985,116196,127806,161905,284332,687796,920209,1065127,1153514,1199445,1028017,1090448,1151436,1202877,42958,105705,141018,163988,178298,185916,301329,264303,237004,221985,
AMBP,17594619,15239818,2354801,10176640,1568205,1203567,2330749,1861290,1672237,1519071,1383351,1332376,1303466,1331848,1301863,160572,358248,303496,260738,230263,217544,212795,204220,205576,201349,240793,658784,899285,1053875,1146914,1194201,1221836,1238162,1256899,1265891,32194,97404,138622,163045,176488,184699,190318,193098,195593,196744,
PIC,13175680,11327600,1848080,4280241400,4292564770,1132760,1132760,1132760,1132760,1132760,1132760,1132760,1132760,1132760,1132760,184808,184808,184808,184808,184808,184808,184808,184808,184808,184808,428024140,428024140,428024140,428024140,428024140,428024140,428024140,428024140,428024140,428024140,429256477,429256477,429256477,429256477,429256477,429256477,429256477,429256477,429256477,429256477,
EWMA,17486367,15182637,2303730,10316658,1537940,1940530,2108030,1786207,1451486,1492240,1455802,1113129,1423086,1324280,1087847,138506,375048,296469,235398,247119,225175,184559,216085,197709,187662,388106,732090,942913,1044627,1134149,1198479,1181409,1229744,1248651,1216490,27701,97170,137029,156702,174785,184863,184802,191058,192388,191442,
SW,17428400,15172828,2255572,8878712,2082868,2373192,391271,136181,1231597,1765585,1910652,1777467,1836982,1941634,1808267,381022,60548,448595,108939,171135,194811,215935,217370,242654,214563,2038322,1769059,966881,586350,586350,586350,586350,586350,586350,586350,319507,279916,279916,206027,206027,158295,158295,158295,158295,158295,
AFC,16952912,14476680,2476232,9890955,1646563,1658375,2204169,1814330,1378306,1556478,1408543,1153967,947857,1205619,1149036,199022,360130,290143,223480,241824,220372,181932,431809,180079,147441,331675,706173,927804,1017904,1125618,1182203,1176556,1130817,1145777,1146428,39804,103869,141123,157594,174440,183626,183288,232992,222410,207417,
AMBP,16538395,14299275,2239120,248002025,38946030,1245938,2261713,1563501,1722413,1544284,1128976,1436712,1324984,1035377,1035377,173197,354027,260456,268324,230302,190822,218267,211951,165887,165887,249267,651756,834105,1011766,1118269,1120410,1183670,1211932,120310425,120310425,34719,98580,130955,158428,172802,176406,184778,190212,18899575,18899575,
PIC,29821730,25825840,3995890,4261393690,4289772620,2582584,2582584,2582584,2582584,2582584,2582584,2582584,2582584,2582584,2582584,399589,399589,399589,399589,399589,399589,399589,399589,399589,399589,426139369,426139369,426139369,426139369,426139369,426139369,426139369,426139369,426139369,426139369,428977262,428977262,428977262,428977262,428977262,428977262,428977262,428977262,428977262,428977262,
EWMA,18076863,15718840,2358023,10617543,1573174,2073347,2060426,1846063,1548111,1516597,1377059,1342508,1328105,1326551,1300073,162361,360717,298547,261137,238815,213403,216785,206699,204157,195402,414669,743820,964268,1081036,1168148,1209930,1236445,1254777,1269131,1275319,32472,98121,138206,162792,177996,185077,191418,194474,196410,196208,
SW,18005777,15642605,2363172,10397172,1841212,2582106,416534,499752,1355815,1815076,1766620,1811902,1803665,1783526,1807609,399284,136837,104194,182894,260452,252350,259305,247334,261817,258705,2073503,1855969,1166131,757367,757367,757367,757367,757367,757367,757367,327037,311581,213438,141308,141308,141308,141308,141308,141308,141308,
AFC,17684886,15259239,2425647,10244259,1629935,1454062,2282008,1888008,1644408,1497775,1371865,1152063,1326471,1352020,1290559,213501,356710,293214,255742,233188,260958,219721,195653,201894,195066,290812,689051,928842,1071955,1157119,1200068,1190467,1217667,1244537,1253741,42700,105502,143044,165583,179104,195474,200323,199389,199890,198926,
AMBP,17623247,15172399,2450848,134903994,1598972,1143657,2297770,1937442,1690034,1491172,1419408,1359978,1317150,1318350,1197438,171900,368285,298777,257732,227354,225160,212513,204896,203477,280754,228811,642602,901570,1059262,1145644,1200396,1232312,1249279,1263093,125981025,34460,101225,140735,164134,176778,186454,191665,194311,196144,213066,
PIC,27091360,25476400,1614960,4261847960,4292867830,2547640,2547640,2547640,2547640,2547640,2547640,2547640,2547640,2547640,2547640,161496,161496,161496,161496,161496,161496,161496,161496,161496,161496,426184796,426184796,426184796,426184796,426184796,426184796,426184796,426184796,426184796,426184796,429286783,429286783,429286783,429286783,429286783,429286783,429286783,429286783,429286783,429286783,
EWMA,15077304,9332895,5744409,6319772,3875299,1240299,1268416,1065633,952147,863645,823843,799860,779627,771644,767781,674673,806532,672971,598213,539826,513647,497881,484563,479322,476781,248059,452130,574830,650293,692963,719139,735283,744151,749649,753275,134934,269253,349996,399639,427676,444870,455472,461290,464896,467273,
SW,14828401,9150370,5678031,6449000,3999625,1519293,256122,416212,769213,1029275,1027296,1028527,1032876,1032252,1039304,942995,159031,258010,476577,638703,637395,638202,641077,640683,645358,1254018,1100828,730542,480516,480516,480516,480516,480516,480516,480516,777780,683389,453345,297873,297873,297873,297873,297873,297873,297873,
AFC,14813611,9143361,5670250,6133567,3802623,914681,1332755,1082702,971947,886874,811586,806261,791434,767374,777747,562370,828044,671601,603753,550738,502795,500532,491446,475875,483096,182936,412899,546859,631876,682875,708617,728145,740802,746116,752442,112474,255588,338790,391782,423573,439417,451640,459601,462855,466903,
AMBP,14646538,9039366,5607172,6029181,3739284,740237,1343261,1117533,978244,870458,841571,806052,774188,791478,776344,458301,832716,693212,607147,539308,522433,500196,479874,491894,482091,148127,387153,533229,622232,671877,705815,725862,735527,746717,752642,91740,239935,330590,385901,416582,437752,450240,456166,463311,467067,
PIC,11825130,7306340,4518790,4285469040,4289092850,730634,730634,730634,730634,730634,730634,730634,730634,730634,730634,451879,451879,451879,451879,451879,451879,451879,451879,451879,451879,428546904,428546904,428546904,428546904,428546904,428546904,428546904,428546904,428546904,428546904,428909285,428909285,428909285,428909285,428909285,428909285,428909285,428909285,428909285,428909285,
EWMA,18049257,15695000,2354257,10603755,1571161,2065053,2065969,1828924,1553579,1509491,1370625,1343955,1356043,1319675,1281686,161295,361567,295041,263832,237450,215054,214708,208966,201995,194349,413010,743601,960665,1079247,1165295,1206361,1233879,1258311,1270583,1272803,32259,98120,137504,162769,177705,185174,191080,194657,196124,195769,
SW,17977833,15612501,2365332,10392013,1817628,2575171,437859,495127,1334449,1811364,1756134,1820234,1787264,1790460,1804439,398586,124153,108541,184095,261912,253933,261127,250891,263064,259030,2071551,1860392,1169386,755812,755812,755812,755812,755812,755812,755812,327591,307100,210427,138930,138930,138930,138930,138930,138930,138930,
AFC,17591317,15196186,2395131,10213058,1606364,1434745,2302113,1862334,1639064,1496269,1383530,1149245,1331818,1324848,1272220,214338,357082,289544,251286,234731,221303,227768,201442,200340,197297,286949,689981,924451,1067373,1153152,1199227,1189231,1217748,1239168,1245778,42867,105710,142476,164238,178336,186929,195096,196365,197160,197187,
AMBP,17597668,15187289,2410379,10150955,1588709,1150521,2276548,1980284,1649256,1449965,1420178,1368415,1320448,1311855,1259819,175936,363045,301865,247616,236163,221047,212184,204638,203195,244690,230184,639456,907621,1055948,1134751,1191836,1227151,1245810,1259019,1259179,35267,100822,141030,162347,177110,185897,191154,193850,195719,205513,
PIC,10584440,8838230,1746210,4283477580,4292697210,883823,883823,883823,883823,883823,883823,883823,883823,883823,883823,174621,174621,174621,174621,174621,174621,174621,174621,174621,174621,428347758,428347758,428347758,428347758,428347758,428347758,428347758,428347758,428347758,428347758,429269721,429269721,429269721,429269721,429269721,429269721,429269721,429269721,429269721,429269721,
EWMA,21316713,13167833,8148880,8935716,5515408,1879513,1751067,1478604,1313294,1214074,1154439,1118718,1097226,1084304,1076594,1076445,1108482,931559,824194,759730,720999,697786,683831,675429,670425,375902,650935,816468,915833,975481,1011272,1032761,1045654,1053384,1058026,215289,393927,501453,566001,604746,627996,641954,650329,655349,658364,
SW,20827459,12837750,7989709,9144180,5692499,2129823,391109,579663,1095963,1440473,1440364,1440253,1440097,1439995,1440010,1325676,245050,360266,681777,896337,896267,896194,896095,896018,896029,1738361,1549903,1033532,688912,688912,688912,688912,688912,688912,688912,1080383,965235,643664,429031,429031,429031,429031,429031,429031,429031,
AFC,20998978,12943112,8055866,8714435,5423805,1431022,1842860,1532493,1345493,1233320,1166039,1125592,1101368,1086832,1078093,890080,1147140,953962,837532,767680,725795,700618,685539,676487,671033,286204,597535,784526,896719,964039,1004439,1028669,1043208,1051932,1057164,178016,371840,488264,558117,600029,625182,640269,649323,654755,658010,
AMBP,20642554,12725108,7917446,8499184,5287718,993596,1930285,1585548,1377449,1252565,1177703,1132723,1105764,1089595,1079880,615004,1202014,987085,857438,779634,732994,704968,688170,678094,672045,198799,545096,753186,878038,952943,997895,1024860,1041040,1050751,1056576,123080,338866,468509,546294,592962,620968,637768,647848,653897,657526,
PIC,16400500,10125630,6274870,4281803960,4286809950,1012563,1012563,1012563,1012563,1012563,1012563,1012563,1012563,1012563,1012563,627487,627487,627487,627487,627487,627487,627487,627487,627487,627487,428180396,428180396,428180396,428180396,428180396,428180396,428180396,428180396,428180396,428180396,428680995,428680995,428680995,428680995,428680995,428680995,428680995,428680995,428680995,428680995,
EWMA,18053151,15698670,2354481,10611177,1572053,2083720,2069636,1836462,1561378,1498029,1365707,1331231,1341249,1317520,1293738,163874,360996,300273,259408,237639,211775,215881,207941,202192,194502,416744,747322,965150,1084395,1167121,1206838,1231716,1253622,1266401,1271868,32774,98418,138789,162912,177857,184640,190888,194298,195876,195601,
SW,17982066,15613945,2368121,10385017,1807510,2556120,463504,495092,1311782,1811393,1750462,1834357,1818647,1761524,1811064,396875,120825,110392,183268,259038,257911,262879,254540,261916,260477,2059590,1856304,1171572,756793,756793,756793,756793,756793,756793,756793,326316,304696,209364,138162,138162,138162,138162,138162,138162,138162,
AFC,17607386,15207872,2399514,10215944,1609325,1426569,2299756,1866786,1655278,1493647,1385073,1145025,1307365,1354634,1273739,214085,356544,288189,256848,233956,224760,226321,198541,202673,197597,285313,688201,923918,1070190,1154881,1200919,1189741,1213265,1241538,1247978,42817,105562,142087,165039,178822,188009,195671,196245,197530,197543,
AMBP,17597605,15187157,2410448,10147417,1588224,1152194,2282853,1951604,1657453,1452859,1422337,1368298,1326753,1312374,1260432,175626,364147,298427,249032,236275,221236,212184,205162,203323,245036,230518,640985,903108,1053977,1133753,1191469,1226834,1246817,1259928,1260028,35205,100993,140479,162189,177006,185852,191118,193926,195805,205651,
PIC,10468260,8728020,1740240,4283620850,4292704970,872802,872802,872802,872802,872802,872802,872802,872802,872802,872802,174024,174024,174024,174024,174024,174024,174024,174024,174024,174024,428362085,428362085,428362085,428362085,428362085,428362085,428362085,428362085,428362085,428362085,429270497,429270497,429270497,429270497,429270497,429270497,429270497,429270497,429270497,429270497,
EWMA,21311945,13165054,8146891,8933415,5513785,1879383,1747942,1479167,1313538,1214330,1154595,1118660,1096186,1084564,1076689,1076331,1106406,931926,824319,759886,721094,697736,683129,675586,670478,375876,650289,816064,915558,975312,1011168,1032666,1045370,1053208,1057904,215266,393494,501180,565807,604622,627916,641880,650129,655220,658271,
SW,20830346,12840470,7989876,9145125,5691880,2130211,390605,580179,1096399,1440540,1440829,1440573,1440178,1440485,1440471,1325657,244642,360524,681931,896200,896396,896221,895971,896175,896159,1738065,1549968,1033665,689061,689061,689061,689061,689061,689061,689061,1079970,965078,643608,429032,429032,429032,429032,429032,429032,429032,
AFC,21001417,12945583,8055834,8716225,5423884,1431458,1843073,1532961,1345548,1233800,1166421,1125294,1101862,1087223,1077943,890185,1147064,954067,837391,767852,725897,700275,685717,676596,670790,286291,597647,784709,896876,964260,1004692,1028812,1043422,1052182,1057334,178037,371842,488287,558107,600056,625224,640234,649330,654783,657984,
AMBP,20641832,12724852,7916980,8499181,5287479,994519,1930141,1585132,1377376,1252527,1177489,1132711,1105690,1089365,1079902,615491,1201748,986822,857405,779598,732850,704956,688122,677929,672059,198983,545214,753197,878032,952931,997842,1024815,1040990,1050665,1056512,123178,338892,468478,546263,592930,620914,637722,647802,653827,657473,
PIC,16401350,10126160,6275190,4281803270,4286809530,1012616,1012616,1012616,1012616,1012616,1012616,1012616,1012616,1012616,1012616,627519,627519,627519,627519,627519,627519,627519,627519,627519,627519,428180327,428180327,428180327,428180327,428180327,428180327,428180327,428180327,428180327,428180327,428680953,428680953,428680953,428680953,428680953,428680953,428680953,428680953,428680953,428680953,
EWMA,20560947,12396034,8164913,8407859,5525239,1754689,1647689,1394984,1239058,1144157,1089134,1055026,1033527,1022676,1015094,1078209,1107892,933753,826362,760983,723175,699733,685011,677507,672288,350937,610287,767226,861592,918105,952310,972853,984987,992524,997038,215641,394091,502023,566890,605708,629201,643307,651647,656819,659912,
SW,20129149,12111018,8018131,8600521,5693834,2007300,340593,555892,1039221,1360996,1361770,1361574,1360694,1361563,1361415,1328966,225433,368012,688018,901082,901575,901417,900853,901420,901355,1664562,1451386,967928,645235,645235,645235,645235,645235,645235,645235,1102066,960886,640804,427154,427154,427154,427154,427154,427154,427154,
AFC,20125303,12109204,8016099,8124621,5378231,1168832,1773057,1466246,1280562,1170487,1103855,1063879,1039972,1025543,1016771,772963,1173962,970774,847806,774938,730787,704315,688497,678933,673124,233766,541624,726548,837350,903977,943952,967937,982344,990983,996140,154592,358466,480927,554302,598429,624900,640783,650325,656046,659461,
AMBP,19829947,11931318,7898629,7950299,5263184,820339,1841624,1507387,1306320,1185382,1112349,1069403,1043360,1027109,1018045,542273,1219455,998087,864913,784805,736423,707993,690735,679968,673977,164147,499642,701191,822216,894849,938349,964559,980319,989677,995350,108534,330718,464191,544335,592429,621227,638580,649011,655202,658957,
PIC,13635550,8209190,5426360,4284295330,4287913010,820919,820919,820919,820919,820919,820919,820919,820919,820919,820919,542636,542636,542636,542636,542636,542636,542636,542636,542636,542636,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428429533,428791301,428791301,428791301,428791301,428791301,428791301,428791301,428791301,428791301,428791301,
EWMA,24601466,18530995,6070471,12655175,4113176,2910586,2849710,1319291,2056439,2157345,884875,1804110,2011250,787029,1750360,682391,870427,778456,545652,601590,608992,444695,541366,574744,422158,582117,1035635,1092366,1285180,1459613,1344665,1436554,1551493,1398600,1468952,136478,283267,382304,414973,452296,483635,475847,488950,506108,489318,
SW,24130950,18167110,5963840,12733977,4317164,3153751,1001465,128014,1723015,2493006,1387609,2201010,2495658,1385138,2198444,929483,208121,337800,436662,688648,735681,601394,688993,735998,601060,2441412,2209005,1427743,950831,950831,950831,950831,950831,950831,950831,807483,725184,491801,327528,327528,327528,327528,327528,327528,327528,
AFC,24263887,18301723,5962164,12686234,3950686,2466616,2249351,2645522,1855757,1821803,2015527,758122,1762587,1977774,748664,680674,675054,782978,552001,538671,595821,590210,446453,539802,560500,493323,844528,1204726,1334932,1432306,1548950,1390785,1465145,1567670,1403869,136134,243918,351730,391784,421161,456093,482916,475624,488459,502867,
AMBP,20614675,14902427,5712248,706042000,191127113,1581745,3114668,1517871,2152124,2217679,863668,863668,863668,863668,863668,377263,941825,780405,575291,618970,596246,455562,455562,455562,455562,316429,876076,1004435,1233972,1430713,140236075,140236075,140236075,140236075,140236075,75532,248790,355113,399148,443112,473738,47282920,47282920,47282920,47282920,
PIC,40858640,31558620,9300020,4253941070,4282877250,3155862,3155862,3155862,3155862,3155862,3155862,3155862,3155862,3155862,3155862,930002,930002,930002,930002,930002,930002,930002,930002,930002,930002,425394107,425394107,425394107,425394107,425394107,425394107,425394107,425394107,425394107,425394107,428287725,428287725,428287725,428287725,428287725,428287725,428287725,428287725,428287725,428287725,
EWMA,15547072,10201772,5345300,6876805,3579003,1352615,1330471,1132228,1024735,975442,919982,891384,866204,852811,855900,591352,721733,610658,551548,526106,493617,477299,462176,454041,456770,270523,482512,612455,694911,751017,784810,806124,818140,825074,831239,118270,238962,313301,360950,393981,413908,426586,433704,437771,441570,
SW,15395126,10056108,5339018,7198376,3830452,1673614,313374,453609,862126,1129084,1112036,1124745,1126440,1131262,1129818,889592,171376,239586,457513,599247,587778,596253,597424,600592,599657,1364770,1218822,813532,543036,543036,543036,543036,543036,543036,543036,721231,649259,433518,289492,289492,289492,289492,289492,289492,289492,
AFC,15417067,10074687,5342380,6758523,3580203,983426,1473736,1211698,1049725,980093,925198,885612,866212,851290,847697,502177,787098,645447,557172,522568,493202,470997,460664,452256,450799,196685,452095,604015,693157,750544,785474,805501,817643,824372,829037,100435,237767,319303,366876,398014,417051,427840,434404,437974,440539,
AMBP,15259016,9967698,5291318,6658355,3533387,793064,1521468,1236382,1073179,979877,924199,863189,867694,853832,854814,414927,811084,657102,570006,520736,491410,455567,461276,453744,455466,158692,431247,592274,688455,746739,782231,798422,812276,820587,827432,83065,228668,314354,365484,396534,415509,423520,431071,435605,439577,
PIC,12298510,8062760,4235750,4284485690,4289460800,806276,806276,806276,806276,806276,806276,806276,806276,806276,806276,423575,423575,423575,423575,423575,423575,423575,423575,423575,423575,428448569,428448569,428448569,428448569,428448569,428448569,428448569,428448569,428448569,428448569,428946080,428946080,428946080,428946080,428946080,428946080,428946080,428946080,428946080,428946080,
EWMA,25149178,21792001,3357177,15261158,1980846,3197818,3028105,2552875,2276084,2123410,2024314,1957709,1914919,1876799,839968,234110,412462,351841,300012,273552,257106,243267,249824,235216,799787,639563,1117271,1404391,1578729,1687665,1754994,1795537,1819413,1830890,1632705,46822,119950,166328,193064,209161,218750,223653,228887,230152,344079,
SW,24451970,21124291,3327679,15909432,2022056,3716833,720323,1018605,1866627,2485635,2529300,2488252,1542357,2262291,2494068,469015,119026,118876,229134,309339,307849,315531,824251,328299,306359,2987646,2690235,1818587,1201852,1201852,1201852,1201852,1201852,1201852,1201852,348332,348332,235639,155679,155679,155679,155679,155679,155679,155679,
AFC,24697429,21518539,3178890,14563531,2100240,2225730,3262511,2694851,2340632,2141059,2053621,1964387,964336,1840835,2030577,286477,410296,338682,294587,270183,252846,252400,754062,152612,166745,445146,1008619,1345865,1544818,1664066,1741977,1786459,1622035,1665795,1738751,57295,127895,170052,194959,210003,218571,225336,331081,295388,269660,
AMBP,22422219,19305126,3117093,530923945,66301129,1723720,3367209,2747012,2380630,2177292,2068679,1949997,963529,963529,963529,177547,431845,350881,303452,274852,253630,256510,768168,150104,150104,344824,949301,1308843,1523200,1654018,1736950,1779559,173875750,173875750,173875750,35589,114840,162048,190328,207232,216511,224510,333241,32408415,32408415,
PIC,42113380,37398090,4715290,4246349760,4288837400,3739809,3739809,3739809,3739809,3739809,3739809,3739809,3739809,3739809,3739809,471529,471529,471529,471529,471529,471529,471529,471529,471529,471529,424634976,424634976,424634976,424634976,424634976,424634976,424634976,424634976,424634976,424634976,428883740,428883740,428883740,428883740,428883740,428883740,428883740,428883740,428883740,428883740,
EWMA,21399428,13246041,8153387,8988391,5518026,1891838,1758417,1488174,1321529,1220875,1161823,1125677,1103199,1091249,1083260,1076939,1107281,932753,825053,759966,721828,698444,683899,676194,671030,378367,654377,821136,921214,981146,1017281,1038960,1051807,1059695,1064408,215387,393765,501562,566260,605001,628366,642381,650684,655786,658834,
SW,20909008,12914224,7994784,9197650,5695530,2142775,392540,583571,1102820,1448228,1449284,1449102,1448018,1448971,1448915,1326702,244733,360738,682418,896353,897054,896922,896209,896854,896801,1748189,1558993,1039629,692977,692977,692977,692977,692977,692977,692977,1080595,965805,644058,429296,429296,429296,429296,429296,429296,429296,
AFC,21081800,13020538,8061262,8766571,5427437,1438981,1854075,1541991,1353164,1241011,1173230,1132123,1108236,1093550,1084177,890228,1148044,954824,837860,768432,726420,700939,686191,677076,671248,287796,601051,789239,902024,969821,1010502,1034826,1049508,1058316,1063488,178045,372044,488600,558452,600448,625642,640701,649799,655254,658452,
AMBP,20719369,12797707,7921662,8547768,5290515,1000342,1941245,1593433,1385519,1259983,1183854,1139483,1112347,1095323,1086178,615665,1202555,986974,858118,780295,733034,705587,688760,678163,672511,200148,548367,757380,883007,958402,1003492,1030690,1047021,1056681,1062580,123213,339081,468659,546550,593299,621246,638114,648243,654227,657883,
PIC,15884150,9837380,6046770,4282178680,4287106480,983738,983738,983738,983738,983738,983738,983738,983738,983738,983738,604677,604677,604677,604677,604677,604677,604677,604677,604677,604677,428217868,428217868,428217868,428217868,428217868,428217868,428217868,428217868,428217868,428217868,428710648,428710648,428710648,428710648,428710648,428710648,428710648,428710648,428710648,428710648,
EWMA,15001153,9287265,5713888,6297544,3860418,1253912,1254128,1068562,943776,860891,819675,787494,777423,765288,756116,683763,796960,674853,592662,537996,510871,489667,483069,475060,468987,250782,451451,574873,648653,691100,716815,730950,740244,745252,747424,136752,268793,350005,398536,426428,443316,452586,458682,461957,463363,
SW,14686662,9065286,5621376,6467230,4011719,1482719,265647,427467,769541,1018752,1022994,1001890,1022021,1035041,1019214,918619,165399,265486,476778,631681,634520,620469,633877,642541,632006,1241404,1087684,725278,487552,487552,487552,487552,487552,487552,487552,769368,674638,449835,302554,302554,302554,302554,302554,302554,302554,
AFC,14750653,9105566,5645087,6099762,3780114,896001,1331923,1075346,966334,878771,809719,803657,798744,763367,781704,549943,827487,666665,600046,545354,501554,498807,496310,473216,485705,179200,409744,542864,627558,677800,704183,724077,739010,743881,751445,109988,253487,336122,388906,420195,436466,448934,458409,461370,466237,
AMBP,14651200,9042144,5609056,6042099,3747952,736993,1349964,1117203,978889,879849,841149,815335,787101,777622,758039,456166,837169,693130,607565,545525,522142,506378,488460,482616,469905,147478,387975,533820,622833,674236,707618,729161,740749,748123,750106,91313,240484,331013,386323,418163,438958,452442,459645,464239,465372,
PIC,11941720,7376140,4565580,4285378300,4289032020,737614,737614,737614,737614,737614,737614,737614,737614,737614,737614,456558,456558,456558,456558,456558,456558,456558,456558,456558,456558,428537830,428537830,428537830,428537830,428537830,428537830,428537830,428537830,428537830,428537830,428903202,428903202,428903202,428903202,428903202,428903202,428903202,428903202,428903202,428903202,
EWMA,15208014,9411431,5796583,6373177,3910793,1258971,1273140,1073809,952024,883371,835359,797921,784420,770663,781753,687107,809698,678371,598140,552943,521316,496578,487710,478635,486085,251794,456063,579612,654094,699949,727031,741209,749851,754013,759561,137421,271876,353175,402168,432323,450121,459412,465071,467783,471443,
SW,15006193,9257137,5749056,6554514,4069842,1537367,279612,410228,785666,1037230,1037162,1045398,1044953,1037483,1042038,954943,174705,254047,487498,643993,643917,649425,649150,644176,647202,1257501,1111766,742402,491835,491835,491835,491835,491835,491835,491835,780058,690633,461232,305417,305417,305417,305417,305417,305417,305417,
AFC,14997004,9253476,5743528,6214506,3856481,910875,1355542,1113108,979431,890566,844735,819725,779881,787115,772498,559867,843181,691788,608786,553197,524843,509518,483734,489037,479577,182175,416848,556100,640766,690726,721527,741166,748909,756550,759739,111973,258214,344928,397699,428798,448007,460309,464994,469802,471757,
