budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
AFC,14851011,9165898,5685113,6144400,3809729,893955,1336395,1112511,967592,874684,827671,804894,783874,790144,774178,548515,830433,691436,600866,542621,513487,499619,486393,491053,480690,178791,410311,550751,634119,682232,711319,730034,740802,750670,755371,109703,253849,341366,393266,423137,441207,452889,459589,465881,468842,
AMBP,14703949,9073833,5630116,6053759,3755658,729540,1364323,1126134,972216,882164,833648,812187,797075,776781,779765,451170,846675,699109,603108,547071,517157,504276,495089,482078,484383,145988,389655,536950,624003,675635,707237,728227,741996,748953,755115,90314,241586,333090,387093,419088,438701,451816,460470,464791,468709,
PIC,12097700,7470200,4627500,4285256020,4288951530,747020,747020,747020,747020,747020,747020,747020,747020,747020,747020,462750,462750,462750,462750,462750,462750,462750,462750,462750,462750,428525602,428525602,428525602,428525602,428525602,428525602,428525602,428525602,428525602,428525602,428895153,428895153,428895153,428895153,428895153,428895153,428895153,428895153,428895153,428895153,
EWMA,25391216,19323594,6067622,13186486,4112176,2931077,2839161,1718789,1995536,2096091,1253349,1728045,1939326,1151521,1670699,703480,894774,714611,572532,622575,552053,473407,563679,519840,450671,586215,1036804,1173201,1337668,1489352,1442151,1499329,1587328,1500166,1534272,140696,291511,376131,415411,456843,475885,475389,493047,498405,488858,
SW,24830039,18866638,5963401,13351083,4316610,3171409,892476,431396,1676110,2437268,1738330,2171174,2438689,1737847,2171939,949104,240404,288851,457258,709439,684151,620362,709648,683652,620532,2545356,2307342,1498427,999994,999994,999994,999994,999994,999994,999994,797697,724261,492786,328838,328838,328838,328838,328838,328838,328838,
AFC,25318607,19317453,6001154,12877338,4004846,2101680,2632826,2432089,2255180,1231820,1936030,1955357,1053704,1829028,1889739,609162,759187,740423,676193,574521,544661,557261,506521,501812,531413,420336,862834,1176685,1392384,1360272,1475423,1571409,1467868,1540100,1610027,121832,249303,347527,413260,445512,465341,483725,488284,490989,499073,
AMBP,22879729,17022944,5856785,603447536,147945586,697771,3032935,2720557,1618764,1953403,2073458,1231514,1231514,1231514,1231514,499275,849794,788960,654927,532251,598724,541712,463714,463714,463714,139634,718294,1118746,1218749,1365679,1507234,149344800,149344800,149344800,149344800,99935,249906,357716,417158,440176,471885,485850,48474320,48474320,48474320,
PIC,41198720,31706760,9491960,4253748490,4282627730,3170676,3170676,3170676,3170676,3170676,3170676,3170676,3170676,3170676,3170676,949196,949196,949196,949196,949196,949196,949196,949196,949196,949196,425374849,425374849,425374849,425374849,425374849,425374849,425374849,425374849,425374849,425374849,428262773,428262773,428262773,428262773,428262773,428262773,428262773,428262773,428262773,428262773,
EWMA,18133694,15763732,2369962,10639882,1577264,2090736,2068626,1827735,1563148,1502915,1380377,1347066,1331362,1336846,1314921,164821,360569,299397,259655,238363,212042,218626,208408,204859,203222,418147,748242,964140,1083941,1167735,1210263,1237623,1256370,1272465,1280956,32964,98485,138667,162864,177963,184778,191547,194919,196907,198170,
SW,17962627,15605492,2357135,10357024,1839748,2554471,412686,515180,1342390,1825424,1771715,1812812,1815305,1765619,1789890,396539,139955,104697,180631,260822,252509,258712,248751,259001,255518,2057767,1841214,1160779,756752,756752,756752,756752,756752,756752,756752,322400,311291,213730,141761,141761,141761,141761,141761,141761,141761,
AFC,17628960,15225939,2403021,10221992,1611532,1444941,2291572,1863233,1646565,1498517,1373873,1157077,1322801,1330053,1297307,212968,356262,289985,256368,233086,228799,227083,199015,201088,198367,288988,689504,924249,1068712,1154673,1198513,1190226,1216741,1239403,1250983,42593,105326,142257,165079,178680,188703,196379,196906,197742,197867,
AMBP,17605368,15179346,2426022,135024039,1592145,1145092,2278107,1948599,1678856,1453253,1436511,1364959,1308303,1331855,1233811,173897,364906,298352,252280,234549,222771,211921,204062,204909,258375,229098,638899,900839,1056442,1135804,1195945,1229747,1245458,1262737,126129070,34859,100868,140364,162747,177107,186239,191375,193912,196111,208563,
PIC,27078250,25434680,1643570,4261902190,4292830640,2543468,2543468,2543468,2543468,2543468,2543468,2543468,2543468,2543468,2543468,164357,164357,164357,164357,164357,164357,164357,164357,164357,164357,426190219,426190219,426190219,426190219,426190219,426190219,426190219,426190219,426190219,426190219,429283064,429283064,429283064,429283064,429283064,429283064,429283064,429283064,429283064,429283064,
