budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,29362379,18591328,10771051,10884094,6212463,72019719,95142795,497116,5917,6027623,5995367,5995502,5996541,6001115,5996863,5998617,12005323,5999073,12003695,8146246,5396212,8269140,8239269,5437326,8310268,8240608,17425227,8234863,17443636,49549,50297,49099,49321,50376,49150,49295,50416,49249,50364,726,614,588,581,568,562,563,572,572,571,1631712,1172918,1651301,1646285,1179606,1658037,1646494,3178241,1645524,3181210,925980,619593,938400,935065,624050,942896,935180,1956697,934562,1958628,326342,495657,726785,910685,964469,1103182,1211844,1605123,1613203,1926804,185196,272075,405340,511285,533838,615649,679555,934983,934898,1139644,
SW_v2,66346664,40644208,25702456,37092743,23524848,137492606,237490165,491276,5782,11462059,11997449,12002046,12001348,12001518,12002423,12002573,18007929,18007243,18008018,19169626,20228442,20224576,20230103,20299938,20277948,20293353,32217762,32291139,32257278,49102,49106,49160,49125,49092,49173,49068,49115,49193,49142,599,592,576,577,578,577,569,568,577,569,1792120,3645174,3644503,3645370,3657050,3653367,3655917,5643963,5656203,5650541,1260787,2267879,2267402,2267978,2275798,2273311,2274979,3600577,3608758,3604987,1792120,2718647,3027266,3645016,3648974,3651929,3655445,4317749,4985361,5650236,1260787,1764333,1932023,2267753,2270393,2272362,2274696,2716289,3161438,3604774,
AFC_v2,23752258,15078751,8673507,9329050,5394133,71791904,106483252,491728,5667,17824939,5993078,5996168,5996867,5997663,5997338,5996293,5997593,5996173,5995792,31921376,8255567,8280444,8289316,8292388,8297722,8261825,8297268,8319781,8267565,49118,49125,49132,49236,49108,49120,49293,49175,49107,49314,575,568,564,565,561,562,576,563,568,565,194363,1649032,1653137,1654582,1655079,1655971,1650041,1655910,1659650,1650986,212928,936885,939613,940580,940915,941503,937523,941451,943947,938162,38872,360904,619350,826396,992132,1124899,1229927,1315123,1384028,1437419,42585,221445,365078,480178,572325,646160,704432,751835,790257,819838,
LR_v2,83405118,50882410,32522708,53709573,34326463,168070283,295966620,492518,5690,11998181,11999836,18007406,18009860,18009901,18010330,18008684,18009461,18008096,18008528,17609569,20196769,32241596,32287942,32290014,32276858,32307733,32242260,32233826,32280053,50068,49295,49177,49088,49154,49171,49173,49116,49187,49089,571,565,578,573,568,568,562,566,577,562,2021535,3639785,5647931,5655613,5655943,5653793,5658909,5647972,5646602,5654327,1407335,2264266,3603258,3608375,3608599,3607148,3610596,3603264,3602355,3607512,3032302,4448910,6652004,5659454,5656108,5652718,5661467,5642504,5645917,5658189,2111002,2692731,4272754,3610933,3608711,3606423,3612320,3599598,3601901,3610090,
AMBP_v2,21851559,13938202,7913357,6626274,3783804,71802270,99682949,492611,5642,17826653,5993726,5996898,5996366,5996244,5997719,6001691,5996268,5998114,5998591,31890826,8312570,8274860,6043954,8267790,8232402,6071503,8239784,8280163,6069097,49137,49092,49152,49602,49099,49161,49468,49120,49138,49642,569,563,567,563,576,565,559,556,560,564,181340,1658514,1652179,1280635,1651030,1645122,1285174,1646348,1653033,1284827,204250,943181,938977,691349,938218,934250,694367,935069,939550,694146,32713,322085,529292,611604,737540,827150,826878,891694,939564,907754,36837,196294,310347,347892,419361,470104,463460,502002,530559,506948,
PIC_v2,84753574,51715753,33037821,13850899091,13839335776,167739987,297789083,491236,5692,5651481,18006841,18010219,18010578,18009557,18010096,18010651,18009848,18009919,18010797,7349645,32282079,32302632,32261748,32250906,32237434,32294447,32261466,32274122,32274604,49288,49200,49053,49073,49113,49087,49101,49099,49080,49142,559,568,565,582,572,561,571,561,578,575,840431,5654611,5658061,5651311,5649453,5647193,5656721,5651213,5653353,5653406,579412,3607713,3610002,3605476,3604233,3602755,3609079,3605420,3606854,3606877,429164815,774459503,1050695944,1271683747,1448473617,1589905061,1703052122,1793568669,1865982335,1923913278,429112612,774008361,1049925418,1270658159,1447244103,1588512563,1701528595,1791940689,1864270651,1922134625,
EWMA,15890063,10142102,5747961,6890747,3903125,59964834,80958916,491330,4309,5994521,5996642,5996065,5995634,5997752,5997234,5995865,5997913,5996636,5996572,8307562,7674960,8295800,8256291,7642368,8292115,8238387,7613298,8344259,8293876,49118,49106,49097,49118,49147,49176,49158,49108,49136,49166,439,432,440,428,425,427,426,426,442,424,1657245,1220492,1146078,1012063,834758,918327,872983,748895,879395,851866,942495,683791,653650,575987,464851,524717,497008,415843,503700,485919,331449,509257,636621,711709,736318,772719,792771,783995,803075,812833,188499,287557,360775,403817,416023,437761,449610,442856,455024,461203,
SW,14251499,9138861,5112638,6453202,3606761,59951404,74233773,493836,4294,5995893,5994808,5998719,5994912,5994496,5997987,5993372,5992766,5996031,5992420,8292442,8230888,5529698,8235370,8251295,5402124,8292223,8249278,5429432,8321023,49166,49201,49770,49224,49122,50055,49106,49211,49858,49123,431,427,428,433,426,429,428,431,429,432,1654710,483468,91225,902088,1155614,681152,1162413,1155292,685661,1167238,940808,295357,15722,517152,660160,343958,664682,659925,346969,667905,1160947,1103301,743134,492260,492260,492260,492260,492260,492260,492260,638570,618356,417296,276077,276077,276077,276077,276077,276077,276077,
AFC,15386081,9823908,5562173,6599523,3734904,59543588,80295152,492756,4302,5573945,5993413,5994408,5996213,5998837,5997121,5997495,5998201,5997429,5996526,7499614,8204686,7777983,8311908,8221094,7743006,8270400,8206262,7789356,8270843,49095,49441,49344,49095,49386,49396,49168,49442,49237,49152,425,429,427,431,440,428,425,428,431,438,1030529,1433965,1117426,1073158,960373,825203,895529,856828,772837,858060,576839,815668,628322,612962,546268,461343,511228,487275,432419,489849,206105,451677,584826,682492,738068,755495,783501,798166,793101,806092,115367,255427,330006,386597,418531,427093,443920,452591,448557,456815,
AMBP,15421494,9836592,5584902,6552643,3717825,59542252,81886099,491731,4296,5578260,5992568,5996658,5995003,5997224,5996126,5997025,5996598,5996380,5996410,7448255,8207295,8330614,8287744,8154966,8320265,8247657,8240603,8313889,8334811,49137,49201,49112,49132,49360,49159,49131,49209,49197,49093,428,430,430,427,435,427,427,432,431,429,708139,1498796,1247940,1073843,952965,925693,875183,853372,853471,847190,390388,853151,711877,611375,540116,527542,497220,484717,485985,482531,141707,413124,580087,678838,733663,772069,792691,804827,814555,821082,78157,233155,328899,385394,416338,438578,450306,457188,462947,466863,
