budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
PIC,16387320,10116380,6270940,4281815980,4286815060,1011638,1011638,1011638,1011638,1011638,1011638,1011638,1011638,1011638,1011638,627094,627094,627094,627094,627094,627094,627094,627094,627094,627094,428181598,428181598,428181598,428181598,428181598,428181598,428181598,428181598,428181598,428181598,428681506,428681506,428681506,428681506,428681506,428681506,428681506,428681506,428681506,428681506,
EWMA,21315015,13166309,8148706,8934575,5515182,1878900,1750835,1478462,1313218,1214010,1154412,1118603,1097195,1084151,1076523,1075976,1108521,931578,824249,759766,721054,697791,683908,675402,670461,375780,650791,816325,915703,975364,1011173,1032659,1045566,1053283,1057931,215195,393860,501403,565972,604730,627994,641953,650344,655355,658376,
SW,20826147,12836370,7989777,9142715,5692078,2129531,390963,579487,1095932,1440403,1440224,1440117,1440008,1439855,1439850,1325656,244949,360147,681865,896420,896288,896228,896150,896037,896037,1738142,1549688,1033327,688794,688794,688794,688794,688794,688794,688794,1080376,965209,643584,428987,428987,428987,428987,428987,428987,428987,
AFC,20997428,12941607,8055821,8713440,5423794,1431010,1842696,1532150,1345401,1233127,1165903,1125381,1101230,1086736,1077973,890200,1147192,953807,837576,767646,725806,700533,685513,676515,671033,286202,597500,784430,896624,963924,1004319,1028531,1043070,1051803,1057037,178040,371870,488257,558120,600025,625181,640251,649303,654745,658002,
AMBP,20636134,12719863,7916271,8495727,5286906,993262,1929852,1584646,1376752,1252051,1177166,1132277,1105310,1089136,1079411,614821,1201954,986826,857262,779560,732881,704901,688097,678016,671953,198732,544956,752894,877665,952542,997466,1024428,1040604,1050310,1056130,123044,338826,468426,546193,592866,620869,637675,647759,653810,657438,
PIC,16391820,10119080,6272740,4281812470,4286812720,1011908,1011908,1011908,1011908,1011908,1011908,1011908,1011908,1011908,1011908,627274,627274,627274,627274,627274,627274,627274,627274,627274,627274,428181247,428181247,428181247,428181247,428181247,428181247,428181247,428181247,428181247,428181247,428681272,428681272,428681272,428681272,428681272,428681272,428681272,428681272,428681272,428681272,
EWMA,21311360,13163827,8147533,8933029,5514483,1879349,1750230,1478181,1312755,1213716,1154217,1118175,1096927,1084108,1076169,1076354,1108164,931465,823985,759625,720986,697511,683753,675435,670255,375869,650741,816229,915534,975170,1010979,1032418,1045319,1053076,1057694,215270,393848,501371,565893,604639,627908,641828,650213,655257,658256,
SW,20818571,12831592,7986979,9140112,5690858,2129032,390248,579791,1095817,1439443,1439936,1439664,1438385,1439601,1439675,1325382,244519,360415,681820,895831,896120,895924,895085,895906,895977,1737591,1549164,1033024,688619,688619,688619,688619,688619,688619,688619,1080069,964924,643439,428918,428918,428918,428918,428918,428918,428918,
AFC,20991740,12938182,8053558,8711476,5422513,1430133,1842391,1532335,1344554,1233414,1165849,1124533,1101597,1086809,1076567,889644,1147058,953907,836996,767830,725727,699979,685777,676541,670099,286026,597299,784306,896355,963766,1004182,1028252,1042921,1051698,1056671,177928,371754,488184,557946,599922,625083,640062,649205,654672,657757,
AMBP,20635183,12719284,7915899,8495448,5286740,994270,1929598,1583742,1376931,1252016,1176772,1132350,1105430,1088622,1079553,615530,1201778,986240,857390,779506,732626,704933,688193,677664,672039,198934,545066,752801,877627,952504,997357,1024355,1040570,1050180,1056054,123186,338904,468371,546174,592840,620797,637624,647737,653722,657385,
PIC,16408680,10129220,6279460,4281799290,4286803980,1012922,1012922,1012922,1012922,1012922,1012922,1012922,1012922,1012922,1012922,627946,627946,627946,627946,627946,627946,627946,627946,627946,627946,428179929,428179929,428179929,428179929,428179929,428179929,428179929,428179929,428179929,428179929,428680398,428680398,428680398,428680398,428680398,428680398,428680398,428680398,428680398,428680398,
EWMA,21314613,13166110,8148503,8934464,5515091,1879038,1750786,1478441,1313157,1213945,1154278,1118722,1097113,1084151,1076479,1076082,1108511,931551,824171,759719,720948,697905,683816,675383,670417,375807,650802,816329,915694,975344,1011130,1032648,1045541,1053263,1057906,215216,393875,501410,565962,604713,627960,641949,650322,655334,658350,
SW,20825468,12836001,7989467,9143072,5692369,2129638,391042,579632,1095753,1440208,1440309,1439956,1439886,1439747,1439830,1325740,245002,360284,681710,896254,896366,896087,896059,895946,896019,1738176,1549796,1033437,688809,688809,688809,688809,688809,688809,688809,1080411,965290,643675,428999,428999,428999,428999,428999,428999,428999,
AFC,21000937,12943141,8057796,8714319,5424961,1430841,1842658,1532593,1345550,1233309,1166011,1125615,1101506,1086902,1078156,890089,1147154,954313,837789,767882,725968,700809,685825,676710,671257,286168,597466,784491,896702,964023,1004420,1028659,1043228,1051962,1057200,178017,371844,488337,558227,600158,625320,640417,649498,654940,658203,
AMBP,20642576,12725215,7917361,8499305,5287667,993590,1930642,1585426,1377385,1252563,1177651,1132711,1105823,1089572,1079852,614989,1202062,987033,857410,779636,732959,704958,688204,678085,672025,198798,545166,753218,878051,952953,997892,1024855,1041048,1050752,1056572,123077,338874,468505,546286,592956,620956,637756,647845,653893,657519,
PIC,16394090,10121820,6272270,4281808910,4286813330,1012182,1012182,1012182,1012182,1012182,1012182,1012182,1012182,1012182,1012182,627227,627227,627227,627227,627227,627227,627227,627227,627227,627227,428180891,428180891,428180891,428180891,428180891,428180891,428180891,428180891,428180891,428180891,428681333,428681333,428681333,428681333,428681333,428681333,428681333,428681333,428681333,428681333,
EWMA,21316283,13167603,8148680,8935530,5515257,1879671,1750817,1478612,1313201,1214019,1154458,1118678,1097239,1084310,1076598,1076557,1108324,931559,824102,759699,721000,697749,683829,675429,670432,375934,650910,816450,915800,975443,1011246,1032732,1045633,1053368,1058014,215311,393913,501442,565974,604719,627975,641929,650309,655333,658352,
SW,20831671,12841221,7990450,9146901,5693116,2130388,391353,579842,1096251,1440828,1440765,1440608,1440446,1440346,1440394,1325801,245133,360309,681844,896406,896357,896267,896138,896084,896111,1738667,1550330,1033861,689149,689149,689149,689149,689149,689149,689149,1080378,965325,643748,429095,429095,429095,429095,429095,429095,429095,
AFC,21003713,12946897,8056816,8716965,5424424,1431365,1843369,1532972,1345946,1233684,1166377,1125890,1101724,1087137,1078433,890132,1147262,954082,837661,767789,725883,700677,685635,676555,671140,286273,597692,784748,896987,964326,1004736,1028966,1043517,1052241,1057479,178026,371873,488314,558183,600104,625259,640342,649400,654831,658092,
AMBP,20642168,12724995,7917173,8499182,5287541,993753,1930480,1585404,1377352,1252518,1177647,1132720,1105723,1089577,1079821,614980,1201981,987040,857392,779626,732960,704968,688143,678085,671998,198830,545160,753208,878036,952932,997875,1024844,1041019,1050730,1056548,123076,338857,468493,546272,592942,620945,637749,647827,653878,657502,
PIC,16392510,10120900,6271610,4281810110,4286814190,1012090,1012090,1012090,1012090,1012090,1012090,1012090,1012090,1012090,1012090,627161,627161,627161,627161,627161,627161,627161,627161,627161,627161,428181011,428181011,428181011,428181011,428181011,428181011,428181011,428181011,428181011,428181011,428681419,428681419,428681419,428681419,428681419,428681419,428681419,428681419,428681419,428681419,
EWMA,21315391,13166683,8148708,8935066,5515292,1879241,1751591,1478385,1313060,1213909,1154299,1118456,1097162,1084157,1076423,1076146,1108597,931666,824196,759752,721004,697673,683879,675409,670386,375848,650996,816473,915790,975413,1011190,1032643,1045546,1053268,1057899,215229,393902,501454,566002,604752,628002,641936,650324,655341,658350,
SW,20830477,12838260,7992217,9143869,5693634,2129898,391146,579497,1095935,1440538,1440591,1440322,1440167,1440117,1440049,1326097,245102,360219,681933,896632,896689,896492,896391,896364,896298,1738358,1549984,1033514,688859,688859,688859,688859,688859,688859,688859,1080687,965546,643806,429085,429085,429085,429085,429085,429085,429085,
AFC,20998942,12942890,8056052,8714237,5423980,1430920,1842687,1532529,1345517,1233339,1166001,1125584,1101390,1086829,1078094,890251,1147289,953904,837500,767673,725758,700603,685548,676480,671046,286184,597484,784493,896697,964025,1004420,1028652,1043199,1051925,1057158,178050,371897,488298,558138,600045,625187,640270,649325,654756,658014,
AMBP,20642415,12725106,7917309,8499222,5287611,993479,1930597,1585490,1377415,1252583,1177657,1132705,1105750,1089563,1079867,614861,1202054,987086,857434,779653,732972,704958,688166,678080,672045,198775,545139,753209,878050,952956,997896,1024857,1041035,1050740,1056565,123052,338852,468498,546285,592958,620960,637759,647840,653888,657519,
PIC,16394410,10121950,6272460,4281808740,4286813080,1012195,1012195,1012195,1012195,1012195,1012195,1012195,1012195,1012195,1012195,627246,627246,627246,627246,627246,627246,627246,627246,627246,627246,428180874,428180874,428180874,428180874,428180874,428180874,428180874,428180874,428180874,428180874,428681308,428681308,428681308,428681308,428681308,428681308,428681308,428681308,428681308,428681308,
EWMA,21165607,13317670,7847937,9036589,5308785,1901412,1769123,1494822,1328066,1227897,1167956,1132004,1109958,1097247,1089185,1025192,1068925,898627,795243,732914,695705,673337,659619,651700,646675,380282,658050,825404,925936,986328,1022653,1044523,1057610,1065537,1070266,205038,377815,481977,544630,582286,604969,618642,626837,631809,634782,
SW,20695739,12989110,7706629,9251049,5491227,2154719,395249,586672,1108856,1457478,1457383,1457264,1457192,1457163,1457134,1278584,237218,347245,657460,864555,864412,864343,864277,864273,864262,1759119,1567901,1045547,696926,696926,696926,696926,696926,696926,696926,1041135,931258,621016,413974,413974,413974,413974,413974,413974,413974,
AFC,20867113,13095962,7771151,8817328,5231974,1448004,1864543,1550544,1361347,1247841,1179743,1139140,1114300,1099716,1090784,858200,1106647,920293,807898,740558,700171,676059,661319,652624,647382,289600,604588,793779,907292,975401,1016269,1040843,1055534,1064370,1069652,171640,358641,470971,538356,578796,603071,617668,626398,631643,634790,
AMBP,20508623,12872568,7636055,8597820,5099414,1006068,1952626,1603581,1393198,1266900,1191382,1145828,1118437,1102086,1092462,591279,1159762,952285,827202,752068,707112,680096,663816,654079,648356,201293,551559,761963,888210,963948,1009434,1036712,1053057,1062862,1068782,118335,326620,451753,526842,571887,598932,615164,624894,630731,634256,
PIC,15692890,9892630,5800260,4282106860,4287426940,989263,989263,989263,989263,989263,989263,989263,989263,989263,989263,580026,580026,580026,580026,580026,580026,580026,580026,580026,580026,428210686,428210686,428210686,428210686,428210686,428210686,428210686,428210686,428210686,428210686,428742694,428742694,428742694,428742694,428742694,428742694,428742694,428742694,428742694,428742694,
EWMA,21165649,13317661,7847988,9036623,5308948,1901879,1768988,1494845,1328125,1227723,1167835,1131697,1110151,1097091,1089327,1025631,1068807,898773,795337,732824,695534,673106,659649,651610,646717,380375,658097,825446,925981,986329,1022630,1044443,1057584,1065485,1070253,205126,377862,482044,544702,582326,604967,618594,626805,631766,634756,
SW,20695453,12988567,7706886,9251330,5491758,2154716,395583,586599,1108821,1457444,1457278,1457167,1457092,1456828,1457039,1278757,237394,347312,657445,864480,864382,864337,864299,864214,864266,1758755,1567935,1045633,697001,697001,697001,697001,697001,697001,697001,1040948,931306,621154,414050,414050,414050,414050,414050,414050,414050,
AFC,20865866,13094983,7770883,8816610,5231787,1447955,1864454,1550292,1361234,1247775,1179657,1138797,1114352,1099630,1090837,858164,1106721,920152,807982,740515,700193,675793,661347,652600,647416,289591,604563,793708,907213,975325,1016191,1040712,1055440,1064278,1069589,171632,358649,470949,538355,578787,603068,617613,626359,631607,634768,
AMBP,20507574,12871522,7636052,8597132,5099480,1005713,1952602,1603470,1393138,1266867,1191170,1145766,1118544,1102087,1092165,591185,1159891,952329,827149,752117,707134,680111,663873,654024,648239,201222,551498,761892,888141,963886,1009342,1036626,1053009,1062824,1068692,118317,326631,451770,526845,571899,598946,615179,624917,630738,634238,
PIC,15691390,9891380,5800010,4282108480,4287427270,989138,989138,989138,989138,989138,989138,989138,989138,989138,989138,580001,580001,580001,580001,580001,580001,580001,580001,580001,580001,428210848,428210848,428210848,428210848,428210848,428210848,428210848,428210848,428210848,428210848,428742727,428742727,428742727,428742727,428742727,428742727,428742727,428742727,428742727,428742727,
EWMA,21167407,13318371,7849036,9037218,5309633,1901985,1769198,1494707,1328050,1228105,1167992,1131888,1110191,1097063,1089192,1025699,1068890,898621,795274,733270,695871,673355,659712,651591,646753,380397,658157,825467,925983,986407,1022724,1044556,1057683,1065559,1070285,205139,377889,482035,544682,582399,605093,618745,626938,631868,634845,
SW,20695699,12988991,7706708,9251619,5491348,2154868,395586,586473,1108882,1457470,1457371,1457271,1457112,1456938,1457020,1278806,237448,346958,657450,864547,864390,864309,864314,864171,864315,1759055,1568062,1045642,696980,696980,696980,696980,696980,696980,696980,1041167,931446,621071,413952,413952,413952,413952,413952,413952,413952,
AFC,20867755,13096228,7771527,8817474,5232270,1448002,1864608,1550407,1361500,1247942,1179700,1139078,1114428,1099696,1090867,858288,1106693,920233,808162,740668,700073,676010,661429,652572,647399,289600,604601,793762,907309,975435,1016288,1040846,1055562,1064388,1069683,171657,358664,470977,538414,578864,603105,617686,626434,631661,634808,
AMBP,20504016,12869329,7634687,8595348,5098312,1005827,1951816,1602680,1392802,1266586,1191068,1145766,1118505,1102106,1092173,591212,1159310,951803,827040,751912,707063,680097,663880,654152,648218,201245,551359,761623,887858,963603,1009096,1036430,1052845,1062697,1068592,118322,326519,451575,526668,571716,598785,615047,624813,630680,634187,
PIC,15693790,9893190,5800600,4282106130,4287426500,989319,989319,989319,989319,989319,989319,989319,989319,989319,989319,580060,580060,580060,580060,580060,580060,580060,580060,580060,580060,428210613,428210613,428210613,428210613,428210613,428210613,428210613,428210613,428210613,428210613,428742650,428742650,428742650,428742650,428742650,428742650,428742650,428742650,428742650,428742650,
EWMA,21158289,13313288,7845001,9033170,5306522,1901500,1765017,1495484,1328525,1227429,1168005,1131866,1108977,1097279,1089206,1025143,1066166,899140,795473,732785,695790,673188,658996,651699,646621,380300,657243,824891,925617,985979,1022384,1044280,1057219,1065231,1070026,205028,377255,481632,544400,582077,604819,618492,626592,631613,634614,
SW,20684375,12982463,7701912,9248517,5489201,2154494,394635,586811,1109035,1456315,1456617,1456287,1455105,1456576,1456588,1278388,236832,347278,657521,863669,863802,863721,862923,863856,863922,1757859,1567556,1045313,696827,696827,696827,696827,696827,696827,696827,1040242,930987,620833,413877,413877,413877,413877,413877,413877,413877,
AFC,20857113,13089827,7767286,8813536,5229556,1446315,1864379,1550431,1360206,1248122,1179464,1137544,1114551,1099616,1089199,857122,1106492,920242,807213,740757,699905,675019,661532,652651,646353,289263,604286,793515,906853,975106,1015977,1040290,1055142,1064036,1069068,171424,358437,470798,538081,578616,602873,617302,626148,631448,634429,
AMBP,20503871,12869326,7634545,8595572,5098265,1006756,1951899,1602489,1392709,1266546,1190748,1145673,1118348,1101840,1092318,591758,1159299,951673,826875,751858,706791,680071,663825,653974,648421,201431,551524,761717,887915,963641,1009062,1036384,1052776,1062588,1068534,118431,326604,451617,526668,571706,598723,614992,624758,630601,634165,
PIC,15696510,9894780,5801730,4282104060,4287425030,989478,989478,989478,989478,989478,989478,989478,989478,989478,989478,580173,580173,580173,580173,580173,580173,580173,580173,580173,580173,428210406,428210406,428210406,428210406,428210406,428210406,428210406,428210406,428210406,428210406,428742503,428742503,428742503,428742503,428742503,428742503,428742503,428742503,428742503,428742503,
EWMA,15037729,9301829,5735900,6300991,3870897,1254856,1265978,1063721,939290,854375,809260,803736,777640,763541,769432,686066,806266,672933,590874,534821,505064,501598,484335,474979,478964,250971,453972,575921,648594,689750,713652,731668,740862,745397,750204,137213,271023,351405,399298,426402,442134,454026,460087,463065,466244,
SW,14739021,9089154,5649867,6405344,3979444,1503806,248778,412882,771573,1022183,1021561,1022406,1026164,1032497,1027304,934701,154479,256407,479211,635396,635003,635539,638058,642265,638808,1248271,1091043,721822,477744,477744,477744,477744,477744,477744,477744,775670,678352,448529,296699,296699,296699,296699,296699,296699,296699,
AFC,14727286,9083884,5643402,6088903,3781460,899592,1332934,1071850,967202,875200,802998,801502,791185,764171,777250,553742,829957,665838,601970,544185,498232,498465,492367,474834,483812,179918,410521,542786,627669,677175,702339,722171,735973,741612,748739,110748,254589,336838,389864,420728,436228,448675,457413,460897,465480,
AMBP,14655324,9037161,5618163,6037836,3753351,747538,1347358,1124548,979805,869811,833015,802705,785422,781602,765357,464213,837198,699479,609503,540095,517893,499112,488413,486405,475852,149587,389141,536222,624938,673912,705732,725126,737185,746068,749925,92922,241777,333317,388554,418862,438668,450756,458287,463910,466298,
PIC,11921790,7357920,4563870,4285401980,4289034250,735792,735792,735792,735792,735792,735792,735792,735792,735792,735792,456387,456387,456387,456387,456387,456387,456387,456387,456387,456387,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428903425,428903425,428903425,428903425,428903425,428903425,428903425,428903425,428903425,428903425,
EWMA,21165761,13317416,7848345,9036429,5308990,1901647,1769020,1494767,1327740,1227957,1168016,1131708,1110232,1097270,1089059,1025478,1068807,898676,795042,732874,695812,673235,659913,651837,646671,380329,658067,825407,925873,986289,1022634,1044448,1057604,1065537,1070241,205095,377837,482004,544611,582263,604972,618624,626881,631872,634831,
SW,20693229,12987171,7706058,9249463,5490640,2154747,393943,587120,1109238,1456716,1457633,1457181,1456505,1457061,1457027,1278721,236428,347626,657650,864120,864721,864350,863928,864253,864261,1759279,1567545,1045270,696767,696767,696767,696767,696767,696767,696767,1041307,931101,620925,413901,413901,413901,413901,413901,413901,413901,
AFC,20861480,13092357,7769123,8814991,5230677,1446647,1864705,1550614,1360165,1248160,1179885,1137914,1114630,1099782,1089855,857325,1106811,920326,807212,740807,700330,675277,661545,652756,646734,289329,604404,793646,906949,975191,1016129,1040486,1055314,1064207,1069336,171465,358534,470892,538156,578686,603014,617466,626281,631576,634607,
AMBP,20506802,12871146,7635656,8596898,5099167,1006375,1952642,1602514,1393334,1267085,1190584,1145965,1118648,1101422,1092577,591461,1159835,951675,827358,752286,706685,680197,663971,653757,648431,201355,551612,761792,888100,963897,1009234,1036580,1052993,1062678,1068657,118372,326664,451666,526804,571900,598857,615125,624894,630666,634219,
PIC,15700390,9896760,5803630,4282101490,4287422560,989676,989676,989676,989676,989676,989676,989676,989676,989676,989676,580363,580363,580363,580363,580363,580363,580363,580363,580363,580363,428210149,428210149,428210149,428210149,428210149,428210149,428210149,428210149,428210149,428210149,428742256,428742256,428742256,428742256,428742256,428742256,428742256,428742256,428742256,428742256,
EWMA,21165653,13317427,7848226,9036504,5309021,1901416,1769280,1494676,1328175,1228033,1167787,1131704,1110137,1096988,1089231,1025273,1069119,898708,795277,732999,695575,673093,659773,651605,646804,380283,658082,825400,925955,986370,1022653,1044463,1057597,1065475,1070226,205054,377867,482035,544683,582346,604991,618611,626843,631795,634796,
SW,20691307,12986102,7705205,9250810,5491287,2153900,395780,586706,1108810,1457126,1457093,1456894,1456688,1456511,1456594,1278228,237539,347286,657411,864279,864262,864194,864093,863923,863990,1758198,1567457,1045462,697099,697099,697099,697099,697099,697099,697099,1040654,931062,621018,414079,414079,414079,414079,414079,414079,414079,
AFC,20865911,13095055,7770856,8816487,5231614,1447363,1864405,1550522,1361273,1247889,1179640,1138943,1114392,1099763,1090865,857924,1106517,920319,807983,740578,700038,675850,661431,652756,647460,289472,604458,793670,907190,975329,1016191,1040741,1055471,1064329,1069636,171584,358570,470919,538331,578780,603031,617594,626361,631640,634804,
AMBP,20508834,12872468,7636366,8597757,5099707,1006259,1952557,1603445,1393085,1267014,1191263,1145759,1118574,1102129,1092383,591431,1159861,952309,827131,752210,707083,680039,663952,654120,648230,201331,551576,761949,888176,963943,1009407,1036677,1053056,1062870,1068772,118366,326665,451793,526860,571930,598960,615175,624930,630768,634260,
PIC,15697210,9895120,5802090,4282103620,4287424560,989512,989512,989512,989512,989512,989512,989512,989512,989512,989512,580209,580209,580209,580209,580209,580209,580209,580209,580209,580209,428210362,428210362,428210362,428210362,428210362,428210362,428210362,428210362,428210362,428210362,428742456,428742456,428742456,428742456,428742456,428742456,428742456,428742456,428742456,428742456,
EWMA,21163376,13315697,7847679,9034966,5308438,1901646,1767831,1494556,1327835,1227349,1168258,1131805,1110018,1097174,1089225,1025590,1068147,898550,795114,732703,696020,673333,659711,651737,646774,380329,657829,825174,925706,986034,1022478,1044343,1057478,1065417,1070178,205118,377723,481888,544533,582167,604937,618616,626835,631815,634806,
SW,20691598,12986590,7705008,9247976,5489065,2154309,393721,587368,1109206,1456492,1457437,1457066,1456887,1457008,1457096,1278370,236259,347724,657559,863767,864473,864224,864053,864240,864339,1758476,1567012,1045133,696765,696765,696765,696765,696765,696765,696765,1040673,930679,620784,413847,413847,413847,413847,413847,413847,413847,
AFC,20862806,13093004,7769802,8815240,5231033,1446768,1864547,1550536,1360528,1247907,1179865,1138252,1114559,1099860,1090182,857470,1106652,920386,807555,740665,700302,675535,661438,652801,646998,289353,604391,793620,907001,975182,1016118,1040544,1055347,1064249,1069435,171494,358525,470897,538228,578715,603032,617532,626313,631610,634687,
AMBP,20507616,12871459,7636157,8597318,5099665,1006764,1952248,1603120,1392990,1267158,1190988,1145833,1118535,1101556,1092267,591779,1159676,952138,827121,752331,706977,680218,663850,653751,648316,201432,551595,761900,888118,963926,1009338,1036637,1053016,1062724,1068632,118435,326683,451774,526843,571940,598947,615201,624930,630694,634218,
PIC,15708220,9901070,5807150,4282095890,4287417980,990107,990107,990107,990107,990107,990107,990107,990107,990107,990107,580715,580715,580715,580715,580715,580715,580715,580715,580715,580715,428209589,428209589,428209589,428209589,428209589,428209589,428209589,428209589,428209589,428209589,428741798,428741798,428741798,428741798,428741798,428741798,428741798,428741798,428741798,428741798,
EWMA,21164171,13316320,7847851,9035850,5308827,1901857,1768799,1494414,1327897,1228021,1167894,1131539,1109858,1097069,1088972,1025612,1068807,898559,795053,733072,695761,673137,659514,651664,646672,380371,658056,825327,925841,986277,1022600,1044387,1057481,1065398,1070112,205122,377859,481999,544609,582301,604993,618621,626799,631772,634752,
SW,20689656,12985424,7704232,9249125,5489967,2154248,394519,587256,1108836,1456836,1457435,1457027,1455905,1456602,1456760,1278245,236796,347616,657417,864013,864493,864224,863422,863903,864103,1758461,1567233,1045341,696870,696870,696870,696870,696870,696870,696870,1040665,930815,620886,413943,413943,413943,413943,413943,413943,413943,
AFC,20862136,13092697,7769439,8815288,5230949,1446701,1864768,1550630,1360352,1248140,1179881,1137980,1114696,1099734,1089815,857355,1106869,920367,807378,740813,700300,675397,661570,652657,646733,289340,604425,793666,907003,975230,1016160,1040524,1055358,1064233,1069349,171471,358550,470913,538206,578727,603041,617512,626323,631589,634617,
AMBP,20507441,12871595,7635846,8597153,5099269,1006571,1952551,1602542,1393338,1267142,1190686,1145861,1118661,1101611,1092632,591687,1159786,951623,827337,752246,706761,680069,664054,653762,648521,201394,551625,761808,888114,963919,1009272,1036589,1053003,1062724,1068705,118417,326690,451676,526808,571895,598868,615108,624897,630670,634240,
PIC,15702970,9898230,5804740,4282099580,4287421120,989823,989823,989823,989823,989823,989823,989823,989823,989823,989823,580474,580474,580474,580474,580474,580474,580474,580474,580474,580474,428209958,428209958,428209958,428209958,428209958,428209958,428209958,428209958,428209958,428209958,428742112,428742112,428742112,428742112,428742112,428742112,428742112,428742112,428742112,428742112,
EWMA,21166553,13317829,7848724,9036719,5309387,1901322,1769026,1494918,1328258,1228245,1167906,1131656,1110175,1097033,1089290,1025215,1068916,898911,795406,733211,695688,673257,659836,651543,646741,380264,658016,825396,925968,986423,1022719,1044506,1057639,1065517,1070271,205043,377817,482035,544709,582409,605064,618702,626928,631851,634829,
SW,20694430,12988420,7706010,9251173,5491148,2154539,395342,586668,1108950,1457321,1457303,1457068,1457104,1457032,1457093,1278474,237276,347267,657425,864309,864348,864204,864283,864169,864255,1758916,1567832,1045516,696987,696987,696987,696987,696987,696987,696987,1040993,931226,621006,413989,413989,413989,413989,413989,413989,413989,
AFC,20866964,13095825,7771139,8817304,5232035,1447906,1864580,1550646,1361353,1247874,1179746,1138953,1114459,1099600,1090708,858224,1106637,920379,807977,740566,700114,675967,661401,652575,647299,289581,604580,793793,907305,975418,1016283,1040817,1055545,1064356,1069626,171644,358642,470989,538386,578822,603080,617657,626405,631639,634771,
AMBP,20505009,12869803,7635206,8595528,5098568,1004854,1951932,1603224,1393028,1266836,1191139,1145849,1118547,1102110,1092284,590545,1159425,952207,827162,752077,707179,680195,663977,654114,648325,201050,551226,761625,887905,963691,1009180,1036513,1052919,1062757,1068662,118189,326436,451590,526704,571778,598858,615125,624895,630738,634255,
PIC,15688610,9889680,5798930,4282110690,4287428670,988968,988968,988968,988968,988968,988968,988968,988968,988968,988968,579893,579893,579893,579893,579893,579893,579893,579893,579893,579893,428211069,428211069,428211069,428211069,428211069,428211069,428211069,428211069,428211069,428211069,428742867,428742867,428742867,428742867,428742867,428742867,428742867,428742867,428742867,428742867,
EWMA,21166335,13317425,7848910,9036527,5309541,1901664,1768627,1494783,1328363,1228199,1167926,1131647,1110016,1097065,1089135,1025420,1068773,898935,795494,733127,695806,673210,659771,651717,646657,380332,657991,825349,925951,986400,1022705,1044493,1057597,1065490,1070219,205084,377821,482043,544733,582411,605090,618714,626925,631883,634837,
SW,20691710,12986199,7705511,9250340,5490954,2154079,395780,586653,1108586,1457246,1457106,1457108,1456389,1456571,1456681,1278379,237634,347239,657175,864373,864328,864349,863846,864061,864127,1758189,1567605,1045504,697006,697006,697006,697006,697006,697006,697006,1040587,931171,621084,414016,414016,414016,414016,414016,414016,414016,
AFC,20865844,13094591,7771253,8816313,5232017,1447543,1864511,1550448,1361116,1247708,1179661,1138985,1114206,1099645,1090768,858065,1106726,920384,807926,740587,700166,676031,661261,652660,647447,289508,604508,793696,907180,975285,1016160,1040725,1055421,1064265,1069565,171613,358635,470984,538372,578815,603085,617674,626391,631644,634804,
AMBP,20508585,12871939,7636646,8597310,5099774,1005746,1952288,1603661,1393206,1267003,1191240,1145796,1118509,1102148,1092342,591172,1159746,952522,827235,752182,707155,680173,663931,654160,648370,201229,551440,761884,888148,963919,1009383,1036665,1053033,1062856,1068753,118314,326600,451784,526874,571935,598979,615217,624959,630799,634313,
PIC,15694540,9893180,5801360,4282106140,4287425510,989318,989318,989318,989318,989318,989318,989318,989318,989318,989318,580136,580136,580136,580136,580136,580136,580136,580136,580136,580136,428210614,428210614,428210614,428210614,428210614,428210614,428210614,428210614,428210614,428210614,428742551,428742551,428742551,428742551,428742551,428742551,428742551,428742551,428742551,428742551,
EWMA,21161208,13314603,7846605,9034092,5307620,1901445,1765627,1495334,1328223,1228280,1168032,1132017,1109121,1097260,1089264,1025307,1066610,899088,795387,733356,695825,673411,659131,651747,646743,380289,657356,824951,925605,986140,1022518,1044417,1057357,1065337,1070122,205061,377370,481713,544447,582228,604947,618639,626737,631739,634739,
SW,20691700,12986869,7704831,9249623,5490005,2154254,394844,586817,1109091,1457099,1457324,1457107,1456657,1456829,1456847,1278392,236977,347317,657470,864199,864325,864217,863903,864024,864007,1758323,1567576,1045305,696917,696917,696917,696917,696917,696917,696917,1040593,931070,620895,413921,413921,413921,413921,413921,413921,413921,
