budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
SW,20124400,12100707,8023693,8593092,5697789,2005665,339839,555504,1038425,1359877,1360725,1360376,1359722,1360350,1360224,1329929,225291,368345,688550,901708,902277,902031,901610,902025,901927,1663893,1450073,967003,644589,644589,644589,644589,644589,644589,644589,1103334,961502,641188,427395,427395,427395,427395,427395,427395,427395,
AFC,20118059,12097097,8020962,8116588,5381597,1167188,1771479,1464943,1279532,1169472,1102870,1062380,1039104,1024652,1015477,773315,1174748,971441,848461,775477,731312,704441,689007,679426,673334,233437,541045,725824,836565,903146,943090,966948,981379,990033,995121,154663,358680,481232,554677,598837,625332,641153,650723,656463,659837,
AMBP,19825236,11921055,7904181,7943552,5266920,819210,1840829,1506369,1305182,1184375,1110854,1068377,1042311,1026343,1017205,542578,1220708,998889,865475,785352,736573,708435,691146,680537,674488,163922,499303,700716,821609,894162,937500,963675,979402,988790,994473,108595,331017,464591,544767,592884,621621,638983,649415,655639,659408,
PIC,13637440,8203860,5433580,4284302260,4287903620,820386,820386,820386,820386,820386,820386,820386,820386,820386,820386,543358,543358,543358,543358,543358,543358,543358,543358,543358,543358,428430226,428430226,428430226,428430226,428430226,428430226,428430226,428430226,428430226,428430226,428790362,428790362,428790362,428790362,428790362,428790362,428790362,428790362,428790362,428790362,
EWMA,20570918,12394603,8176315,8408976,5534216,1757699,1651110,1393914,1237802,1143960,1087631,1053771,1033478,1021285,1013953,1081891,1111527,934269,826792,762153,723344,700016,686049,677661,672613,351539,611453,767945,861916,918324,952185,972502,984697,992014,996401,216378,395407,503179,567901,606751,630069,644058,652456,657497,660520,
SW,20126302,12101832,8024470,8595840,5699636,2005766,341330,555027,1038139,1360572,1360446,1360283,1360112,1360085,1360072,1329991,226279,368029,688370,902176,902089,901990,901860,901847,901839,1664091,1450551,967374,644832,644832,644832,644832,644832,644832,644832,1103468,961822,641433,427559,427559,427559,427559,427559,427559,427559,
AFC,20120714,12098678,8022036,8117620,5382292,1167924,1771337,1464850,1280137,1169282,1102777,1062905,1038947,1024572,1015947,773805,1174649,971385,848876,775350,731245,704798,688902,679373,673653,233584,541134,725877,836729,903239,943146,967097,981467,990088,995259,154761,358738,481267,554788,598900,625369,641254,650783,656501,659931,
AMBP,19826684,11921914,7904770,7944153,5267333,818976,1840740,1506723,1305243,1184333,1111811,1068294,1042186,1026515,1017093,542421,1220663,999129,865516,785320,737231,708365,691052,680653,674420,163875,499248,700743,821643,894181,937707,963824,979496,988899,994537,108564,330983,464612,544792,592897,621763,639083,649476,655711,659452,
PIC,13623900,8195750,5428150,4284312800,4287910680,819575,819575,819575,819575,819575,819575,819575,819575,819575,819575,542815,542815,542815,542815,542815,542815,542815,542815,542815,542815,428431280,428431280,428431280,428431280,428431280,428431280,428431280,428431280,428431280,428431280,428791068,428791068,428791068,428791068,428791068,428791068,428791068,428791068,428791068,428791068,
EWMA,14955900,9252692,5703208,6254570,3840021,1257444,1198024,1079363,957618,811308,844564,815571,722811,787349,778640,687784,760988,683365,603126,506155,528599,509470,447794,490849,485078,251488,440795,568508,646330,679325,712372,733011,730971,742246,749524,137556,262242,346466,397798,419469,441295,454930,453502,460971,465792,
