budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,24931628,21901915,3029713,15137883,1921781,3223493,3003914,2539089,2307736,2116552,1986271,1947442,1925033,1038327,1814058,209446,408438,326623,290647,253391,249506,237284,228344,676588,149446,644698,1116541,1401050,1582387,1689220,1748630,1788392,1815720,1660241,1691004,41889,115198,157483,184115,197970,208277,214078,216931,308862,276978,
SW,24262471,21202965,3059506,15930695,1931481,3658662,680317,1033911,1906165,2471385,1793481,2264052,2445461,2448707,2500824,441205,104207,115109,225281,296029,672389,309379,302630,293453,299824,3009231,2682915,1790963,1206798,1206798,1206798,1206798,1206798,1206798,1206798,342390,331524,220174,148199,148199,148199,148199,148199,148199,148199,
AFC,24686136,21786807,2899329,14523794,1994211,2208886,3273095,2688744,2334777,1454575,1949684,2043880,1961421,1957591,1914154,265342,393339,324262,282576,641770,181257,192957,196786,212973,208067,441777,1008040,1344180,1542299,1524755,1609740,1696568,1749538,1791148,1815749,53068,121122,161750,185915,277086,257921,244929,235301,230836,226283,
AMBP,24268117,21471126,2796991,14200747,154687611,1611697,3373812,2746192,1699589,2097525,2131637,2017494,1988518,1930532,1874130,195076,406245,331809,674229,198272,198272,198272,198272,198272,198272,322419,932697,1295396,1376234,1520492,1642721,1717675,1771843,1803580,1817690,39095,112525,156381,259950,25686610,25686610,25686610,25686610,25686610,25686610,
PIC,20122480,15677900,4444580,4274586010,4289189320,1567790,1567790,1567790,1567790,1567790,1567790,1567790,1567790,1567790,1567790,444458,444458,444458,444458,444458,444458,444458,444458,444458,444458,427458601,427458601,427458601,427458601,427458601,427458601,427458601,427458601,427458601,427458601,428918932,428918932,428918932,428918932,428918932,428918932,428918932,428918932,428918932,428918932,
