budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,21314498,13166040,8148458,8934486,5515096,1879096,1750629,1478639,1313194,1213908,1154394,1118567,1097013,1084180,1076420,1076091,1108357,931733,824231,759686,721062,697777,683737,675427,670357,375819,650781,816352,915720,975357,1011164,1032644,1045517,1053249,1057883,215218,393845,501422,565983,604723,627990,641947,650305,655329,658334,
SW,20826160,12836339,7989821,9142939,5692329,2129603,391007,579448,1095956,1440379,1440176,1440026,1439968,1439923,1439853,1325724,244983,360134,681888,896392,896260,896153,896132,896109,896046,1738193,1549765,1033353,688804,688804,688804,688804,688804,688804,688804,1080427,965274,643614,429002,429002,429002,429002,429002,429002,429002,
AFC,21000294,12942781,8057513,8714122,5424807,1430888,1842515,1532547,1345523,1233336,1166111,1125589,1101265,1086938,1078069,890083,1147053,954279,837785,767905,726069,700783,685614,676752,671190,286177,597444,784464,896675,964007,1004427,1028659,1043180,1051931,1057158,178016,371823,488314,558208,600147,625331,640421,649459,654917,658171,
AMBP,20639399,12721235,7918164,8496753,5288274,993583,1930012,1584974,1376853,1252103,1177337,1132367,1105311,1089223,1079472,615155,1202208,987186,857425,779680,733101,705062,688156,678145,672046,198796,545039,753026,877791,952653,997589,1024544,1040697,1050402,1056216,123111,338930,468581,546349,593015,621032,637838,647901,653949,657568,
PIC,16396830,10121710,6275120,4281809060,4286809620,1012171,1012171,1012171,1012171,1012171,1012171,1012171,1012171,1012171,1012171,627512,627512,627512,627512,627512,627512,627512,627512,627512,627512,428180906,428180906,428180906,428180906,428180906,428180906,428180906,428180906,428180906,428180906,428680962,428680962,428680962,428680962,428680962,428680962,428680962,428680962,428680962,428680962,
