budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,20483038,12313350,8169688,8353710,5529803,1745132,1640763,1384946,1229786,1136542,1080534,1046903,1026764,1014633,1007347,1081168,1110724,933502,826056,761495,722713,699428,685477,677082,672043,349026,607373,762887,856266,912321,945963,966151,978273,985545,989905,216233,395131,502805,567455,606263,629553,643528,651917,656950,659968,
SW,20040389,12022749,8017640,8539488,5694654,1992660,339094,551378,1031326,1351667,1351588,1351390,1351260,1351188,1351198,1328853,226055,367715,687769,901397,901345,901211,901123,901080,901092,1653178,1441073,961044,640599,640599,640599,640599,640599,640599,640599,1102530,960990,640874,427180,427180,427180,427180,427180,427180,427180,
AFC,20034671,12019324,8015347,8064280,5377852,1159588,1759912,1455416,1271848,1161685,1095584,1055942,1032143,1017880,1009326,773379,1173616,970560,848143,774690,730609,704176,688298,678788,673088,231917,537516,721096,831246,897333,936983,960774,975047,983613,988755,154675,358463,480882,554334,598405,624845,640711,650228,655940,659369,
AMBP,19741538,11843500,7898038,7891720,5262844,812518,1828951,1497018,1296788,1176657,1104576,1061336,1035386,1019813,1010457,541914,1219635,998286,864770,784669,736600,707774,690468,680079,673843,162583,495856,696088,816228,888313,931565,957519,973092,982436,988040,108462,330696,464214,544325,592393,621234,638542,648927,655157,658894,
PIC,13556360,8132430,5423930,4284395120,4287916170,813243,813243,813243,813243,813243,813243,813243,813243,813243,813243,542393,542393,542393,542393,542393,542393,542393,542393,542393,542393,428439512,428439512,428439512,428439512,428439512,428439512,428439512,428439512,428439512,428439512,428791617,428791617,428791617,428791617,428791617,428791617,428791617,428791617,428791617,428791617,
