budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,15965895,10212848,5753047,6920423,3881685,1385556,1375787,1163311,1024737,955495,900997,868333,857413,852778,828441,678977,803881,674912,590298,548805,515244,495140,488873,486385,470532,277111,496846,630139,709058,758345,786875,803166,814015,821767,823101,135795,269412,350512,398469,428536,445877,455729,462357,467162,467836,
SW,15706628,10012405,5694223,7123574,4053258,1662669,298715,454438,855313,1120437,1116077,1126541,1129071,1130740,1118404,946010,172157,257803,485972,636627,633720,640733,642400,643519,635282,1357769,1207446,805274,536155,536155,536155,536155,536155,536155,536155,769738,687686,458657,305311,305311,305311,305311,305311,305311,305311,
AFC,15714535,10020463,5694072,6719583,3815467,976729,1456045,1215935,1058790,966188,908934,881960,857035,848281,850566,540903,830506,694121,603529,550281,517188,502280,487524,482781,484959,195345,447485,601175,692698,747396,779703,800154,811530,818880,825217,108180,252645,340940,393457,424821,443294,455091,461577,465817,469645,
AMBP,15539294,9907096,5632198,6620005,3763007,776321,1501655,1227220,1079220,986980,911243,884723,851991,848850,838893,435858,855353,698233,614872,562745,517868,503589,483778,482900,477002,155344,424606,585128,683946,744552,777890,799256,809803,817612,821868,87251,240871,332343,388848,423627,442475,454697,460513,464990,467392,
PIC,12512660,7998410,4514250,4284569350,4289098750,799841,799841,799841,799841,799841,799841,799841,799841,799841,799841,451425,451425,451425,451425,451425,451425,451425,451425,451425,451425,428456935,428456935,428456935,428456935,428456935,428456935,428456935,428456935,428456935,428456935,428909875,428909875,428909875,428909875,428909875,428909875,428909875,428909875,428909875,428909875,
