budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,34533361,21285118,13248243,13684503,8517614,59963809,118312855,378,5798,6022233,5985828,5993506,5994175,5994501,5994509,5994657,5994769,5994825,5994806,11831722,11814226,11830882,11832431,11833350,11833741,11833993,11834168,11834223,11834119,143,33,27,25,25,25,25,25,25,25,710,595,570,576,560,558,557,556,558,558,2129332,2125682,2128367,2128651,2128762,2128807,2128860,2128891,2128888,2128878,1326000,1322878,1324670,1324829,1324914,1324935,1324988,1325008,1325009,1325012,425866,765829,1038336,1256399,1430871,1570458,1682138,1771488,1842968,1900150,265200,476735,646322,782023,890601,977467,1046971,1102578,1147064,1182653,
SW_v2,38301097,23445419,14855678,19916348,12642342,71393990,141170589,310,5712,5434689,5991069,5994315,5994190,5994544,5995672,5996282,5996479,11997091,11999659,10707645,11826010,11832594,11832251,11833390,11835849,11837065,11837338,23811556,23816891,58,34,27,27,27,27,27,27,28,28,589,582,569,578,566,564,558,571,569,566,291253,2127585,2128666,2128646,2128792,2129195,2129373,2129449,4125781,4126679,267442,1324127,1324860,1324826,1324932,1325204,1325331,1325368,2656499,2657089,291253,1209419,1515835,2128299,2128701,2128878,2129120,2129339,2794868,3460636,267442,795785,972143,1324604,1324873,1324987,1325156,1325301,1769066,2212985,
AFC_v2,32658820,20054233,12604587,12585618,7942974,65887952,130192446,291,5601,11938743,5991827,5994511,5994749,5994632,5994584,5994660,5994699,5994811,5994736,23692353,11827922,11833593,11834125,11833829,11833899,11833975,11834299,11834227,11834224,50,37,27,27,27,25,24,25,24,25,564,563,576,559,556,558,560,554,557,554,895370,2127867,2128839,2128879,2128834,2128862,2128873,2128909,2128898,2128902,680364,1324311,1324960,1324992,1324967,1324965,1324983,1325016,1325014,1325015,179074,568832,880833,1130442,1330120,1489868,1617669,1719917,1801713,1867150,136072,373719,563967,716172,837931,935337,1013266,1075616,1125495,1165399,
LR_v2,81770426,49528286,32242140,52591114,34237101,149688224,297417617,289,5698,5649031,5992305,12000025,18006039,18007178,18007146,18008169,18004890,18005697,18007744,11137790,11828860,23817880,35802498,35805582,35806540,35807263,35802014,35802584,35806606,52,28,28,27,26,23,25,27,25,28,576,565,566,578,590,567,569,560,564,563,395935,2128025,4126837,6125012,6125537,6125617,6125781,6124867,6125015,6125660,332439,1324427,2657199,3989509,3989840,3989876,3990037,3989405,3989483,3989925,593902,2994070,5126243,7124099,6125799,6125657,6125863,6124410,6125089,6125982,498658,1820421,3323585,4655664,3990005,3989894,3990117,3989089,3989522,3990146,
AMBP_v2,31285888,19229447,12056441,9024189,5671000,71422334,141246463,279,5605,17472925,5991648,5994559,5994668,5994728,5994637,5994821,5994775,5994692,5994881,34734159,11828766,11835113,11835193,11835457,11835310,11835635,11835564,11835415,11835851,51,35,24,25,24,24,24,24,24,24,572,581,559,563,561,554,555,554,553,553,70876,2127807,2128800,2128823,2128864,2128806,2128869,2128861,2128833,2128908,130808,1324453,1325112,1325138,1325151,1325115,1325175,1325159,1325139,1325191,12829,392241,665596,862416,1004134,1106161,1179631,1232529,1270610,1298042,23616,255404,422410,542659,629241,691573,736463,768781,792046,808807,
PIC_v2,92595312,56035508,36559804,13853573980,13841521495,167533462,333051751,258,5614,5469186,18004656,18007384,18007392,18007445,18007530,18007477,18007547,18007373,18007472,10779283,35802760,35808332,35808453,35808754,35809027,35808937,35808684,35808602,35808919,52,28,23,22,22,23,22,22,22,22,567,563,564,560,562,558,559,565,559,557,905002,6124721,6125681,6125678,6125744,6125773,6125749,6125728,6125683,6125749,649181,3989486,3990125,3990116,3990146,3990185,3990151,3990148,3990099,3990167,429177730,774563857,1050872951,1271920226,1448758059,1590228331,1703404544,1793945510,1866378274,1924324498,429126565,774095878,1050071457,1270851918,1447476293,1588775801,1701815400,1792247079,1864592412,1922468692,
EWMA,21560069,13288420,8271649,9056484,5637384,59943068,118344679,262,5597,5991591,5993919,5994589,5994702,5994654,5994803,5994634,5994769,5994645,5994762,11828552,11833703,11834989,11835244,11835274,11835473,11835183,11835472,11835289,11835500,28,25,27,26,26,26,26,26,26,26,564,558,557,570,556,565,566,554,554,553,2127705,1703026,1447737,1294471,1202415,1147286,1114088,1094240,1082272,1075180,1324417,1060093,901197,805756,748470,714137,693475,681141,673684,669279,425541,681038,834377,926395,981599,1014736,1034606,1046532,1053680,1057980,264883,423925,519379,576654,611017,631641,644007,651433,655883,658562,
SW,20840569,12845151,7995418,9119654,5676760,59925524,118310356,249,5568,5994332,5993065,5993448,5993054,5992795,5992431,5991888,5991678,5991392,5991441,11834578,11832042,11832794,11831947,11831314,11831104,11829803,11829259,11828647,11828868,25,23,26,25,25,25,25,25,25,25,557,555,555,553,569,550,554,559,559,557,2128702,358366,590189,1102501,1444495,1444428,1444208,1444143,1444043,1444076,1325064,223326,367284,686189,899096,899059,898916,898869,898805,898810,1769907,1538200,1025752,683685,683685,683685,683685,683685,683685,683685,1101450,957552,638558,425600,425600,425600,425600,425600,425600,425600,
AFC,20905001,12886237,8018764,8660642,5388498,59605721,117667322,277,5577,5656236,5991365,5994614,5994830,5994746,5994790,5994735,5994821,5994787,5994797,11153705,11828290,11835415,11835748,11835678,11835761,11835706,11835856,11835658,11835505,50,35,24,24,24,24,24,24,24,24,557,557,572,556,554,557,554,555,551,564,1331731,1861324,1543542,1351920,1236910,1167928,1126530,1101715,1086782,1077855,823988,1159569,961412,841899,770161,727135,701307,685826,676517,670950,266346,585341,776981,891968,960956,1002350,1027186,1042091,1051029,1056394,164797,363751,483283,555006,598037,623856,639346,648642,654217,657563,
AMBP,20540184,12662373,7877811,8440821,5250234,59395997,117247373,278,5551,5448447,5990574,5994507,5994795,5994670,5994639,5994512,5994700,5994543,5994610,10737854,11826412,11834945,11835627,11835460,11835475,11835112,11835536,11835273,11835679,51,36,23,24,24,24,24,24,24,24,555,559,556,555,553,552,556,557,555,553,889714,1949334,1596478,1383753,1255998,1179355,1133322,1105859,1089206,1079354,545821,1214917,994717,861922,782180,734309,705575,688440,678037,671893,178022,532284,745122,872848,949478,995453,1023026,1039592,1049514,1055482,109244,330378,463245,542980,590820,619517,636728,647070,653263,656989,
