budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,15736816,10315926,5420890,6990087,3654137,1401140,1395155,1175705,1036187,961951,903394,875690,863799,861818,841087,623544,764824,639529,559075,517180,482519,466769,460499,460124,446827,280228,503213,637711,717406,766315,793730,810122,820857,829049,831456,124708,252731,330090,375887,404145,419819,429209,435467,440398,441683,
SW,15248323,9967714,5280609,7031275,3719317,1674265,226683,479741,874305,1053799,1144891,1145500,1063569,1144245,1160716,890058,113678,257065,465543,549059,609704,610227,555631,609336,620308,1356124,1193218,793563,526910,526910,526910,526910,526910,526910,526910,715491,632225,420267,278762,278762,278762,278762,278762,278762,278762,
AFC,14022807,9237882,4784925,6259871,3248089,764934,1520832,1241604,718542,1052207,968872,551050,953621,921915,544305,356553,818595,665369,336475,570816,522306,248024,518872,499343,248572,152986,426555,589564,615359,702728,755956,714975,762704,794546,744498,71310,220767,309687,315044,366198,397419,367540,397806,418113,384205,
AMBP,12062049,8068089,3993960,359449682,188055558,910850,1490762,813610,1159291,1032511,532213,532213,532213,532213,532213,493329,790662,375304,627385,555905,230275,230275,230275,230275,230275,182250,443952,517883,646164,723433,71387200,71387200,71387200,71387200,71387200,98745,237128,264763,337287,381010,37347325,37347325,37347325,37347325,37347325,
PIC,25631350,16734280,8897070,4273212710,4283401090,1673428,1673428,1673428,1673428,1673428,1673428,1673428,1673428,1673428,1673428,889707,889707,889707,889707,889707,889707,889707,889707,889707,889707,427321271,427321271,427321271,427321271,427321271,427321271,427321271,427321271,427321271,427321271,428340109,428340109,428340109,428340109,428340109,428340109,428340109,428340109,428340109,428340109,
