budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,34534531,21285804,13248727,13685071,8518005,59965287,118317121,438,5796,6022721,5986677,5993603,5994284,5994505,5994474,5994667,5994718,5994822,5994816,11832946,11816074,11831005,11832895,11833675,11833807,11833975,11834078,11834268,11834398,153,36,32,31,31,31,31,31,31,31,710,594,577,563,559,564,557,560,557,555,2129561,2125963,2128429,2128686,2128798,2128839,2128850,2128867,2128899,2128912,1326130,1323069,1324696,1324883,1324947,1324973,1324985,1324997,1325019,1325028,425912,765922,1038423,1256475,1430939,1570519,1682185,1771521,1842996,1900179,265226,476794,646374,782075,890649,977513,1047007,1102605,1147087,1182675,
SW_v2,38301724,23445732,14855992,19916761,12642713,71395145,141173492,363,5663,5435152,5991462,5994382,5994192,5994692,5995762,5996361,5996708,11996809,11999625,10708574,11826613,11832585,11832281,11833761,11836043,11837165,11838026,23811261,23817183,73,39,32,31,31,31,31,32,32,31,583,570,571,574,562,560,559,559,565,560,291372,2127660,2128664,2128640,2128827,2129207,2129390,2129526,4125723,4126723,267517,1324202,1324867,1324821,1324973,1325224,1325350,1325430,2656483,2657125,291372,1209516,1515899,2128321,2128710,2128891,2129141,2129374,2794880,3460657,267517,795860,972195,1324630,1324887,1325006,1325182,1325335,1769088,2213013,
AFC_v2,32659869,20054857,12605012,12586138,7943328,65889831,130195913,355,5610,11939932,5992159,5994616,5994746,5994716,5994731,5994752,5994742,5994671,5994766,23694680,11828155,11834060,11834103,11834149,11834047,11834155,11834092,11834308,11834164,61,43,32,32,31,31,32,31,31,31,562,565,560,567,555,568,561,556,554,562,895724,2127921,2128895,2128924,2128881,2128913,2128906,2128876,2128910,2128907,680587,1324362,1325005,1325007,1325000,1325009,1325012,1325002,1325017,1325011,179144,568899,880898,1130503,1330178,1489925,1617721,1719952,1801743,1867175,136117,373766,564013,716211,837968,935376,1013303,1075642,1125517,1165415,
LR_v2,81774364,49530553,32243811,52593426,34238810,149693442,297431902,357,5673,5650581,5992275,12000208,18006015,18007293,18007364,18007430,18007417,18007443,18007416,11140694,11829268,23818156,35802462,35805773,35806664,35807036,35807265,35807229,35807355,72,36,35,33,31,30,30,30,30,30,563,559,574,576,588,569,563,560,564,557,396347,2128071,4126913,6125020,6125581,6125671,6125713,6125736,6125751,6125750,332743,1324463,2657255,3989520,3989897,3989947,3989981,3989995,3990008,3990002,594520,2993933,5126334,7124073,6125861,6125716,6125734,6125747,6125758,6125750,499114,1820323,3323651,4655652,3990085,3989972,3989998,3990002,3990014,3989999,
AMBP_v2,31286352,19230722,12055630,9024926,5670701,71424369,141237227,357,5593,17474746,5991925,5994586,5994684,5994739,5994725,5994749,5994690,5994829,5994696,34736373,11827834,11833795,11833899,11834186,11834083,11834124,11834371,11834341,11834221,68,41,31,31,31,31,31,31,31,31,582,559,557,557,554,561,556,552,556,559,71741,2127875,2128834,2128853,2128896,2128892,2128882,2128920,2128913,2128916,131239,1324340,1324978,1324993,1325003,1325002,1325002,1325030,1325022,1325021,12985,392366,665693,862492,1004194,1106219,1179675,1232571,1270655,1298076,23694,255440,422412,542635,629197,691522,736396,768709,791973,808723,
PIC_v2,92596329,56036002,36560327,13853574394,13841521917,167535047,333053690,345,5642,5470335,18005095,18007263,18007384,18007507,18007470,18007501,18007522,18007494,18007476,10781432,35803320,35808133,35808478,35808752,35808489,35808831,35808887,35808757,35808611,70,34,31,30,30,30,30,30,30,30,557,579,560,566,563,565,557,562,573,560,905325,6124884,6125646,6125712,6125747,6125708,6125739,6125769,6125768,6125704,649508,3989583,3990116,3990144,3990169,3990147,3990164,3990174,3990173,3990149,429177794,774563941,1050873011,1271920280,1448758103,1590228353,1703404559,1793945530,1866378307,1924324516,429126631,774095951,1050071513,1270851968,1447476337,1588775828,1701815424,1792247103,1864592446,1922468716,
EWMA,21553330,13284519,8268811,9053831,5635450,59943081,118292067,312,6892,5991788,5993840,5994548,5994692,5994649,5994695,5994661,5994706,5994679,5994823,11823840,11828373,11829625,11830042,11830117,11830114,11829709,11830082,11829858,11830307,32,31,32,31,31,31,31,31,31,31,698,688,690,687,688,686,690,686,691,688,2127185,1702495,1447292,1294071,1202093,1146897,1113716,1093914,1081976,1074880,1324026,1059703,900861,805477,748233,713875,693222,680900,673457,669057,425437,680848,834136,926123,981317,1014433,1034289,1046214,1053366,1057668,264805,423784,519199,576454,610809,631422,643782,651205,655655,658335,
SW,20833845,12841239,7992606,9117190,5674954,59925548,118257560,311,6898,5994255,5993227,5993388,5993183,5992742,5992547,5991928,5991632,5991429,5991217,11829045,11827131,11827387,11826865,11826158,11825889,11824489,11823877,11823445,11823274,31,31,32,31,31,31,31,31,31,31,690,687,693,689,688,690,688,693,687,693,2128034,358259,590015,1102240,1444052,1444007,1443770,1443686,1443596,1443580,1324579,223249,367152,686007,898798,898754,898600,898529,898480,898458,1769459,1537760,1025436,683505,683505,683505,683505,683505,683505,683505,1101114,957230,638327,425469,425469,425469,425469,425469,425469,425469,
AFC,20910683,12889614,8021069,8662873,5390024,59605558,117720242,358,5649,5656130,5991377,5994705,5994749,5994734,5994759,5994769,5994876,5994751,5994708,11153451,11834322,11841629,11841666,11841568,11841702,11841292,11841591,11841513,11841508,69,40,32,31,31,31,31,31,31,31,619,562,553,554,555,555,572,566,560,553,1331797,1861901,1544005,1352300,1237260,1168269,1126835,1102029,1087089,1078129,824033,1159961,961749,842155,770397,727367,701505,686040,676720,671142,266359,585467,777174,892199,961211,1002622,1027464,1042377,1051319,1056681,164806,363837,483419,555166,598212,624043,639535,648836,654412,657758,
AMBP,20546668,12666240,7880428,8443462,5252021,59397066,117310181,360,5564,5448771,5990948,5994506,5994687,5994798,5994736,5994619,5994599,5994685,5994717,10744496,11833687,11841013,11841505,11841763,11841742,11841449,11841436,11841391,11841699,68,43,32,31,31,31,31,31,31,31,555,555,568,556,554,555,555,552,562,552,890128,1950051,1596913,1384074,1256373,1179720,1133679,1106092,1089556,1079654,546105,1215388,995007,862137,782426,734568,705833,688600,678268,672096,178105,532494,745377,873116,949767,995757,1023341,1039891,1049824,1055790,109301,330518,463415,543159,591012,619723,636945,647276,653474,657198,
