budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,21161760,13315149,7846611,9035142,5308090,1901062,1768161,1494980,1328176,1227799,1167942,1131733,1109868,1097042,1088386,1025104,1068351,898887,795247,732887,695599,673189,659547,651597,646203,380212,657801,825236,925824,986219,1022563,1044397,1057491,1065401,1069998,205020,377686,481926,544590,582249,604919,618573,626767,631733,634627,
SW,20692988,12987562,7705426,9248833,5489837,2154327,393802,587389,1109065,1456820,1457605,1457310,1456589,1457293,1457362,1278408,236269,347739,657538,864011,864549,864338,863868,864339,864367,1759192,1567204,1045173,696752,696752,696752,696752,696752,696752,696752,1041239,930850,620805,413849,413849,413849,413849,413849,413849,413849,
AFC,20864078,13094126,7769952,8815905,5231032,1446757,1864539,1550690,1361032,1247979,1179665,1138643,1114552,1099633,1090636,857390,1106661,920369,807751,740649,700016,675699,661483,652639,647295,289351,604388,793648,907124,975295,1016169,1040663,1055440,1064278,1069549,171478,358514,470885,538258,578736,602992,617533,626323,631586,634727,
AMBP,20506561,12871411,7635150,8597157,5098920,1006845,1952399,1602863,1393183,1266868,1190628,1145947,1118531,1101688,1092459,591762,1159577,951900,827147,752086,706608,680139,663856,653760,648315,201449,551639,761883,888143,963888,1009236,1036578,1052968,1062712,1068661,118432,326661,451708,526795,571853,598804,615071,624828,630614,634154,
PIC,15708390,9901860,5806530,4282094860,4287418790,990186,990186,990186,990186,990186,990186,990186,990186,990186,990186,580653,580653,580653,580653,580653,580653,580653,580653,580653,580653,428209486,428209486,428209486,428209486,428209486,428209486,428209486,428209486,428209486,428209486,428741879,428741879,428741879,428741879,428741879,428741879,428741879,428741879,428741879,428741879,
