budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,20483078,12313371,8169707,8353734,5529810,1745342,1640562,1384918,1229791,1136591,1080547,1046923,1026700,1014638,1007359,1081316,1110590,933465,826054,761524,722727,699451,685441,677088,672051,349068,607366,762876,856259,912325,945969,966159,978267,985541,989904,216263,395128,502795,567446,606261,629554,643533,651914,656948,659968,
SW,20040513,12022823,8017690,8539618,5694713,1992668,339125,551370,1031342,1351630,1351525,1351403,1351309,1351241,1351210,1328859,226068,367704,687784,901375,901308,901220,901162,901119,901091,1653199,1441081,961054,640612,640612,640612,640612,640612,640612,640612,1102548,960993,640877,427185,427185,427185,427185,427185,427185,427185,
AFC,20034508,12019226,8015282,8064221,5377813,1159580,1759935,1455360,1271813,1161687,1095581,1055952,1032164,1017834,1009320,773381,1173634,970516,848128,774692,730605,704172,688320,678754,673080,231916,537519,721087,831232,897323,936974,960769,975048,983605,988748,154676,358467,480876,554326,598399,624840,640706,650228,655933,659362,
AMBP,19741397,11843432,7897965,7891684,5262798,812593,1828848,1497043,1296791,1176633,1104569,1061337,1035354,1019808,1010456,541968,1219565,998300,864774,784639,736596,707766,690449,680065,673843,162598,495848,696087,816227,888308,931560,957515,973082,982427,988032,108473,330691,464212,544324,592387,621228,638535,648917,655146,658885,
PIC,13553700,8130890,5422810,4284397120,4287917630,813089,813089,813089,813089,813089,813089,813089,813089,813089,813089,542281,542281,542281,542281,542281,542281,542281,542281,542281,542281,428439712,428439712,428439712,428439712,428439712,428439712,428439712,428439712,428439712,428439712,428791763,428791763,428791763,428791763,428791763,428791763,428791763,428791763,428791763,428791763,
