budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,17860411,15518122,2342289,10474912,1557654,2052978,2000662,1751662,1642070,1450000,1370705,1378681,1277369,1294951,1299044,159918,353259,292326,265973,228740,223084,210336,201961,204756,201936,410595,728608,933218,1074988,1149990,1194133,1231042,1240307,1251235,1260796,31983,96238,135455,161558,174994,184612,189756,192197,194708,196153,
SW,16737943,14188103,2549840,11486585,2051309,2542572,479619,479619,482997,1308602,1790993,1753517,1818275,1744188,1787721,396039,72382,616136,124577,121596,119485,279200,275658,269466,275301,2066729,1854511,1854511,1168396,757073,757073,757073,757073,757073,757073,322379,288718,288718,271032,271032,121886,121886,121886,121886,121886,
AFC,17179345,14446377,2732968,9819082,1798665,1458508,2278123,1815241,1610093,1487082,1387047,1357808,407772,1264547,1380156,234751,349604,276581,257018,231557,216058,209972,703719,118245,135463,291701,688985,914236,1053407,1140142,1189523,1223180,1060099,1100988,1156821,46950,107480,141300,164443,177865,185503,190396,293060,258097,233571,
AMBP,17532841,15198027,2334814,10148032,20867826,1262627,2279078,1863862,1626141,1507054,1354202,1365334,1328814,1324953,1285962,146982,367266,294101,261033,227297,220576,213785,204639,204572,194563,252605,657899,899091,1044501,1137011,1180449,1217426,1239703,1256753,1262594,29476,97034,136447,161364,174550,183755,189761,192736,195103,19507600,
PIC,13299870,9361610,3938260,4282797190,4289847540,936161,936161,936161,936161,936161,936161,936161,936161,936161,936161,393826,393826,393826,393826,393826,393826,393826,393826,393826,393826,428279719,428279719,428279719,428279719,428279719,428279719,428279719,428279719,428279719,428279719,428984754,428984754,428984754,428984754,428984754,428984754,428984754,428984754,428984754,428984754,
