budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,15037729,9301829,5735900,6300991,3870897,1254856,1265978,1063721,939290,854375,809260,803736,777640,763541,769432,686066,806266,672933,590874,534821,505064,501598,484335,474979,478964,250971,453972,575921,648594,689750,713652,731668,740862,745397,750204,137213,271023,351405,399298,426402,442134,454026,460087,463065,466244,
SW,14739021,9089154,5649867,6405344,3979444,1503806,248778,412882,771573,1022183,1021561,1022406,1026164,1032497,1027304,934701,154479,256407,479211,635396,635003,635539,638058,642265,638808,1248271,1091043,721822,477744,477744,477744,477744,477744,477744,477744,775670,678352,448529,296699,296699,296699,296699,296699,296699,296699,
AFC,14727286,9083884,5643402,6088903,3781460,899592,1332934,1071850,967202,875200,802998,801502,791185,764171,777250,553742,829957,665838,601970,544185,498232,498465,492367,474834,483812,179918,410521,542786,627669,677175,702339,722171,735973,741612,748739,110748,254589,336838,389864,420728,436228,448675,457413,460897,465480,
AMBP,14655324,9037161,5618163,6037836,3753351,747538,1347358,1124548,979805,869811,833015,802705,785422,781602,765357,464213,837198,699479,609503,540095,517893,499112,488413,486405,475852,149587,389141,536222,624938,673912,705732,725126,737185,746068,749925,92922,241777,333317,388554,418862,438668,450756,458287,463910,466298,
PIC,11921790,7357920,4563870,4285401980,4289034250,735792,735792,735792,735792,735792,735792,735792,735792,735792,735792,456387,456387,456387,456387,456387,456387,456387,456387,456387,456387,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428540198,428903425,428903425,428903425,428903425,428903425,428903425,428903425,428903425,428903425,428903425,
