budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,total_cycles,total_instructions,total_cache_misses,total_mispredicts,cycles[0],cycles[1],cycles[2],cycles[3],cycles[4],cycles[5],cycles[6],cycles[7],cycles[8],cycles[9],instructions[0],instructions[1],instructions[2],instructions[3],instructions[4],instructions[5],instructions[6],instructions[7],instructions[8],instructions[9],cache_misses[0],cache_misses[1],cache_misses[2],cache_misses[3],cache_misses[4],cache_misses[5],cache_misses[6],cache_misses[7],cache_misses[8],cache_misses[9],mispredicts[0],mispredicts[1],mispredicts[2],mispredicts[3],mispredicts[4],mispredicts[5],mispredicts[6],mispredicts[7],mispredicts[8],mispredicts[9],used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA_v2,34292038,21524991,12767047,13837017,8206297,59962354,116492999,208,28646,6022342,5985764,5993286,5994082,5994292,5994300,5994498,5994732,5994497,5994561,11617356,11611182,11639292,11650018,11655076,11660631,11664658,11662857,11665443,11666486,107,12,12,11,11,11,11,11,11,11,3977,3334,3074,2851,2700,2624,2538,2539,2514,2495,2151561,2148039,2151700,2152683,2152855,2153406,2153724,2153401,2153772,2153850,1275666,1273113,1275793,1276716,1277019,1277502,1277807,1277600,1277890,1277941,430312,773857,1049425,1270076,1446631,1587986,1701133,1791586,1864023,1921988,255133,458729,622141,753056,857848,941778,1008983,1062706,1105742,1140181,
SW_v2,34780751,21680809,13099942,18805131,11369662,65408072,127555747,132,24783,5457921,5988363,5993651,5995527,5993499,5994048,5995132,5995124,5996074,11998733,10583714,11649295,11664506,11665428,11664043,11668611,11669969,11670247,11671822,23648112,26,16,12,11,11,11,11,11,11,12,2542,2544,2508,2491,2465,2441,2431,2452,2447,2462,301701,2151139,2153427,2153583,2153157,2153887,2154051,2154201,2154475,4151188,267745,1276121,1277746,1277847,1277610,1278052,1278158,1278270,1278526,2609867,301701,1226420,1535422,2152716,2153389,2153542,2153698,2154046,2154242,2819955,267745,771933,940537,1277238,1277734,1277836,1277940,1278160,1278318,1722221,
AFC_v2,33611672,20969150,12642522,13339782,8093830,65961033,128683868,131,24415,12015222,5990058,5994069,5995157,5993889,5994406,5995035,5993784,5994436,5994977,23674538,11656559,11668630,11670078,11666367,11668827,11670417,11667869,11669948,11670635,26,13,12,12,12,11,12,11,11,11,2520,2464,2441,2440,2421,2447,2422,2424,2423,2413,1585907,2152004,2153898,2154101,2153455,2154013,2154138,2153530,2154060,2154044,1140792,1276813,1278100,1278218,1277804,1278136,1278253,1277916,1278229,1278261,317181,684145,978095,1213296,1401327,1551864,1672318,1768560,1845660,1907336,228158,437889,605931,740388,847871,933924,1002789,1057814,1101897,1137169,
LR_v2,81487530,49706997,31780533,52782004,33751832,149608688,295568818,138,25275,5565873,5991834,11999852,18005952,18007257,18007287,18008224,18007349,18008488,18006572,10805698,11663975,23651614,35628850,35633581,35634598,35637387,35637152,35639006,35636957,26,13,14,12,12,12,12,12,13,12,2467,2432,2496,2656,2611,2582,2542,2511,2487,2491,352970,2153026,4151663,6149062,6149664,6149848,6150319,6150058,6150372,6150015,295243,1277557,2610122,3941840,3942477,3942437,3942813,3942603,3942840,3942601,529455,3053054,5150981,7147761,6149965,6149940,6150554,6149928,6150529,6149837,442864,1768714,3276404,4607699,3942795,3942417,3943001,3942498,3942958,3942482,
AMBP_v2,31100056,19461998,11638058,9134371,5475652,71442276,139618744,131,24423,17495515,5990987,5994237,5994450,5994377,5994562,5994998,5994269,5994437,5994444,34607773,11659689,11668396,11668952,11668353,11668422,11670975,11667558,11669571,11669055,26,16,12,11,11,11,11,11,11,11,2494,2461,2452,2432,2416,2454,2412,2424,2431,2447,78833,2152422,2153887,2153854,2153742,2153924,2153999,2153582,2153947,2153808,136016,1277185,1278104,1278132,1278035,1278080,1278277,1277926,1278150,1278153,14261,397703,674045,873005,1016236,1119395,1193683,1247095,1285618,1313330,24554,247572,408310,524046,607358,667351,710582,741645,764051,780183,
PIC_v2,92398724,56276087,36122637,13853726890,13841248984,167558796,331427089,128,24409,5493864,18004952,18007147,18007409,18007541,18007536,18007495,18007395,18007581,18007876,10662142,35634255,35641198,35641904,35640914,35640752,35642189,35642201,35640365,35641169,26,13,12,11,11,11,11,11,11,11,2446,2463,2448,2420,2437,2432,2429,2433,2458,2443,922805,6149419,6150478,6150404,6150438,6150372,6150611,6150679,6150419,6150462,636261,3942303,3943055,3943024,3942979,3942913,3943127,3943035,3942982,3942958,429181290,774571645,1050884141,1271934123,1448774115,1590246096,1703423728,1793965847,1866399491,1924346414,429123981,774084375,1050052840,1270827606,1447447410,1588743240,1701779947,1792209294,1864552761,1922427530,
EWMA,21423622,13444948,7978674,9163112,5437653,59942774,116689686,111,24193,5990971,5993563,5995096,5994525,5994564,5994998,5994664,5994503,5995418,5994472,11662131,11666796,11668578,11670052,11671748,11668695,11670849,11669761,11670752,11670324,10,12,12,11,11,11,11,11,11,11,2424,2451,2425,2427,2396,2431,2407,2429,2388,2415,2152618,1723014,1464711,1309868,1216796,1160565,1127307,1107146,1095108,1087815,1277351,1022522,869192,777328,722131,688681,668979,657042,649843,645605,430523,689021,844159,937300,993199,1026672,1046799,1058868,1066116,1070455,255470,408880,500942,556219,589401,609257,621201,628369,632663,635251,
SW,20706906,12995381,7711525,9224432,5473876,59922615,116635079,112,24330,5993287,5992702,5993699,5992346,5992722,5992839,5991474,5991418,5991747,5990381,11664755,11665878,11666652,11662092,11665902,11665091,11659234,11662908,11663508,11659059,11,12,12,11,11,11,11,11,11,11,2440,2431,2437,2439,2427,2438,2439,2428,2419,2432,2153059,360106,598199,1115535,1461970,1461865,1460876,1461458,1461472,1460841,1277690,213929,354904,661814,867542,867499,866851,867247,867247,866802,1793163,1555188,1037121,691280,691280,691280,691280,691280,691280,691280,1063893,922963,615508,410216,410216,410216,410216,410216,410216,410216,
AFC,20774943,13040279,7734664,8765643,5198066,59624067,116035555,131,24319,5677636,5990504,5994324,5994624,5994584,5994735,5993951,5994582,5995772,5993355,11024927,11660492,11669196,11668644,11670045,11669543,11668657,11669736,11669496,11664819,26,16,12,11,11,11,11,11,11,11,2460,2443,2427,2432,2424,2431,2403,2430,2430,2439,1355320,1881363,1560568,1367030,1251190,1181415,1139371,1114668,1099488,1089866,796564,1117949,927129,811863,742822,701327,676256,661575,652510,646669,271064,593123,786612,902695,972394,1014198,1039232,1054319,1063352,1068654,159312,351039,466257,535378,576866,601758,616657,625640,631014,634145,
AMBP,20415523,12816275,7599248,8544946,5064734,59418746,115638020,132,24214,5471525,5989890,5995088,5995329,5994579,5994237,5994577,5994520,5994471,5994530,10617310,11659666,11670056,11670048,11670981,11669100,11670573,11671434,11668528,11670324,26,17,12,11,11,11,11,11,11,11,2463,2434,2409,2430,2407,2411,2413,2399,2424,2424,910083,1970109,1614015,1399370,1270477,1192783,1146659,1118897,1101735,1092147,527345,1171548,959436,831348,754568,708169,680746,664134,653831,648123,182096,539698,754561,883522,960913,1007287,1035161,1051908,1061873,1067927,105549,318748,446885,523777,569935,597581,614214,624198,630124,633723,
