budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,15481988,10162941,5319047,6872817,3576126,1384621,1334733,1189439,1028698,890473,930307,882920,794967,883551,843232,612413,724664,648781,554303,469539,500389,471539,414610,474566,448243,276924,488485,628675,708679,745037,782091,802256,800798,817348,822524,122482,242918,324090,370132,390013,412088,423978,422104,432596,435725,
SW,15050865,9849412,5201453,6938806,3657394,1686229,188950,491262,884246,978722,1152623,1158866,996531,1156506,1155477,898030,88416,264679,472222,499009,614914,619063,510846,617493,616781,1313403,1186187,788814,521486,521486,521486,521486,521486,521486,521486,687069,627541,417042,275106,275106,275106,275106,275106,275106,275106,
AFC,14833435,9724482,5108953,6568217,3453375,885396,1505234,1243531,919793,1012931,940380,732987,913002,879475,691753,436846,808157,666660,470518,544470,503254,369276,491941,470993,346838,177079,442710,602874,666257,735591,776548,767836,796869,813390,789063,87369,231526,318552,348945,388050,411090,402728,420570,430654,413891,
AMBP,14815312,9702256,5113056,166650121,88274855,877332,1506920,1118308,1097093,1000943,807687,928200,893877,735948,735948,471110,801419,578359,585833,534781,413812,498849,478691,375101,375101,175546,441820,577117,681112,745078,757599,791719,812150,80833990,80833990,94302,235725,304251,360567,395409,399089,419041,430971,42817750,42817750,
PIC,25599720,16715410,8884310,4273237250,4283417680,1671541,1671541,1671541,1671541,1671541,1671541,1671541,1671541,1671541,1671541,888431,888431,888431,888431,888431,888431,888431,888431,888431,888431,427323725,427323725,427323725,427323725,427323725,427323725,427323725,427323725,427323725,427323725,428341768,428341768,428341768,428341768,428341768,428341768,428341768,428341768,428341768,428341768,
